
[00:00:00.000 --> 00:00:03.000]  各位親愛的「活水塘」大英節目,你們好
[00:00:03.000 --> 00:00:07.000]  我們會有四次關於在職場上的講座
[00:00:07.000 --> 00:00:11.000]  我先想講一講,我每一次都會先錄影
[00:00:11.000 --> 00:00:14.000]  因為怕那個信號有問題
[00:00:14.000 --> 00:00:17.000]  但我都會現場和大家在一起
[00:00:17.000 --> 00:00:20.000]  這個是一個半小時的聚會
[00:00:20.000 --> 00:00:25.000]  我希望可以在一個小時零二十分鐘之內
[00:00:25.000 --> 00:00:28.000]  我就完成了我那個信息的分享
[00:00:28.000 --> 00:00:31.000]  但是我沒有什麼把握,我一定會過時
[00:00:31.000 --> 00:00:35.000]  然後我就會用一些時間直接和大家對話
[00:00:35.000 --> 00:00:39.000]  我很希望有Q&A,大家有什麼問題
[00:00:39.000 --> 00:00:42.000]  我們會一起去探討
[00:00:42.000 --> 00:00:45.000]  這次那四個的講座裡面,我們會是這樣講
[00:00:45.000 --> 00:00:48.000]  第一次就是會從創世紀裡面
[00:00:48.000 --> 00:00:51.000]  去看關於工作的事
[00:00:51.000 --> 00:00:54.000]  但可能你會有一點失望
[00:00:54.000 --> 00:00:57.000]  因為今天的重點,我們不單擺在工作
[00:00:57.000 --> 00:01:00.000]  還擺在休息
[00:01:00.000 --> 00:01:02.000]  第二堂,就是下一堂
[00:01:02.000 --> 00:01:05.000]  我們就會來探討教育裡面一些的人物
[00:01:05.000 --> 00:01:08.000]  他們的工作態度是怎麼樣
[00:01:08.000 --> 00:01:13.000]  但是我們都會去想一些比較敏感的問題
[00:01:13.000 --> 00:01:16.000]  現在很流行會「篤灰」舉報一些人
[00:01:16.000 --> 00:01:18.000]  究竟我們作為基督徒
[00:01:18.000 --> 00:01:21.000]  我們會不會有這些「篤灰」行動呢?
[00:01:21.000 --> 00:01:26.000]  你又想一想,約瑟都會去篤他們的背部
[00:01:26.000 --> 00:01:29.000]  告訴爸爸他們的惡行
[00:01:29.000 --> 00:01:31.000]  究竟是對的還是不對呢?
[00:01:31.000 --> 00:01:36.000]  還有,我們都會探討一些很實質的問題
[00:01:36.000 --> 00:01:40.000]  會不會有時候我們的工作好像是為虎作倀呢?
[00:01:40.000 --> 00:01:43.000]  特別可能一些的公務員
[00:01:43.000 --> 00:01:46.000]  政府推行的一些政策
[00:01:46.000 --> 00:01:51.000]  很可能又未必是你自己心裡面所想的東西
[00:01:51.000 --> 00:01:52.000]  我們怎麼去面對呢?
[00:01:52.000 --> 00:01:55.000]  從《舊約聖經》裡面,你都是去看的
[00:01:55.000 --> 00:01:57.000]  第三方面,第三堂
[00:01:57.000 --> 00:01:59.000]  我們就會看耶穌的比喻
[00:01:59.000 --> 00:02:03.000]  他說的一些比喻往往是涉及到做事的
[00:02:03.000 --> 00:02:04.000]  很簡單舉個例子
[00:02:04.000 --> 00:02:07.000]  他叫我們學「世界仔」
[00:02:07.000 --> 00:02:09.000]  有一個不義的管家
[00:02:09.000 --> 00:02:12.000]  那個時候沒有年紀
[00:02:12.000 --> 00:02:17.000]  他竟然改了那些人欠老闆的錢
[00:02:17.000 --> 00:02:21.000]  原來就是這樣,就是延後利益
[00:02:21.000 --> 00:02:23.000]  有些公務員都是這樣的
[00:02:23.000 --> 00:02:25.000]  他離職之後
[00:02:25.000 --> 00:02:29.000]  跟著就去跟他以前有範疇工作的相關的志工
[00:02:29.000 --> 00:02:31.000]  賺到很多人工的
[00:02:31.000 --> 00:02:32.000]  這個延後利益
[00:02:32.000 --> 00:02:35.000]  但是他好像是主人翁讚這個不義的管家
[00:02:35.000 --> 00:02:37.000]  還有就是我們經常都探討
[00:02:37.000 --> 00:02:39.000]  我們希望同工同酬
[00:02:39.000 --> 00:02:40.000]  這是對的
[00:02:40.000 --> 00:02:44.000]  但是會不會不同工而同酬呢?
[00:02:44.000 --> 00:02:46.000]  這個又怎麼去解釋呢?
[00:02:46.000 --> 00:02:48.000]  就是說有一個葡萄園裡面
[00:02:48.000 --> 00:02:50.000]  可能有一個六點鐘工作
[00:02:50.000 --> 00:02:54.000]  就是做一個小時的人收工資是一樣的
[00:02:54.000 --> 00:02:56.000]  那究竟公不公平呢?
[00:02:56.000 --> 00:02:58.000]  這些我們那時候很熟悉
[00:02:58.000 --> 00:02:59.000]  但是我們沒有探討的
[00:02:59.000 --> 00:03:02.000]  我們會照著耶穌的比喻
[00:03:02.000 --> 00:03:03.000]  去看工作
[00:03:03.000 --> 00:03:06.000]  第四個的最後一課
[00:03:06.000 --> 00:03:08.000]  就會透過保羅的教訓
[00:03:08.000 --> 00:03:11.000]  去探討我們工作觀之餘
[00:03:11.000 --> 00:03:14.000]  我們應不應該去投資呢?
[00:03:14.000 --> 00:03:17.000]  去投資又用什麼心態呢?
[00:03:17.000 --> 00:03:20.000]  這個我就很簡單的解釋了
[00:03:20.000 --> 00:03:25.000]  我未來的四課裡面的方向
