
[00:00:00.000 --> 00:00:04.640]  希伯來書第十章第三十五到第三十八節
[00:00:04.640 --> 00:00:08.260]  這裡說:所以你們不可丟棄勇敢的心
[00:00:08.260 --> 00:00:11.460]  純這樣的心必得大賞賜
[00:00:11.460 --> 00:00:15.100]  你們必須忍耐使你們行完了神的旨意
[00:00:15.100 --> 00:00:18.240]  就可以得到所應許的
[00:00:18.240 --> 00:00:22.500]  因為還有一點點時候要來的,就來並不遲延
[00:00:22.500 --> 00:00:25.240]  只是一人必因性得生
[00:00:25.240 --> 00:00:28.340]  他若退後,我心裡就不喜歡他
[00:00:28.340 --> 00:00:31.360]  我們就讀到這裡
[00:00:31.360 --> 00:00:36.500]  第二點:等候神永遠不是一件容易的功課
[00:00:36.500 --> 00:00:39.340]  特別是當你所期盼的事情
[00:00:39.340 --> 00:00:43.140]  慈顏未得的時候
[00:00:43.140 --> 00:00:44.540]  很多時候做一個基督徒
[00:00:44.540 --> 00:00:48.440]  我們心中明明有神的應許
[00:00:48.440 --> 00:00:51.240]  而且我們也相信神所應許的
[00:00:51.240 --> 00:00:53.560]  他必成就
[00:00:53.560 --> 00:00:57.300]  但什麼時候當我們的眼睛一直看不見
[00:00:57.300 --> 00:01:00.800]  任何突破的跡象的時候
[00:01:00.800 --> 00:01:04.500]  我們心中難免就有一種說不出來的焦慮
[00:01:04.500 --> 00:01:06.340]  不是嗎?
[00:01:06.340 --> 00:01:12.340]  主啊!什麼時候你的應許才能夠成就呢?
[00:01:12.340 --> 00:01:16.000]  希伯來書的作者當他寫這封信給
[00:01:16.000 --> 00:01:19.900]  當時散居在各地的一些信徒的時候
[00:01:19.900 --> 00:01:25.900]  其實那些信徒也正面臨著同樣這樣一種光景
[00:01:25.900 --> 00:01:31.500]  如果你看希伯來書,你發現這些信徒不是初信者
[00:01:31.500 --> 00:01:37.100]  他們都曾經為信仰的緣故受過逼迫、受過苦難
[00:01:37.100 --> 00:01:41.500]  也曾經為信仰征戰過
[00:01:41.500 --> 00:01:45.600]  他們都曾經是剛強的信徒
[00:01:45.600 --> 00:01:48.700]  但在這個時刻他們卻軟弱了
[00:01:48.700 --> 00:01:50.500]  為什麼呢?
[00:01:50.500 --> 00:01:55.500]  因為他並沒有看見神所應許的事情成就
[00:01:55.500 --> 00:01:59.700]  他們沒有親眼看見神的作為
[00:01:59.700 --> 00:02:03.500]  好像逼迫並沒有使他們灰心退後
[00:02:03.500 --> 00:02:09.100]  反而是所盼望的慈顏慰德
[00:02:09.100 --> 00:02:11.400]  讓他們失去了信心
[00:02:11.400 --> 00:02:15.300]  這為什麼希伯來書的作者在整本書當中
[00:02:15.300 --> 00:02:19.200]  不斷地提醒當時的信徒說
[00:02:19.200 --> 00:02:25.000]  不可灰心,要堅持到底
[00:02:25.000 --> 00:02:27.500]  那麼在等候神的過程當中
[00:02:27.500 --> 00:02:30.800]  我們怎麼樣能夠經歷神的突破呢?
[00:02:30.800 --> 00:02:34.200]  今天早上從三方面我們一同來思想
[00:02:34.200 --> 00:02:37.900]  在等候當中經歷突破
[00:02:37.900 --> 00:02:39.400]  首先第一個
[00:02:39.400 --> 00:02:41.700]  你一定要除去心中的攔阻
[00:02:41.700 --> 00:02:46.000]  跟你旁邊要除去心中的攔阻
[00:02:46.000 --> 00:02:47.300]  在剛才的經文
[00:02:47.300 --> 00:02:50.000]  希伯來書第十章第三十五節裡面
[00:02:50.000 --> 00:02:53.300]  我們看見很清楚的作者在這裡說
[00:02:53.300 --> 00:02:58.300]  不可丟棄勇敢的心
[00:02:58.300 --> 00:03:01.100]  你知道軟弱、後退
[00:03:01.100 --> 00:03:04.600]  永遠是從心開始
[00:03:04.600 --> 00:03:06.800]  從你心裡開始
[00:03:06.800 --> 00:03:10.400]  為什麼在我們信仰的過程當中
[00:03:10.400 --> 00:03:13.400]  我們會後退、會軟弱
[00:03:13.400 --> 00:03:17.100]  我們會失去勇敢的心呢?
[00:03:17.100 --> 00:03:19.100]  我就發現常常在我們心靈裡面
[00:03:19.100 --> 00:03:21.500]  有好幾種攔阻
[00:03:21.500 --> 00:03:23.300]  起碼有三種
[00:03:23.300 --> 00:03:25.100]  第一個我叫灰心的攔阻
[00:03:25.100 --> 00:03:28.600]  跟你們說灰心的攔阻
[00:03:28.600 --> 00:03:32.500]  特別是當我們面對不順利的環境的時候
[00:03:32.500 --> 00:03:33.800]  有時候不是有一次
[00:03:33.800 --> 00:03:37.400]  是一而再、再而三
[00:03:37.400 --> 00:03:40.800]  不順利的環境一直來到
[00:03:40.800 --> 00:03:43.200]  就發現不是我們不想去奮鬥
[00:03:43.200 --> 00:03:46.500]  也不是我們不想去重新站立起來
[00:03:46.500 --> 00:03:49.400]  只是一次又一次的挫敗
[00:03:49.400 --> 00:03:51.500]  讓我們對神、對自己
[00:03:51.500 --> 00:03:55.000]  我們都失去了信心
[00:03:55.000 --> 00:03:58.400]  這就好像主耶穌的門徒猶大一樣
[00:03:58.400 --> 00:03:59.700]  很多人常常問說
[00:03:59.700 --> 00:04:02.400]  為什麼猶大會賣主呢?
[00:04:02.400 --> 00:04:05.700]  為什麼後來又上吊自殺了呢?
[00:04:05.700 --> 00:04:09.200]  是不是因為他後悔、悔改了呢?
[00:04:09.200 --> 00:04:11.000]  其實不是
[00:04:11.000 --> 00:04:13.700]  猶大之所以賣主
[00:04:13.700 --> 00:04:18.000]  乃是因為他對主耶穌失望了
[00:04:18.000 --> 00:04:22.100]  他以為主耶穌來是要帶來一個政治上的解放
[00:04:22.100 --> 00:04:27.100]  讓猶太人從羅馬人的統治當中得到自由
[00:04:27.100 --> 00:04:31.400]  但三年半來他看著耶穌所做的事情
[00:04:31.400 --> 00:04:34.700]  一次又一次教他失望了
