
[00:00:00.000 --> 00:00:02.960]  我們再一次安靜我們的心靈
[00:00:02.960 --> 00:00:08.340]  今天我們來到正道的題目
[00:00:08.340 --> 00:00:10.000]  在未講之前
[00:00:10.000 --> 00:00:14.120]  就溫習一下我們上個星期
[00:00:14.120 --> 00:00:18.180]  大家記不記得上個星期講什麼題目
[00:00:18.180 --> 00:00:23.240]  為來世作好預備
[00:00:23.240 --> 00:00:25.460]  這個是一個正面的題目
[00:00:25.460 --> 00:00:27.080]  我們上次跟大家講過
[00:00:27.080 --> 00:00:31.120]  耶穌基督在祂的教導裏面有多次多次
[00:00:31.120 --> 00:00:32.920]  提醒我們在物質生活裏面
[00:00:32.920 --> 00:00:37.120]  去表達出我們對神的信心和愛心
[00:00:37.120 --> 00:00:43.080]  在《路加福音》有很多很多的地方
[00:00:43.080 --> 00:00:46.080]  講到關乎物質的私語
[00:00:46.080 --> 00:00:48.660]  以及神怎樣按照我們的私語
[00:00:48.660 --> 00:00:50.620]  來賜福給我們
[00:00:50.620 --> 00:00:52.080]  更加重要的就是
[00:00:52.080 --> 00:00:56.840]  也提到我們今生和永生的關係
[00:00:56.840 --> 00:00:59.580]  上個星期就是一個
[00:00:59.580 --> 00:01:01.080]  為來世作好預備
[00:01:01.080 --> 00:01:04.080]  就是《路加福音》第十六章的經文
[00:01:04.080 --> 00:01:06.460]  今天我們看的是《路加福音》第十八章
[00:01:06.460 --> 00:01:10.080]  也可以說是將《路加福音》
[00:01:10.080 --> 00:01:11.760]  從第一章到最後一章
[00:01:11.760 --> 00:01:14.080]  都差不多有接觸過了
[00:01:14.080 --> 00:01:15.660]  所以在這年紀裏面
[00:01:15.660 --> 00:01:18.540]  跟大家用《路加福音》的訊息
[00:01:18.540 --> 00:01:20.580]  今天用這個來做結束
[00:01:20.580 --> 00:01:22.040]  下一次講到的時候
[00:01:22.040 --> 00:01:25.160]  會有一個新年的系列
[00:01:25.160 --> 00:01:26.800]  但是來到這裏
[00:01:26.800 --> 00:01:30.380]  其實和上一次講到很有關係
[00:01:30.380 --> 00:01:33.620]  上一次可以說是一個正面提醒我們
[00:01:33.620 --> 00:01:36.160]  為來世作好預備
[00:01:36.160 --> 00:01:38.160]  在今天的題目裏面
[00:01:38.160 --> 00:01:40.620]  是一個可以說是反面的題目
[00:01:40.620 --> 00:01:43.800]  不要仗著少年的官
[00:01:43.800 --> 00:01:45.840]  這是我們很熟悉的一段經文
[00:01:45.840 --> 00:01:49.960]  在《路加福音》第十八章裏面記載的
[00:01:49.960 --> 00:01:52.760]  我們在這個題目裏面
