
[00:00:00.000 --> 00:00:02.000]  我們這一段時間裡面
[00:00:02.000 --> 00:00:07.000]  我們講到誠勝之道一直講了四講對不對
[00:00:07.000 --> 00:00:10.000]  保羅在前面 今天我們讀的是
[00:00:10.000 --> 00:00:12.000]  我們今天要講的是二十三節福音的盼望
[00:00:12.000 --> 00:00:14.000]  但是在前面我們稍微複習一下
[00:00:14.000 --> 00:00:16.000]  在前面他提到什麼呢
[00:00:16.000 --> 00:00:18.000]  他在前面提到說
[00:00:18.000 --> 00:00:20.000]  保羅就提到說他要我們
[00:00:20.000 --> 00:00:23.000]  他講到我們所信的這個福音
[00:00:23.000 --> 00:00:25.000]  然後講到說我們怎麼樣子到最後
[00:00:25.000 --> 00:00:27.000]  我們來看一下
[00:00:27.000 --> 00:00:29.000]  在歌羅西書第二章的前面你看
[00:00:29.000 --> 00:00:33.000]  他說成了聖潔沒有瑕疵無可責備
[00:00:33.000 --> 00:00:36.000]  把你們引到自己的面前
[00:00:36.000 --> 00:00:37.000]  有沒有
[00:00:37.000 --> 00:00:39.000]  所以在這個上下文裡面
[00:00:39.000 --> 00:00:41.000]  保羅在這裡提到說
[00:00:41.000 --> 00:00:44.000]  他要我們看見今天我們所信的這個信仰
[00:00:44.000 --> 00:00:46.000]  不僅僅是信耶穌得救
[00:00:46.000 --> 00:00:48.000]  而且信耶穌得救之後
[00:00:48.000 --> 00:00:50.000]  我們要繼續地追求 為什麼
[00:00:50.000 --> 00:00:52.000]  為什麼要繼續追求
[00:00:52.000 --> 00:00:54.000]  我們不是停在一個原點
[00:00:54.000 --> 00:00:56.000]  我們信耶穌追求之後
[00:00:56.000 --> 00:00:57.000]  我們要追求什麼呢
[00:00:57.000 --> 00:00:59.000]  我們追求什麼
[00:00:59.000 --> 00:01:01.000]  我們要追求得勝 是不是
[00:01:01.000 --> 00:01:03.000]  那記得我們這個圖
[00:01:03.000 --> 00:01:05.000]  每一個凌涼堂應該都要知道
[00:01:05.000 --> 00:01:06.000]  當我們信了耶穌之後
[00:01:06.000 --> 00:01:07.000]  我們不僅僅停在那邊
[00:01:07.000 --> 00:01:09.000]  我們要追求得勝
[00:01:09.000 --> 00:01:11.000]  在生命上面當中
[00:01:11.000 --> 00:01:13.000]  我們要繼續地追求 是不是
[00:01:13.000 --> 00:01:15.000]  生命上面越追求
[00:01:15.000 --> 00:01:17.000]  我們要越來越像誰
[00:01:17.000 --> 00:01:19.000]  越來越像
[00:01:19.000 --> 00:01:22.000]  越像耶穌基督 是不是
[00:01:22.000 --> 00:01:24.000]  同時我們也要在侍奉上面
[00:01:24.000 --> 00:01:26.000]  一個基督徒信了耶穌之後
[00:01:26.000 --> 00:01:28.000]  不是在那個地方就坐著禮拜
[00:01:28.000 --> 00:01:29.000]  坐著聽道
[00:01:29.000 --> 00:01:30.000]  一個信了基督的人
[00:01:30.000 --> 00:01:32.000]  他就應該知道他一生
[00:01:32.000 --> 00:01:34.000]  要用聖潔公義來侍奉這位神
[00:01:34.000 --> 00:01:35.000]  所以呢
[00:01:35.000 --> 00:01:37.000]  我們所神所託付給我們的
[00:01:37.000 --> 00:01:39.000]  這一個使命就是大使命
[00:01:39.000 --> 00:01:40.000]  這是我們的工作
[00:01:40.000 --> 00:01:42.000]  這是神託付給我們的使命
[00:01:42.000 --> 00:01:43.000]  那對不對
[00:01:43.000 --> 00:01:45.000]  所以你在這一個的架構
[00:01:45.000 --> 00:01:46.000]  在這一個整個的
[00:01:46.000 --> 00:01:47.000]  我們信仰的架構裡面
[00:01:47.000 --> 00:01:49.000]  你看見一件事情
[00:01:49.000 --> 00:01:51.000]  保羅在講這個東西的時候
[00:01:51.000 --> 00:01:54.000]  講不管是整個保羅書籍裡面
[00:01:54.000 --> 00:01:55.000]  保羅在講這些東西的時候
[00:01:55.000 --> 00:01:57.000]  他整個的神學思想
[00:01:57.000 --> 00:01:59.000]  他的架構是很清楚的
[00:01:59.000 --> 00:02:00.000]  所以保羅說
[00:02:00.000 --> 00:02:03.000]  他說要把你們引到自己的面前
[00:02:03.000 --> 00:02:06.000]  引到基督的面前
[00:02:06.000 --> 00:02:08.000]  接著二十三節他就講說
[00:02:08.000 --> 00:02:13.000]  只要你們在所信的道上怎麼樣
[00:02:13.000 --> 00:02:16.000]  恆心根基穩固
[00:02:16.000 --> 00:02:17.000]  堅定不移
[00:02:17.000 --> 00:02:18.000]  不自引動
[00:02:18.000 --> 00:02:23.000]  失去福音的盼望
[00:02:23.000 --> 00:02:26.000]  不自失去福音的盼望
[00:02:26.000 --> 00:02:29.000]  保羅說你一定要記住
[00:02:29.000 --> 00:02:30.000]  你不要停止
[00:02:30.000 --> 00:02:31.000]  你一停止
[00:02:31.000 --> 00:02:33.000]  你可能就會後退了
[00:02:33.000 --> 00:02:34.000]  你可能就會失去了
[00:02:34.000 --> 00:02:36.000]  要繼續地要追求
[00:02:36.000 --> 00:02:38.000]  因為我們所信的
[00:02:38.000 --> 00:02:40.000]  這是一個有盼望的福音
[00:02:40.000 --> 00:02:41.000]  Amen
[00:02:41.000 --> 00:02:43.000]  今天我們就談到這個
[00:02:43.000 --> 00:02:52.000]  福音的盼望
[00:02:52.000 --> 00:02:55.000]  這個世界今天是
[00:02:55.000 --> 00:02:58.000]  非常非常的需要盼望
[00:02:58.000 --> 00:03:00.000]  是不是
[00:03:00.000 --> 00:03:02.000]  打開包子聽到的消息
[00:03:02.000 --> 00:03:04.000]  通通是不好的消息
[00:03:04.000 --> 00:03:07.000]  剛才講伊朗是不是
[00:03:07.000 --> 00:03:08.000]  我們的焦點
[00:03:08.000 --> 00:03:10.000]  現在不是都被俄烏戰爭
[00:03:10.000 --> 00:03:13.000]  所抓住了嗎
[00:03:13.000 --> 00:03:14.000]  可是你知道嗎
[00:03:14.000 --> 00:03:16.000]  俄烏戰爭之外
[00:03:16.000 --> 00:03:19.000]  全世界現在有多少的地方
[00:03:19.000 --> 00:03:22.000]  還在戰爭
[00:03:22.000 --> 00:03:24.000]  因為這個戰爭所帶來的
[00:03:24.000 --> 00:03:25.000]  這一個經濟的問題
