
[00:00:00.000 --> 00:00:03.000]  即是說天國系列的時候
[00:00:03.000 --> 00:00:06.000]  我說聖經的主題就是天國
[00:00:06.000 --> 00:00:08.000]  或者說神的國
[00:00:08.000 --> 00:00:12.000]  這個世界真是上帝的世界
[00:00:12.000 --> 00:00:16.000]  人都是上帝所創造的
[00:00:16.000 --> 00:00:20.000]  因此我們本來是應該屬於上帝
[00:00:20.000 --> 00:00:25.000]  和應該按照上帝旨意生活
[00:00:25.000 --> 00:00:27.000]  正如上帝所做的
[00:00:27.000 --> 00:00:30.000]  比如說植物世界或者昆蟲世界
[00:00:30.000 --> 00:00:35.000]  他們的生命都好像是受了電腦軟件控制一樣
[00:00:35.000 --> 00:00:37.000]  完全是身不由己
[00:00:37.000 --> 00:00:40.000]  只是受上帝控制
[00:00:40.000 --> 00:00:42.000]  最近我家的廚房
[00:00:42.000 --> 00:00:45.000]  時時有些黑螞蟻爬來爬去
[00:00:45.000 --> 00:00:50.000]  如果有任何食物放在桌面上
[00:00:50.000 --> 00:00:54.000]  就會有很多螞蟻成群結隊
[00:00:54.000 --> 00:00:56.000]  在食物上面爬來爬去
[00:00:56.000 --> 00:00:58.000]  有一天我發覺很奇怪
[00:00:58.000 --> 00:01:00.000]  打開廚櫃
[00:01:00.000 --> 00:01:02.000]  連我以前吃剩的一塊糖
[00:01:02.000 --> 00:01:04.000]  還有玻璃紙包著放到很高
[00:01:04.000 --> 00:01:06.000]  還有一個盒子上面
[00:01:06.000 --> 00:01:10.000]  結果有一天我發覺那些黑螞蟻入侵了
[00:01:10.000 --> 00:01:13.000]  不過我同時在想
[00:01:13.000 --> 00:01:16.000]  一隻這麼小的螞蟻
[00:01:16.000 --> 00:01:18.000]  它竟然有爬行的功能
[00:01:18.000 --> 00:01:20.000]  有找食物的功能
[00:01:20.000 --> 00:01:21.000]  這麼厲害
[00:01:21.000 --> 00:01:23.000]  躲起來也找得到的
[00:01:23.000 --> 00:01:24.000]  還有溝通功能
[00:01:24.000 --> 00:01:29.000]  可以通知同胞趕到有食物的地方
[00:01:29.000 --> 00:01:32.000]  這個就是上帝創造的生物
[00:01:32.000 --> 00:01:33.000]  很細小
[00:01:33.000 --> 00:01:35.000]  但是也是很奇妙的
[00:01:35.000 --> 00:01:38.000]  在上帝所做的所有生物之中
[00:01:38.000 --> 00:01:41.000]  唯有人有思想
[00:01:41.000 --> 00:01:42.000]  有靈性
[00:01:42.000 --> 00:01:44.000]  是會敬拜上帝的
[00:01:44.000 --> 00:01:49.000]  但是也同時可能會犯罪
[00:01:49.000 --> 00:01:50.000]  上帝也知道
[00:01:50.000 --> 00:01:54.000]  人必然會用自己的自由思想和意志
[00:01:54.000 --> 00:01:56.000]  去背叛上帝
[00:01:56.000 --> 00:01:59.000]  故此在創世紀裡
[00:01:59.000 --> 00:02:03.000]  上帝一早已經預備好拯救的計劃
[00:02:03.000 --> 00:02:07.000]  在阿伯拉罕獻以撒的事件裡
[00:02:07.000 --> 00:02:08.000]  我們已經知道
[00:02:08.000 --> 00:02:12.000]  有一天上帝會用他自己所愛的兒子
