
[00:00:00.000 --> 00:00:06.200]  如果我叫大家去將你一生人所做對的事和錯的事列舉出來
[00:00:06.200 --> 00:00:07.400]  兩份清單
[00:00:07.400 --> 00:00:10.200]  你覺得哪一個清單會長一些呢?
[00:00:10.200 --> 00:00:13.440]  又或者我叫你
[00:00:13.440 --> 00:00:17.240]  跟你另一半又寫這兩份清單
[00:00:17.240 --> 00:00:19.800]  你又猜哪一個清單會長一些呢?
[00:00:19.800 --> 00:00:21.520]  不過請大家留意
[00:00:21.520 --> 00:00:23.200]  千萬回家不要這麼做
[00:00:23.200 --> 00:00:28.800]  否則的話會立刻發生家庭版的鵝烏大戰
[00:00:28.800 --> 00:00:33.360]  搞得很大件事了
[00:00:33.360 --> 00:00:35.240]  不過我想問問大家
[00:00:35.240 --> 00:00:37.560]  如果是我們的主
[00:00:37.560 --> 00:00:40.640]  寫給我們這兩份清單
[00:00:40.640 --> 00:00:42.200]  對的事和錯的事
[00:00:42.200 --> 00:00:46.920]  我們應該用什麼態度來面對一份這樣的清單呢?
[00:00:46.920 --> 00:00:48.800]  在剛才我們所讀的經文
[00:00:48.800 --> 00:00:52.880]  這個使徒約翰在拔摩島上面見到一個異象
[00:00:52.880 --> 00:00:54.480]  在這個異象裡面
[00:00:54.480 --> 00:00:59.440]  主跟當時的七間教會說了一些話
[00:00:59.440 --> 00:01:00.960]  而今天我們所讀的經文
[00:01:00.960 --> 00:01:04.080]  就在七間教會裡面的其中兩間教會
[00:01:04.080 --> 00:01:06.480]  記載了主對他們的說話
[00:01:06.480 --> 00:01:08.400]  當中有讚賞
[00:01:08.400 --> 00:01:11.920]  也有指責他們所做過的事情
[00:01:11.920 --> 00:01:15.080]  我們一同去看看這段經文
[00:01:15.080 --> 00:01:18.400]  讓我們從中學一些很重要的屬靈功課
[00:01:18.400 --> 00:01:21.680]  首先我們先看做對的事情
[00:01:21.680 --> 00:01:23.880]  我們首先看這兩間教會
[00:01:23.880 --> 00:01:25.800]  究竟他們做對了什麼事情呢?
[00:01:25.800 --> 00:01:29.080]  對別家摩這個教會來說
[00:01:29.080 --> 00:01:32.280]  主耶穌就說
[00:01:32.280 --> 00:01:38.000]  當我忠心的見證人安提柏在你們中間被殺害的時候
[00:01:38.000 --> 00:01:40.880]  你們仍然堅守我的命
[00:01:40.880 --> 00:01:43.280]  不要放棄我的道
[00:01:43.280 --> 00:01:45.880]  主耶穌大家要看看我
[00:01:45.880 --> 00:01:46.760]  很少的
[00:01:46.760 --> 00:01:49.880]  主耶穌在點名提這個人安提柏
[00:01:49.880 --> 00:01:51.360]  我想問大家
[00:01:51.360 --> 00:01:53.200]  聽過這個名字了嗎?
[00:01:54.280 --> 00:01:56.760]  你對這個人的認識有多少?
[00:01:56.760 --> 00:01:59.920]  很明顯這個名字
[00:01:59.920 --> 00:02:01.160]  安提柏是被殺
[00:02:01.160 --> 00:02:03.040]  很明顯這個被殺
[00:02:03.040 --> 00:02:08.400]  是由於他堅守耶穌基督的信仰的緣故
[00:02:08.400 --> 00:02:08.920]  誰來的?
[00:02:08.920 --> 00:02:11.320]  這個人是誰?
[00:02:11.320 --> 00:02:12.480]  我們不知道
[00:02:12.480 --> 00:02:15.080]  因為聖經也沒有說
[00:02:15.080 --> 00:02:19.960]  換言之這個人物是一個無名小卒
[00:02:19.960 --> 00:02:21.760]  He's a nobody
[00:02:21.760 --> 00:02:23.520]  我們不知道大家會不會覺得奇怪
