
[00:00:00.000 --> 00:00:04.000]  今日的講題是迎來生命的復興
[00:00:04.000 --> 00:00:12.680]  復興在聖經裡有恢復、重建、治癒的意思
[00:00:12.680 --> 00:00:18.200]  代表一種由失敗沒有希望、很早於喪、受傷
[00:00:18.200 --> 00:00:23.920]  迎來一種解困、重新振作到有盼望的狀態
[00:00:23.920 --> 00:00:29.360]  我們常常都會很希望得到不同的重新振作、恢復
[00:00:29.360 --> 00:00:31.960]  例如在我們身體病患的過程裡
[00:00:31.960 --> 00:00:34.360]  我們都很想盡快康復
[00:00:34.360 --> 00:00:36.120]  記得我上次趕渡的時候
[00:00:36.120 --> 00:00:39.040]  差點因為腰受傷而趕不到渡
[00:00:39.040 --> 00:00:40.600]  那次追監盤突出
[00:00:40.600 --> 00:00:44.440]  我連打黑痴都要用盡全身的力氣
[00:00:44.440 --> 00:00:48.760]  去鎖緊身上的肌肉才可以打到黑痴
[00:00:48.760 --> 00:00:50.880]  很想身體盡快康復
[00:00:50.880 --> 00:00:54.000]  又例如面對著天災人禍
[00:00:54.000 --> 00:00:57.800]  我們更加想受影響的人得到安慰
[00:00:57.800 --> 00:01:00.040]  盡快重新振作
[00:01:00.040 --> 00:01:02.520]  但說到屬靈生命的復興
[00:01:02.520 --> 00:01:04.320]  甚至教會的復興
[00:01:04.320 --> 00:01:08.360]  不知道大家又期不期待、關不關心呢?
[00:01:08.360 --> 00:01:12.360]  今天大家的靈命狀況如何?
[00:01:12.360 --> 00:01:16.520]  大家又享不享受在教會裡的生活呢?
[00:01:16.520 --> 00:01:20.360]  如果圖中是代表大家的屬靈狀況
[00:01:20.360 --> 00:01:24.360]  你會是哪一個顏色點呢?
[00:01:24.360 --> 00:01:27.920]  我相信在大家的生命裡總有一段時刻
[00:01:27.920 --> 00:01:29.520]  是很享受
[00:01:29.520 --> 00:01:30.880]  或者現在也是
[00:01:30.880 --> 00:01:34.560]  很享受和上帝很親密的時間
[00:01:34.560 --> 00:01:39.000]  每天靈修很享受上帝的話語
[00:01:39.000 --> 00:01:40.760]  每次回到崇拜當中
[00:01:40.760 --> 00:01:42.680]  帶著很歡喜快樂的心
[00:01:42.680 --> 00:01:45.160]  每個星期最期待是星期六日
[00:01:45.160 --> 00:01:48.680]  回到成長班裡和弟兄姊妹相見
[00:01:48.680 --> 00:01:51.880]  今天大家是屬於一個什麼狀況呢?
[00:01:51.880 --> 00:01:56.800]  我們又想不想復興恢復到那個狀態呢?
[00:01:56.800 --> 00:01:58.520]  在聽訊息之前
[00:01:58.520 --> 00:02:03.520]  我們再次一起祈禱
[00:02:03.520 --> 00:02:04.880]  慈悲仁愛天父
[00:02:04.880 --> 00:02:07.240]  我們感謝你賜下你寶貴的話語
[00:02:07.240 --> 00:02:08.800]  去慰養我們
