
[00:00:00.000 --> 00:00:06.160]  生活的層面我們也有不同的處境
[00:00:06.160 --> 00:00:08.880]  雖然這節的經文是說
[00:00:08.880 --> 00:00:13.760]  不要作假見證去陷害別人
[00:00:13.760 --> 00:00:15.880]  不要去害別人
[00:00:15.880 --> 00:00:17.200]  但很坦白說
[00:00:17.200 --> 00:00:19.760]  你和我都試過說謊對不對?
[00:00:19.760 --> 00:00:22.320]  又或者在你成長的過程
[00:00:22.320 --> 00:00:27.360]  或多或少我們都有機會去說謊
[00:00:27.360 --> 00:00:30.640]  但當我們信了耶穌之後
[00:00:30.640 --> 00:00:35.920]  神的真實就容不下虛假
[00:00:35.920 --> 00:00:39.240]  容不下謊言
[00:00:39.240 --> 00:00:41.120]  原來這個很重要
[00:00:41.120 --> 00:00:42.440]  當我們看十誡的時候
[00:00:42.440 --> 00:00:46.840]  說的是後面那幾個誡命
[00:00:46.840 --> 00:00:49.360]  是去說有關人與人之間的關係
[00:00:49.360 --> 00:00:51.880]  其中一個關係
[00:00:51.880 --> 00:00:55.800]  就是判別我們和人聊天說話的時候
[00:00:55.800 --> 00:00:59.320]  你需要說真話
[00:00:59.320 --> 00:01:00.880]  原來這個就是人際關係
[00:01:00.880 --> 00:01:05.920]  我們建立彼此信任的一個很重要的一環
[00:01:05.920 --> 00:01:09.720]  但現實世界我們會為自己的利益
[00:01:09.720 --> 00:01:13.960]  或者為一己的利益
[00:01:13.960 --> 00:01:17.200]  而罔顧一些事實
[00:01:17.200 --> 00:01:21.360]  而弄虛作假
[00:01:21.360 --> 00:01:26.320]  有些處境我們都
[00:01:26.320 --> 00:01:29.240]  有知識的人很容易
[00:01:29.240 --> 00:01:33.320]  透過一些事實去說謊
[00:01:33.320 --> 00:01:36.720]  其實是透過一些事實的詮釋
[00:01:36.720 --> 00:01:40.080]  當我們說要有事實和數字的時候
[00:01:40.080 --> 00:01:46.040]  知不知道統計學上有很多數字是能說謊的
[00:01:46.040 --> 00:01:47.000]  第一
[00:01:47.000 --> 00:01:51.040]  當我們去看數字得出來的數據
[00:01:51.040 --> 00:01:54.320]  我們就要瞭解那個數據是怎樣做的
[00:01:54.320 --> 00:01:56.600]  在什麼時間做的
[00:01:56.600 --> 00:02:02.840]  然後它要表達的是一個什麼信息
[00:02:02.840 --> 00:02:06.720]  如果我們看到事實背後
[00:02:06.720 --> 00:02:09.440]  有很多不同的說話說出來
[00:02:09.440 --> 00:02:10.800]  是要去帶出的
[00:02:10.800 --> 00:02:13.200]  要人去信服呢
[00:02:13.200 --> 00:02:17.040]  我們更加要小心
[00:02:17.040 --> 00:02:22.640]  牛津簡明詞典什麼叫說謊呢
[00:02:22.640 --> 00:02:25.160]  就是刻意表達出
[00:02:25.160 --> 00:02:30.200]  刻意即是你為意、有心
[00:02:30.200 --> 00:02:36.200]  刻意表達出虛偽的陳述
[00:02:36.200 --> 00:02:38.400]  即是說你很在意要去說
[00:02:38.400 --> 00:02:43.080]  然後在說的過程是一個虛偽的陳述
[00:02:43.080 --> 00:02:44.080]  弟兄姊妹
[00:02:44.080 --> 00:02:45.160]  當我們看
[00:02:45.160 --> 00:02:46.840]  在聖經裏面
[00:02:46.840 --> 00:02:49.520]  我們提到撒旦是虛荒之子
[00:02:49.520 --> 00:02:52.240]  他的工作是什麼呢
[00:02:52.240 --> 00:02:55.880]  就是說謊、欺騙
[00:02:55.880 --> 00:02:57.240]  他的工作是什麼呢
[00:02:57.240 --> 00:02:58.360]  就是控訴
[00:02:58.360 --> 00:03:03.120]  說我們作為神父、作為神的子女
[00:03:03.120 --> 00:03:05.800]  我們有多不對
[00:03:05.800 --> 00:03:07.080]  控訴的過程
[00:03:07.080 --> 00:03:11.000]  就將人和神的關係越扯越遠
[00:03:11.000 --> 00:03:12.120]  說謊的過程
[00:03:12.120 --> 00:03:13.720]  欺騙的過程
[00:03:13.720 --> 00:03:18.480]  就要令人去痛苦遠離上帝
[00:03:18.480 --> 00:03:21.680]  如果我們看這一節的誡命
[00:03:21.680 --> 00:03:25.120]  在過程裏面我們知道
[00:03:25.120 --> 00:03:29.000]  就是這班子民要進入迦南的時候
[00:03:29.000 --> 00:03:31.000]  神給他們的誡命
[00:03:31.000 --> 00:03:35.120]  最終是要去建立和鄰舍的關係
[00:03:35.120 --> 00:03:37.040]  在這個關係的背後
[00:03:37.040 --> 00:03:43.960]  是要表達人與人之間是需要有信任的
