
[00:00:00.000 --> 00:00:01.240]  主內的弟兄姊妹
[00:00:01.240 --> 00:00:05.200]  在我們當中一起崇拜的朋友
[00:00:05.200 --> 00:00:07.360]  或者第一次來到我們當中的來賓
[00:00:07.360 --> 00:00:09.080]  大家好 早安
[00:00:09.080 --> 00:00:12.520]  今天我們會在很多程序上
[00:00:12.520 --> 00:00:16.640]  有很多很豐富的訊息跟大家分享
[00:00:16.640 --> 00:00:21.320]  但在我今天要分享神話與之先
[00:00:21.320 --> 00:00:24.480]  我們請大會眾跟我一起低頭祈禱
[00:00:24.480 --> 00:00:25.080]  好嗎?
[00:00:25.080 --> 00:00:25.680]  OK
[00:00:25.680 --> 00:00:27.200]  因此的天父
[00:00:27.200 --> 00:00:29.160]  愛我們的主耶穌基督
[00:00:29.680 --> 00:00:31.760]  求聖靈在我們當中運行
[00:00:31.760 --> 00:00:35.280]  幫助我們每一個人都能夠聽明白
[00:00:35.280 --> 00:00:39.920]  了解祢為我們預備神話與聖經的訊息
[00:00:39.920 --> 00:00:42.280]  叫我能夠講得清楚
[00:00:42.280 --> 00:00:44.480]  成為祢流通的管治
[00:00:44.480 --> 00:00:46.560]  會眾能夠聽得明白
[00:00:46.560 --> 00:00:49.400]  我的禱告是奉主耶穌基督的命求
[00:00:49.400 --> 00:00:50.440]  Amen
[00:00:50.440 --> 00:00:53.720]  權勢之人無力之懷
[00:00:53.720 --> 00:00:57.560]  有沒有想過當神很簡單的答案
[00:00:57.560 --> 00:01:00.880]  遇上人的驕傲的時候會有什麼事情發生呢?
[00:01:00.880 --> 00:01:04.400]  這就是我今天要分享神話與的訊息
[00:01:04.400 --> 00:01:10.320]  開始的時候我想問問大家
[00:01:10.320 --> 00:01:12.240]  其實你在當中有沒有試過有時
[00:01:12.240 --> 00:01:13.400]  你有些問題
[00:01:13.400 --> 00:01:15.560]  無論你怎樣兜兜轉轉
[00:01:15.560 --> 00:01:17.520]  想盡辦法
[00:01:17.520 --> 00:01:20.600]  但怎樣都找不到一個辦法去解決呢?
[00:01:20.600 --> 00:01:24.120]  你可能試過用很多不同的方法
[00:01:24.120 --> 00:01:25.760]  去解決它
[00:01:25.760 --> 00:01:26.760]  去修好它
