
[00:00:00.000 --> 00:00:02.000]  領先會早晨
[00:00:02.000 --> 00:00:04.000]  感謝主
[00:00:04.000 --> 00:00:06.000]  又再一次站在這個講台
[00:00:06.000 --> 00:00:08.000]  和大家一起來敬拜
[00:00:08.000 --> 00:00:10.000]  實在是神自己很大的恩典
[00:00:10.000 --> 00:00:14.000]  今年我七十二歲
[00:00:14.000 --> 00:00:20.000]  入大學之前
[00:00:20.000 --> 00:00:22.000]  我成為基督徒
[00:00:22.000 --> 00:00:26.000]  所以信主到現在
[00:00:26.000 --> 00:00:28.000]  都超過了五十年
[00:00:30.000 --> 00:00:32.000]  今天我特地選這個題目
[00:00:32.000 --> 00:00:34.000]  就叫做五十年來
[00:00:34.000 --> 00:00:36.000]  我是有意
[00:00:36.000 --> 00:00:40.000]  想將我這五十幾年以來
[00:00:40.000 --> 00:00:42.000]  那個信仰
[00:00:42.000 --> 00:00:44.000]  宗教信仰的思考
[00:00:44.000 --> 00:00:46.000]  來總結一下
[00:00:46.000 --> 00:00:50.000]  如果我們當中是基督徒的頂姐妹
[00:00:50.000 --> 00:00:52.000]  希望我今天所講的
[00:00:52.000 --> 00:00:56.000]  成為你和我一起的見證
[00:00:56.000 --> 00:00:58.000]  讓我們知道我們的信仰
[00:00:58.000 --> 00:01:00.000]  並不是自我安慰
[00:01:00.000 --> 00:01:02.000]  是又真又實
[00:01:02.000 --> 00:01:04.000]  以致我們對前面的路
[00:01:04.000 --> 00:01:06.000]  我們的神
[00:01:06.000 --> 00:01:08.000]  那種把握和永恆
[00:01:08.000 --> 00:01:12.000]  我們不會再有懷疑
[00:01:12.000 --> 00:01:14.000]  我覺得這是一個很大的祝福
[00:01:14.000 --> 00:01:16.000]  如果我們今天
[00:01:16.000 --> 00:01:18.000]  在我們在座當中
[00:01:18.000 --> 00:01:20.000]  是有一些朋友
[00:01:20.000 --> 00:01:22.000]  你一直以來都是在信仰的邊緣
[00:01:22.000 --> 00:01:24.000]  在考慮中
[00:01:24.000 --> 00:01:26.000]  我希望今天講
[00:01:26.000 --> 00:01:30.000]  我自己總結我人生這五十幾年來
