
[00:00:00.000 --> 00:00:02.660]  遊刃必有餘
[00:00:02.660 --> 00:00:05.240]  今天跟大家去看彼得前書
[00:00:05.240 --> 00:00:09.840]  彼得前書在他的背景中充滿着不容易的艱難
[00:00:09.840 --> 00:00:15.880]  在當時一個比較暴烈的君王統治下
[00:00:15.880 --> 00:00:20.520]  基督徒承受了很多很無辜的一些狀況
[00:00:20.520 --> 00:00:24.320]  李六王很想用火燒燬一個建築物
[00:00:24.320 --> 00:00:25.920]  讓它能夠重建
[00:00:25.920 --> 00:00:29.240]  但是火卻毀滅了整個城市
[00:00:29.240 --> 00:00:31.480]  他面對這個難題
[00:00:31.480 --> 00:00:32.520]  他要找人揹飛
[00:00:32.520 --> 00:00:35.120]  他就找了基督徒去揹飛
[00:00:35.120 --> 00:00:39.640]  然後在當中基督徒面對很大的逼迫艱難
[00:00:39.640 --> 00:00:41.880]  彼得前書是面對苦難
[00:00:41.880 --> 00:00:44.560]  一羣信徒的一個出路
[00:00:44.560 --> 00:00:46.480]  因爲當中寫的人
[00:00:46.480 --> 00:00:48.200]  寫的書或者寫的背景
[00:00:48.200 --> 00:00:51.240]  正正就是面對一個艱難的時候
[00:00:51.240 --> 00:00:55.520]  今天跟大家分享的題目叫做《遊刃必有餘》
[00:00:55.520 --> 00:00:58.520]  我不知道大家有沒有聽過這一句古語
[00:00:58.520 --> 00:00:59.280]  或者這麼說
[00:00:59.280 --> 00:01:04.480]  有沒有聽過刨丁解牛這一個成語故事
[00:01:04.480 --> 00:01:06.640]  刨丁是誰呢
[00:01:06.640 --> 00:01:08.520]  是不是他姓刨的丁呢
[00:01:08.520 --> 00:01:11.760]  原來刨就是廚師的意思
[00:01:11.760 --> 00:01:13.680]  所以疫情期間
[00:01:13.680 --> 00:01:17.720]  我們經常上網去找很多煮食的方法
[00:01:17.720 --> 00:01:19.760]  我想大家都在經驗
[00:01:19.760 --> 00:01:21.200]  我自己也是
[00:01:21.200 --> 00:01:22.840]  現在好了很多
[00:01:22.840 --> 00:01:26.080]  但是之前我們要三餐都在家
[00:01:26.080 --> 00:01:29.400]  不過很多人說不知道爲什麼會喫五餐那麼多
[00:01:29.400 --> 00:01:32.120]  然後大家就說不知道煮什麼好
[00:01:32.120 --> 00:01:35.840]  於是乎就在上網不斷去找多點食物
[00:01:35.840 --> 00:01:38.280]  所以我們對那些什麼Master Chef
[00:01:38.280 --> 00:01:40.600]  Chef ABC Chef什麼什麼
[00:01:40.600 --> 00:01:43.760]  澳洲 紐西蘭 美國
[00:01:43.760 --> 00:01:46.000]  慕尼求斯 哪裏都查出來
[00:01:46.000 --> 00:01:50.200]  一定煮一餐國際性的隆重的一頓餐
[00:01:50.200 --> 00:01:55.080]  所以Chef丁就是這位刨丁
