
[00:00:00.000 --> 00:00:04.660]  美式足球是一項很刺激的球類運動
[00:00:04.660 --> 00:00:08.220]  球員的衝撞是他的特色之一
[00:00:08.220 --> 00:00:11.940]  有一個美式足球的球會
[00:00:11.940 --> 00:00:16.840]  他的教練要物色一些傑出的球員加盟
[00:00:16.840 --> 00:00:19.900]  於是就找來一個金牌的經理人
[00:00:19.900 --> 00:00:24.960]  經理人問「教練,你想找一個怎樣的球員呢?」
[00:00:26.320 --> 00:00:33.380]  「教練,外面有很多不同類型的球員,我們真的要很小心地去找」
[00:00:33.380 --> 00:00:39.420]  「有些球員被人撞倒了,他就這樣躺在地上,站不起來了」
[00:00:39.420 --> 00:00:44.820]  經理人回應「教練,你一定不是想找這些球員」
[00:00:44.820 --> 00:00:47.520]  「教練,當然不會」
[00:00:47.520 --> 00:00:51.740]  「有些球員被人撞倒了,他就站起來了」
[00:00:51.740 --> 00:00:58.340]  「然後再次被人撞倒第二次,然後他就站不起來了」
[00:00:58.340 --> 00:01:00.340]  「就這樣躺在地上」
[00:01:00.340 --> 00:01:05.900]  經理人說「教練,那你一定不想找這些球員了」
[00:01:05.900 --> 00:01:08.760]  「教練說,當然不會」
[00:01:08.760 --> 00:01:14.340]  「有些球員被人撞倒了,他就站起來了」
[00:01:14.340 --> 00:01:20.180]  「然後他第二次再被人撞倒,他就再站起來了」
[00:01:20.180 --> 00:01:25.060]  「然後再第三次被人撞倒,又再站起來了」
[00:01:25.060 --> 00:01:28.600]  「然後每一次被人撞倒,他都站起來了」
[00:01:28.600 --> 00:01:34.580]  經理人回應「教練,你一定是想找這些球員了」
[00:01:34.580 --> 00:01:38.740]  「教練說,都不是」
[00:01:38.740 --> 00:01:44.020]  「我想找的球員,是他會撞倒對方每一個球員」
[00:01:44.020 --> 00:01:48.700]  「而自己是不會被對手撞倒的」
[00:01:50.000 --> 00:01:52.000]  「有沒有這樣的可能?」
[00:01:52.000 --> 00:01:57.500]  保羅說:「已忽所書六章十節」
[00:01:57.500 --> 00:02:01.420]  「若還有沒了的話,你們要靠著主」
[00:02:01.420 --> 00:02:05.520]  「依賴他的大能大力,作降強的人」
[00:02:05.520 --> 00:02:12.320]  「魔鬼時時都想叛倒我們,打擊我們」
[00:02:12.320 --> 00:02:15.860]  「我們上兩堂課講得很清楚」
[00:02:15.860 --> 00:02:21.580]  「已忽所書四章二十七節,不可及魔鬼留地步」
[00:02:21.580 --> 00:02:24.400]  「魔鬼殺人是機會主義者」
[00:02:24.400 --> 00:02:28.160]  「也是最忠心於他們的職務」
[00:02:28.160 --> 00:02:33.420]  「就是隨時把握機會吞噬我們」
[00:02:33.420 --> 00:02:37.780]  「沒錯,我們每次被擊倒,能夠重新站起來」
[00:02:37.780 --> 00:02:40.700]  「已經是很厲害、很了不起」
[00:02:40.700 --> 00:02:47.900]  「但是神的教導,神的話語教導我們,要做一個降強的人」
[00:02:47.900 --> 00:02:51.220]  「怎麼做呢?」
[00:02:51.220 --> 00:02:56.040]  「靠著主,依賴他的大能大力」
[00:02:56.040 --> 00:02:59.680]  「你們要靠著主」
[00:02:59.680 --> 00:03:05.120]  「原問是,你們要再主類」
[00:03:05.120 --> 00:03:11.720]  「屬靈增戰的秘訣,就是必須要再主類」
[00:03:11.720 --> 00:03:14.920]  「我們絕對不能夠在自己裡面」
[00:03:14.920 --> 00:03:17.720]  「不只不能夠靠自己」
[00:03:17.720 --> 00:03:21.680]  「也不能夠看著自己、想著自己」
[00:03:21.680 --> 00:03:26.780]  「什麼時候,我們一看自己、想自己」
[00:03:26.780 --> 00:03:33.760]  「我們就會軟弱下來,不能夠增戰,只得繳械」
[00:03:36.120 --> 00:03:39.080]  「依賴他的大能大力」
[00:03:39.080 --> 00:03:46.380]  「我們所需要的力量的泉源,是由在主裡面而來」
[00:03:46.380 --> 00:03:50.780]  「意思就是說,靠著我們和主的聯合」
[00:03:50.780 --> 00:03:56.620]  「那個本來是屬於他的能力,就轉移到我們身上」
[00:03:56.620 --> 00:04:01.520]  「在他裡面,靠著神加給我們力量的」
[00:04:01.520 --> 00:04:03.520]  「凡事都能做」
[00:04:05.620 --> 00:04:12.620]  「做剛強的人,在原問是現在被動的語態」
[00:04:12.620 --> 00:04:17.620]  「所以不是我們自己本身能夠剛強」
