
[00:00:00.000 --> 00:00:04.000]  在這個時間想問大家想要多些什麼呢?
[00:00:04.000 --> 00:00:10.000]  有沒有一些想要多些什麼呢?
[00:00:10.000 --> 00:00:13.000]  有些人好像我這樣
[00:00:13.000 --> 00:00:16.000]  不知為什麼捉來捉去都捉不到多些
[00:00:16.000 --> 00:00:21.000]  可以高一點CP或者強一點CP的寶可夢
[00:00:21.000 --> 00:00:23.000]  還在等更高一點的
[00:00:23.000 --> 00:00:25.000]  還有沒有需要多些什麼呢?
[00:00:26.000 --> 00:00:32.000]  可能需要多些睡覺
[00:00:32.000 --> 00:00:34.000]  可能整天都不夠睡
[00:00:34.000 --> 00:00:37.000]  又可能想多些時間
[00:00:37.000 --> 00:00:39.000]  可以打多些機
[00:00:39.000 --> 00:00:43.000]  這個就是我兒子過去放假
[00:00:43.000 --> 00:00:46.000]  暑假的時間想要的東西
[00:00:46.000 --> 00:00:49.000]  或者有些人可能現在八月中
[00:00:49.000 --> 00:00:51.000]  可能這個願望都什麼的
[00:00:51.000 --> 00:00:53.000]  想要再多些假期
[00:00:53.000 --> 00:00:55.000]  不用那麼快上學就好了
[00:00:57.000 --> 00:01:01.000]  或者有些人想多些上學
[00:01:01.000 --> 00:01:04.000]  不過這裡沒什麼人喜歡這樣
[00:01:04.000 --> 00:01:07.000]  但是人生其實有一樣東西
[00:01:07.000 --> 00:01:09.000]  是你和我都想要多些的
[00:01:09.000 --> 00:01:12.000]  我想是什麼呢?
[00:01:12.000 --> 00:01:15.000]  就是多些愛
[00:01:15.000 --> 00:01:17.000]  More love
[00:01:17.000 --> 00:01:19.000]  是不是要我開這裡?
[00:01:19.000 --> 00:01:22.000]  好,先開開
[00:01:26.000 --> 00:01:27.000]  多些愛
[00:01:27.000 --> 00:01:29.000]  你想一下
[00:01:29.000 --> 00:01:31.000]  其實我們身邊有很多不同的人
[00:01:31.000 --> 00:01:33.000]  我們不是一個人
[00:01:33.000 --> 00:01:35.000]  有句俗語
[00:01:35.000 --> 00:01:37.000]  No man is an island
[00:01:37.000 --> 00:01:39.000]  沒有人是孤島
[00:01:39.000 --> 00:01:41.000]  所以其實每個人
[00:01:41.000 --> 00:01:43.000]  我想在人生裏面
[00:01:43.000 --> 00:01:45.000]  想想自己
[00:01:45.000 --> 00:01:47.000]  你都想多些別人的愛護
[00:01:47.000 --> 00:01:49.000]  可能是家長
[00:01:49.000 --> 00:01:51.000]  爸爸媽媽
[00:01:51.000 --> 00:01:53.000]  家人
[00:01:53.000 --> 00:01:55.000]  老師
[00:01:56.000 --> 00:01:57.000]  弟兄姊妹
[00:01:57.000 --> 00:02:01.000]  或者將來出去工作
[00:02:01.000 --> 00:02:06.000]  可能都想多些科士的愛護
[00:02:06.000 --> 00:02:08.000]  更加不用說
[00:02:08.000 --> 00:02:10.000]  男女之間
[00:02:10.000 --> 00:02:12.000]  將來或者現在
[00:02:12.000 --> 00:02:14.000]  有反拖的
[00:02:14.000 --> 00:02:16.000]  都希望有多些
[00:02:16.000 --> 00:02:18.000]  有另外一個異性的朋友
[00:02:18.000 --> 00:02:20.000]  多些愛護給你
[00:02:20.000 --> 00:02:22.000]  所以你會發覺
[00:02:22.000 --> 00:02:24.000]  在這個世界上
[00:02:25.000 --> 00:02:26.000]  我們聽的歌
[00:02:26.000 --> 00:02:28.000]  流行曲
[00:02:28.000 --> 00:02:30.000]  就算是我們剛才唱的歌
[00:02:30.000 --> 00:02:33.000]  十之八九都是什麼?
[00:02:33.000 --> 00:02:35.000]  都是講愛的
[00:02:35.000 --> 00:02:37.000]  講情
[00:02:37.000 --> 00:02:39.000]  不過很多都不是很好
[00:02:39.000 --> 00:02:41.000]  又或者有些
[00:02:41.000 --> 00:02:43.000]  很多時我們看的電影
[00:02:43.000 --> 00:02:45.000]  或者那些話劇
[00:02:45.000 --> 00:02:47.000]  劇集
[00:02:47.000 --> 00:02:49.000]  最主要的內容是什麼呢?
[00:02:49.000 --> 00:02:51.000]  都是講愛情
[00:02:51.000 --> 00:02:53.000]  就是想有多些愛
[00:02:54.000 --> 00:02:56.000]  早前可能大家都會看
[00:02:56.000 --> 00:02:58.000]  這個是什麼?
[00:02:58.000 --> 00:03:01.000]  很早啊
[00:03:01.000 --> 00:03:03.000]  很老套啊
[00:03:03.000 --> 00:03:05.000]  什麼人啊?
[00:03:05.000 --> 00:03:07.000]  大家還記不記得是什麼名字?
[00:03:07.000 --> 00:03:09.000]  不要講偽名
[00:03:09.000 --> 00:03:11.000]  講真人的名字
[00:03:11.000 --> 00:03:13.000]  這兩個
[00:03:13.000 --> 00:03:15.000]  都是賢
[00:03:15.000 --> 00:03:17.000]  什麼戲啊?
[00:03:17.000 --> 00:03:19.000]  大家講了
[00:03:19.000 --> 00:03:21.000]  這一套沒那麼老套
[00:03:21.000 --> 00:03:23.000]  這一套近一點
[00:03:24.000 --> 00:03:25.000]  什麼名字啊?
[00:03:25.000 --> 00:03:27.000]  就是雙宋
[00:03:27.000 --> 00:03:29.000]  這個宋什麼啊?
[00:03:29.000 --> 00:03:32.000]  宋仲基宋喬惠
[00:03:32.000 --> 00:03:34.000]  什麼戲名啊?
[00:03:34.000 --> 00:03:37.000]  你們不看啊?
[00:03:37.000 --> 00:03:39.000]  太陽的求雨
[00:03:39.000 --> 00:03:41.000]  好 機會來了
[00:03:41.000 --> 00:03:43.000]  輝雲
[00:03:43.000 --> 00:03:46.000]  接著這一套
[00:03:46.000 --> 00:03:48.000]  有獎品的
[00:03:48.000 --> 00:03:50.000]  這一套應該是最近
[00:03:50.000 --> 00:03:52.000]  我猜吧
