
[00:00:00.000 --> 00:00:02.000]  我們一同先有個祈禱
[00:00:02.000 --> 00:00:05.800]  七因主祢與我們同在
[00:00:05.800 --> 00:00:07.520]  感謝祢和賜福我們
[00:00:07.520 --> 00:00:09.720]  叫我們在主日裡
[00:00:09.720 --> 00:00:10.800]  我們去敬拜
[00:00:10.800 --> 00:00:11.800]  我們去侍奉
[00:00:11.800 --> 00:00:13.320]  我們在天上的巴父
[00:00:13.320 --> 00:00:14.320]  多謝主
[00:00:14.320 --> 00:00:16.120]  你聽我們的禱告
[00:00:16.120 --> 00:00:17.200]  奉主名求
[00:00:17.200 --> 00:00:18.000]  阿門
[00:00:18.000 --> 00:00:21.000]  我們更多要明白天父的心懷
[00:00:21.000 --> 00:00:25.000]  我們怎樣做好地上父親的角色
[00:00:25.000 --> 00:00:26.200]  我們去思想
[00:00:26.200 --> 00:00:27.800]  我們在天上的父
[00:00:27.800 --> 00:00:30.800]  祂給我們的典範和教導
[00:00:30.800 --> 00:00:31.800]  弟兄姊妹
[00:00:31.800 --> 00:00:36.400]  我不知道父親的形象給你是怎樣的
[00:00:36.400 --> 00:00:41.000]  就是你想想你爸爸的形象
[00:00:41.000 --> 00:00:44.600]  又或者你嘗試估計一下
[00:00:44.600 --> 00:00:48.800]  你在你的小朋友心目中的形象
[00:00:48.800 --> 00:00:50.800]  一般是怎樣的
[00:00:50.800 --> 00:00:53.200]  是不是沉默寡言
[00:00:53.200 --> 00:00:55.400]  不是很多說話的
[00:00:55.400 --> 00:01:00.200]  不容易去表達情感和感受的
[00:01:00.200 --> 00:01:05.200]  當你的子女去到少年人階段
[00:01:05.200 --> 00:01:07.200]  他又不讓你擁抱
[00:01:07.200 --> 00:01:09.400]  你也不去擁抱他的
[00:01:09.400 --> 00:01:10.600]  即是爸爸
[00:01:10.600 --> 00:01:11.200]  我說爸爸
[00:01:11.200 --> 00:01:13.200]  媽媽就走過去擁抱的
[00:01:13.200 --> 00:01:14.400]  不理你那麼多的
