
[00:00:00.000 --> 00:00:03.940]  今天我們會探討題目叫「神聖憤怒」
[00:00:03.940 --> 00:00:06.280]  我們經常都有一句話就是
[00:00:06.280 --> 00:00:08.420]  當以基督耶穌的心為心
[00:00:08.420 --> 00:00:10.280]  當然這是絕對正確的
[00:00:10.280 --> 00:00:11.680]  這是在菲律賓書裡面
[00:00:11.680 --> 00:00:13.180]  就是我們要去關心
[00:00:13.180 --> 00:00:15.120]  或者我們的心要貼近神
[00:00:15.120 --> 00:00:17.120]  我們的主是很溫柔的
[00:00:17.120 --> 00:00:18.220]  但是我們有沒有想過
[00:00:18.220 --> 00:00:19.720]  我們的主也會發怒
[00:00:19.720 --> 00:00:21.460]  而我們發怒又對不對呢
[00:00:21.460 --> 00:00:24.500]  當然今天是我們會探討的課題
[00:00:24.500 --> 00:00:26.600]  當以基督耶穌的心為心
[00:00:26.600 --> 00:00:29.400]  就是說我們貼近神的心意
[00:00:29.400 --> 00:00:30.800]  保羅教導我們
[00:00:30.800 --> 00:00:32.600]  他說「與喜樂的人同樂
[00:00:32.600 --> 00:00:34.100]  與哀哭的人同哭」
[00:00:34.100 --> 00:00:35.100]  是對的
[00:00:35.100 --> 00:00:37.680]  但是我們有沒有同神都有同感呢
[00:00:37.680 --> 00:00:39.480]  以神的喜樂為喜樂
[00:00:39.480 --> 00:00:41.480]  以神的憤怒為憤怒
[00:00:41.480 --> 00:00:43.280]  今天作為基督徒
[00:00:43.280 --> 00:00:44.820]  我們要心裡柔和謙卑
[00:00:44.820 --> 00:00:46.980]  我們好像一定要溫柔
[00:00:46.980 --> 00:00:48.160]  但是可不可以發怒呢
[00:00:48.160 --> 00:00:49.080]  今天我們會探討
[00:00:49.080 --> 00:00:52.520]  好了 今天是識讀大衛的第三講
[00:00:52.520 --> 00:00:56.660]  我們第一次看到金玉其內
[00:00:56.660 --> 00:01:00.440]  就是大衛其實在父親甚至兄長的眼中
[00:01:00.440 --> 00:01:02.540]  是毫無地位的
[00:01:02.540 --> 00:01:05.040]  但是神他是揀選大衛
[00:01:05.040 --> 00:01:06.440]  很清楚一句話就是
[00:01:06.440 --> 00:01:09.540]  神說我不是以貌取人的
[00:01:09.540 --> 00:01:10.840]  我是看內心的
[00:01:10.840 --> 00:01:14.340]  那麼大衛他有一個很單純的心向著神
[00:01:14.340 --> 00:01:16.580]  特別是今天我們探討的神聖憤怒
[00:01:16.580 --> 00:01:18.280]  就會反映出來了
[00:01:18.280 --> 00:01:21.260]  所以就蒙神的揀選
[00:01:21.260 --> 00:01:24.620]  那麼上個星期我們看到就是著魔驅魔
[00:01:24.620 --> 00:01:29.100]  如果一個人在內心裡沒了神
[00:01:29.100 --> 00:01:32.640]  甚至跟魔鬼有過交易
[00:01:32.640 --> 00:01:35.100]  或者將自己的利益獻給魔鬼的時候
[00:01:35.100 --> 00:01:37.480]  就被魔鬼控制了
[00:01:37.480 --> 00:01:40.080]  但是靠著神我們才可以得勝
[00:01:40.080 --> 00:01:42.880]  好了 今天我們會看《十字記》上的第十七章
[00:01:42.880 --> 00:01:46.540]  記載了一個我們很熟悉的戰役
[00:01:46.540 --> 00:01:48.720]  不過我們會分兩次來看的
[00:01:48.720 --> 00:01:50.520]  就是以拉谷戰役
[00:01:50.520 --> 00:01:52.520]  就是大衛打哥尼亞
[00:01:52.520 --> 00:01:55.660]  就算不信的人都會懂得引用這句話
[00:01:55.660 --> 00:01:58.460]  就是大衛終於贏了哥尼亞了
[00:01:58.460 --> 00:02:00.460]  可能一隊的球隊很弱的
[00:02:00.460 --> 00:02:02.040]  但是竟然贏了敬女
[00:02:02.040 --> 00:02:04.040]  那麼大衛打哥尼亞
[00:02:04.040 --> 00:02:06.600]  都帶來了一個信息
[00:02:06.600 --> 00:02:10.340]  或者說前面是一個很強大的勢力
[00:02:10.340 --> 00:02:12.340]  但是雞蛋對高牆
[00:02:12.340 --> 00:02:14.340]  但是原來一天都可以贏的
[00:02:14.340 --> 00:02:18.440]  但是其實在這個戰役裡面有很多很寶貴的教導
[00:02:18.440 --> 00:02:20.180]  我們往往是忽略了的
[00:02:20.180 --> 00:02:23.560]  所以我們會和大家一起好好地探討
[00:02:23.560 --> 00:02:28.120]  好 我先和大家一起去分享那個Parpons
[00:02:28.120 --> 00:02:34.000]  好了 我們先要來了解一個背景
[00:02:34.000 --> 00:02:36.000]  默默之戰
[00:02:36.000 --> 00:02:38.420]  記不記得我們去看《數羅》的時候
[00:02:38.420 --> 00:02:41.800]  《數羅》就打贏了這幫菲律師人
[00:02:41.800 --> 00:02:43.800]  菲律師人敗退
