
[00:00:00.000 --> 00:00:07.380]  今日我都係同大家講復活既訊息
[00:00:07.380 --> 00:00:16.200]  死人能夠復活呢個消息一定係會好震撼 會好驚人
[00:00:16.200 --> 00:00:22.920]  無論呢個復活既消息發生係任何既時代
[00:00:22.920 --> 00:00:32.060]  係任何既國家裏面都會係有咁既反應 會係非常震撼
[00:00:32.060 --> 00:00:38.440]  喺大約2000年前 即係公元33年左右
[00:00:38.440 --> 00:00:43.560]  喺猶太耶路撒冷呢個地方
[00:00:43.560 --> 00:00:47.360]  嗰一位為世人既罪被釘死係十字架上面
[00:00:47.360 --> 00:00:50.160]  又被埋葬左既耶穌基督
[00:00:50.160 --> 00:00:55.540]  佢竟然喺死後第三日復活左
[00:00:55.540 --> 00:01:02.920]  喺嗰一日 第一個見到耶穌基督復活之後顯現既人係
[00:01:02.920 --> 00:01:05.720]  沒達拉既瑪利亞
[00:01:05.720 --> 00:01:15.000]  咁佢即刻就將耶穌復活呢個消息去話俾耶穌既門徒知道
[00:01:15.000 --> 00:01:20.160]  咁當然啦 呢個耶穌從死裏復活既消息
[00:01:20.160 --> 00:01:26.160]  對當時既門徒黎講 亦都係非常之震撼
[00:01:26.160 --> 00:01:29.980]  可能就係因為呢個緣故
[00:01:29.980 --> 00:01:34.200]  一班既門徒聚集係一齊
[00:01:34.200 --> 00:01:39.600]  係去商討呢件事 要去正視呢件事
[00:01:39.600 --> 00:01:44.500]  喺嗰一刻 可能除左根據聖經所記載
[00:01:44.500 --> 00:01:51.980]  除左約翰之外 其他大部份既門徒都係半信半疑
[00:01:51.980 --> 00:01:55.900]  或者可以實際地講
[00:01:55.900 --> 00:02:02.300]  其實佢地係未能夠相信耶穌真係復活左
[00:02:02.300 --> 00:02:04.280]  點解呀?
[00:02:04.280 --> 00:02:09.420]  因為佢地未見到呀
[00:02:09.420 --> 00:02:14.800]  我地可以去估一下 佢地喺聚會裏面
[00:02:14.800 --> 00:02:22.100]  佢地必定會問既問題會係咩呢?
[00:02:22.100 --> 00:02:25.540]  我估佢地一定會問
[00:02:25.540 --> 00:02:31.420]  究竟我地既主復活係咪真架啦?
[00:02:31.420 --> 00:02:34.540]  有咩證據可以證明佢係真係復活左呢?
[00:02:34.540 --> 00:02:43.560]  我相信無論傾咩問題都好呢個問題一定會出現
[00:02:43.560 --> 00:02:50.520]  點先可以證明耶穌真係復活左呢?
[00:02:50.520 --> 00:02:59.680]  今日我地頭先所讀既呢一段經文係俾到我地答案
[00:02:59.680 --> 00:03:03.880]  為當時既門徒黎講 特別係對多瑪
[00:03:03.880 --> 00:03:10.600]  佢個證據就係能夠親眼睇到復活既主顯現
[00:03:10.600 --> 00:03:15.060]  同埋能夠親手去摸耶穌既手上既釘痕
[00:03:15.060 --> 00:03:20.820]  或者身上既傷痕
[00:03:20.820 --> 00:03:27.420]  為我地今日既人黎講 個證據就係
[00:03:27.420 --> 00:03:32.760]  我地係沒有看見就信既人
[00:03:32.760 --> 00:03:40.560]  咁我地既證據係乜野呢?
[00:03:40.560 --> 00:03:44.700]  我所講既就係
[00:03:44.700 --> 00:03:51.800]  我地都係需要伸隻手去摸下個傷痕
[00:03:51.800 --> 00:03:55.680]  不過唔係耶穌既傷痕
[00:03:55.680 --> 00:04:03.500]  係我地自己既傷痕
[00:04:03.500 --> 00:04:09.940]  摸下我地自己既傷痕係咩意思呢?
[00:04:09.940 --> 00:04:13.840]  就係我地喺信主既時候
[00:04:13.840 --> 00:04:17.940]  我地將我地既罪
[00:04:17.940 --> 00:04:27.060]  將我地所有既過失 同耶穌一齊釘係十字架上面
[00:04:27.060 --> 00:04:30.440]  如果我地真係有與主同釘十字架既時候
[00:04:30.440 --> 00:04:35.700]  我地手上面一定會有傷痕留低
[00:04:35.700 --> 00:04:45.160]  當然大家會明白我係講緊一個屬靈層面既一個比喻
[00:04:45.160 --> 00:04:50.740]  我地手上面有無呢個釘痕呢?
[00:04:50.740 --> 00:04:54.560]  今日我就同大家一齊去思想呢個問題
[00:04:54.560 --> 00:04:58.140]  亦都去學一啲既功課
[00:04:58.140 --> 00:05:05.700]  我地先去睇約翰福音二十章十九節
[00:05:05.700 --> 00:05:11.320]  那日就係我地而家所講既禮拜日
[00:05:11.320 --> 00:05:13.240]  就係七日既第一日
[00:05:13.240 --> 00:05:21.300]  亦都係當日黎計就係耶穌復活果日 即係果晚
[00:05:21.300 --> 00:05:25.660]  門徒所在既地方因怕猶太人門都關了
[00:05:25.660 --> 00:05:28.780]  耶穌來站在當中對他們說
[00:05:28.780 --> 00:05:31.640]  願你們平安
[00:05:31.640 --> 00:05:33.240]  第二十節
[00:05:33.240 --> 00:05:36.700]  說了這話就把手和肋旁指給他們看
[00:05:36.700 --> 00:05:41.600]  門徒看見主就喜樂了
[00:05:41.600 --> 00:05:48.200]  門徒對耶穌復活既疑惑
[00:05:48.200 --> 00:05:50.320]  直至呢一刻
[00:05:50.320 --> 00:05:55.120]  就係因為能夠親眼睇到耶穌既顯現
[00:05:55.120 --> 00:06:00.700]  親手能夠摸到耶穌既手同身上既傷痕
[00:06:00.700 --> 00:06:05.100]  呢度經文無直接講佢係話真係去摸
[00:06:05.100 --> 00:06:10.360]  但係從路加福音黎去睇
[00:06:10.360 --> 00:06:12.520]  佢地會係有人真係去摸
[00:06:12.520 --> 00:06:19.020]  因為耶穌邀請佢地黎摸下啦
[00:06:19.020 --> 00:06:22.480]  呢度經文亦都話俾我地知
[00:06:22.480 --> 00:06:25.680]  個啲相信耶穌基督復活既人
[00:06:25.680 --> 00:06:31.480]  佢地既心裏面係會有平安同埋會有喜樂
[00:06:31.480 --> 00:06:34.680]  我地可以用呢一個方法來測試我地
[00:06:34.680 --> 00:06:40.360]  究竟對耶穌基督復活既接受同相信有幾大程度
[00:06:40.360 --> 00:06:41.940]  意思係話
[00:06:41.940 --> 00:06:47.480]  睇下我地從耶穌得到幾大平安喜樂
[00:06:47.480 --> 00:06:52.240]  就會知道我地究竟有幾大信靠
[00:06:52.240 --> 00:06:57.500]  同相信耶穌基督既復活
[00:06:57.500 --> 00:07:00.080]  咁當然實際上我地唔同既人
[00:07:00.080 --> 00:07:04.560]  或者我地每一個人呢一種喜樂平安
[00:07:04.560 --> 00:07:06.360]  都會有多或者有少
[00:07:06.360 --> 00:07:08.980]  唔會個個一樣
[00:07:08.980 --> 00:07:13.360]  多或者少唔係因為耶穌偏心
[00:07:13.360 --> 00:07:16.020]  比呢個多啲比呢個少啲
[00:07:16.020 --> 00:07:21.140]  而係佢滿滿預備左比每一個人
[00:07:21.140 --> 00:07:23.140]  只不過睇下我地每一個人
[00:07:23.140 --> 00:07:28.140]  自己用幾大既信心同感恩既心
[00:07:28.140 --> 00:07:32.020]  同依靠既心黎去相信耶穌基督
[00:07:32.020 --> 00:07:34.220]  佢呢個復活既大樓
[00:07:34.220 --> 00:07:41.900]  就係能夠比我地平安同喜樂
