
[00:00:00.000 --> 00:00:04.280]  有人說祢的一生會活成什麼樣子
[00:00:04.280 --> 00:00:06.280]  會活得多精彩
[00:00:06.280 --> 00:00:09.080]  或者是彩色的,或者是黑白的
[00:00:09.080 --> 00:00:11.400]  或者是活得多苦悶
[00:00:11.400 --> 00:00:13.400]  或者是活得多淒慘
[00:00:13.400 --> 00:00:14.720]  在於祢
[00:00:14.720 --> 00:00:17.080]  神應許我們說
[00:00:17.080 --> 00:00:20.280]  你們要如得生命並且得得更豐盛
[00:00:20.280 --> 00:00:21.600]  但是祢說
[00:00:21.600 --> 00:00:22.400]  神啊
[00:00:22.400 --> 00:00:25.200]  那我為什麼沒有了豐盛的生命呢
[00:00:25.200 --> 00:00:26.400]  我為什麼
[00:00:26.400 --> 00:00:28.840]  這麼多病痛,這麼多苦難
[00:00:28.840 --> 00:00:30.560]  這麼貧窮,這麼多
[00:00:30.560 --> 00:00:33.200]  雜七雜八的事情呢
[00:00:33.200 --> 00:00:36.200]  其實不光是你們會有,我也會有啊
[00:00:36.200 --> 00:00:39.520]  但是當你定義說
[00:00:39.520 --> 00:00:41.920]  我人生的標竿在我手上
[00:00:41.920 --> 00:00:44.720]  是神已經為我定好了
[00:00:44.720 --> 00:00:46.800]  你就照著祂的意思去做
[00:00:46.800 --> 00:00:49.160]  照著祂的意思去走
[00:00:49.160 --> 00:00:52.320]  你就走出了一條寬廣的道路
[00:00:52.320 --> 00:00:55.200]  你的人生就如同祂所應許的
[00:00:55.200 --> 00:00:58.520]  有生命並且活得更豐盛
[00:00:58.520 --> 00:01:01.160]  這個問題就是說那我怎麼知道
[00:01:01.160 --> 00:01:03.360]  神祂為我所定的
[00:01:03.360 --> 00:01:07.000]  祂的標竿是指的什麼呢
[00:01:07.000 --> 00:01:08.960]  這就是標竿人生的目的
[00:01:08.960 --> 00:01:10.400]  我們讀這本書
[00:01:10.400 --> 00:01:12.360]  要去了解它
[00:01:12.360 --> 00:01:15.440]  標竿人生總共有40課
[00:01:15.440 --> 00:01:17.360]  分成五個單元
[00:01:17.360 --> 00:01:18.640]  第一個主日
[00:01:18.640 --> 00:01:20.800]  我們都要來講兩個主題
[00:01:20.800 --> 00:01:22.160]  一個主題就是
[00:01:22.160 --> 00:01:23.960]  今年教會的意象
[00:01:23.960 --> 00:01:27.760]  就是建造永生神上帝的家
[00:01:27.760 --> 00:01:30.000]  第二個主題就是
[00:01:30.000 --> 00:01:32.240]  活出有標竿的人生
[00:01:32.240 --> 00:01:34.440]  活出有標竿的生命
[00:01:34.440 --> 00:01:35.920]  因為我們每一個人
[00:01:35.920 --> 00:01:37.720]  都有我們人生的目標
[00:01:37.720 --> 00:01:41.200]  我從小我就立志做工程師
[00:01:41.200 --> 00:01:42.560]  我也做了工程師了
[00:01:42.560 --> 00:01:44.480]  也做了大半輩子了
[00:01:44.480 --> 00:01:45.840]  終於退休了
[00:01:45.840 --> 00:01:47.400]  我就才發現說
[00:01:47.400 --> 00:01:48.080]  哎呀
[00:01:48.080 --> 00:01:50.760]  其實這不是我人生的目標
[00:01:50.760 --> 00:01:52.840]  所以我做工程師做得很辛苦
[00:01:52.840 --> 00:01:55.120]  您知道嗎
[00:01:55.120 --> 00:01:58.320]  早知如此我就從小就去讀神學院
[00:01:58.320 --> 00:01:59.520]  就好了
[00:01:59.520 --> 00:02:01.520]  從年輕就開始服侍神
[00:02:01.520 --> 00:02:03.440]  但是也並非如此
[00:02:03.440 --> 00:02:07.520]  因為神真是有恩典有憐憫
[00:02:07.520 --> 00:02:09.880]  讓我一進來
[00:02:09.880 --> 00:02:11.120]  一目十行
[00:02:11.120 --> 00:02:12.040]  過目不忘
[00:02:12.040 --> 00:02:13.480]  就有這個本領
[00:02:13.480 --> 00:02:16.360]  我從五十多歲才開始讀聖經的
[00:02:16.360 --> 00:02:18.280]  現在也快要六十五歲了
[00:02:18.280 --> 00:02:19.600]  他叫我越來越喜樂
[00:02:19.600 --> 00:02:20.640]  越來越健康
[00:02:20.640 --> 00:02:23.560]  好像我可以活到九十九的一樣
[00:02:23.560 --> 00:02:26.520]  我們那一生到底是多長
[00:02:26.520 --> 00:02:28.400]  你要怎麼過呢
[00:02:28.400 --> 00:02:31.440]  因為我們每一個人都有我們人生的目標
[00:02:31.440 --> 00:02:32.880]  我從小說我要做工程師
[00:02:32.880 --> 00:02:34.520]  我也做到了工程師
[00:02:34.520 --> 00:02:35.680]  就憑著這個職業
[00:02:35.680 --> 00:02:36.400]  我賺了錢
[00:02:36.400 --> 00:02:37.560]  我買了房子
[00:02:37.560 --> 00:02:38.280]  有了車子
[00:02:38.280 --> 00:02:40.160]  把我的小孩子帶大了
[00:02:40.160 --> 00:02:40.920]  然後神說
[00:02:40.920 --> 00:02:41.480]  哦
[00:02:41.480 --> 00:02:44.080]  這不是我給你的人生的目標
[00:02:44.080 --> 00:02:47.240]  你的目標乃是要被我所用
[00:02:47.240 --> 00:02:48.920]  做我的僕人
[00:02:48.920 --> 00:02:52.360]  所以我再一次的定位我的人生
[00:02:52.360 --> 00:02:53.640]  好像我們打籃球
[00:02:53.640 --> 00:02:54.720]  你知道嗎
[00:02:54.720 --> 00:02:57.840]  有上半場跟下半場
[00:02:57.840 --> 00:03:00.520]  中間有一個中場的休息
[00:03:00.520 --> 00:03:02.760]  那中場的休息
[00:03:02.760 --> 00:03:06.880]  就是讓你去決定你下半生要怎麼打這場球
[00:03:06.880 --> 00:03:09.560]  我上半場可能打得很糟
[00:03:09.560 --> 00:03:10.840]  工作做得不順利
[00:03:10.840 --> 00:03:12.040]  家庭也不如意
[00:03:12.040 --> 00:03:14.120]  孩子也沒有怎麼樣
[00:03:14.120 --> 00:03:16.080]  對人的關心也差
[00:03:16.080 --> 00:03:17.600]  而且身體也病痛
[00:03:17.600 --> 00:03:19.680]  現在我來到中場
[00:03:19.680 --> 00:03:21.480]  half time的時候
[00:03:21.480 --> 00:03:23.040]  我可以好好想一想
[00:03:23.040 --> 00:03:27.520]  神你要我怎麼打我這下半場的球
[00:03:27.520 --> 00:03:28.600]  感謝神
[00:03:28.600 --> 00:03:30.720]  我正好抓到這個機會
[00:03:30.720 --> 00:03:31.920]  我就發現
