
[00:00:00.000 --> 00:00:02.260]  各位準備平安
[00:00:02.260 --> 00:00:07.160]  很高興我們今天大家再一次的一起來敬拜神
[00:00:07.160 --> 00:00:10.500]  我想我們這裡好像是連續劇
[00:00:10.500 --> 00:00:12.900]  通常都是看了這一集 忘了上一集
[00:00:12.900 --> 00:00:14.600]  所以我們稍微複習一下
[00:00:14.600 --> 00:00:16.800]  我們上次講的得勝者的呼召二
[00:00:16.800 --> 00:00:19.960]  還記得講什麼嗎?
[00:00:19.960 --> 00:00:25.100]  得勝者的呼召二 我們提到說
[00:00:25.100 --> 00:00:30.360]  得勝者的條件
[00:00:30.360 --> 00:00:36.100]  然後我們也講到得勝者的第一個條件
[00:00:36.100 --> 00:00:38.240]  就是要蒙召 還記得嗎?
[00:00:38.240 --> 00:00:40.160]  蒙召我們記得講過說
[00:00:40.160 --> 00:00:44.500]  這個蒙召不是指的是呼召做傳道人的那個蒙召
[00:00:44.500 --> 00:00:46.440]  是指的每一個神的兒女
[00:00:46.440 --> 00:00:50.040]  只要我們信耶穌的 我們都是被神呼召出來的
[00:00:50.040 --> 00:00:54.340]  從萬人當中把我們呼召出來的
[00:00:54.340 --> 00:00:56.340]  所以我們有兩個問題
[00:00:56.340 --> 00:01:00.700]  大家需要常常的來問我們自己
[00:01:00.700 --> 00:01:03.340]  第一個問題就是說
[00:01:03.340 --> 00:01:12.500]  丁子妹 如果你今天晚上你就離開這個世界
[00:01:12.500 --> 00:01:14.660]  你確定你會進神的國嗎?
[00:01:14.660 --> 00:01:17.640]  請你注意 我不用天堂這兩個字
[00:01:17.640 --> 00:01:22.300]  因為天堂這個兩個字很容易讓我們誤會
[00:01:22.300 --> 00:01:29.360]  在聖經上其實比較多用的用詞是講天國 就是神的國
[00:01:29.360 --> 00:01:32.040]  所以我要問一件事情就是說
[00:01:32.040 --> 00:01:33.860]  如果今天你離開這個世界
[00:01:33.860 --> 00:01:38.640]  你確定你會進神的國嗎?
[00:01:38.640 --> 00:01:43.500]  這個問題關乎你很重要的得救不得救的問題
[00:01:43.500 --> 00:01:46.700]  要有得救的確據 這是一件非常重要的事情
[00:01:46.700 --> 00:01:48.700]  第二個問題你要問的是
[00:01:48.700 --> 00:01:55.240]  那麼你進了神的國之後要做什麼呢?
[00:01:55.240 --> 00:01:56.940]  有人說敬拜
[00:01:56.940 --> 00:01:59.440]  所以大家都應該在參加敬拜團
[00:01:59.440 --> 00:02:03.060]  敬拜團都找不到人
[00:02:03.060 --> 00:02:13.100]  丁子妹 所以我們將來到天上去就是敬拜嗎?
