
[00:00:00.000 --> 00:00:02.000]  過聽姊妹早晨
[00:00:02.000 --> 00:00:04.000]  在這個新的一年
[00:00:04.000 --> 00:00:09.000]  祝願各位能夠更加深體會神拯救的大能
[00:00:09.000 --> 00:00:14.000]  並且能夠更深明白生命的意義
[00:00:14.000 --> 00:00:16.000]  舊的一年過去
[00:00:16.000 --> 00:00:19.000]  新的一年剛剛開始
[00:00:19.000 --> 00:00:23.000]  我們也許會懷緬一下過去的事情
[00:00:23.000 --> 00:00:27.000]  檢討一下去年的成敗
[00:00:27.000 --> 00:00:31.000]  思想一下今年的計劃
[00:00:31.000 --> 00:00:34.000]  面對過去我們會追憶
[00:00:34.000 --> 00:00:38.000]  面對將來我們會期盼
[00:00:38.000 --> 00:00:41.000]  我們都是歷史的動物
[00:00:41.000 --> 00:00:45.000]  有特殊的歷史意識
[00:00:45.000 --> 00:00:47.000]  對於時間的流逝
[00:00:47.000 --> 00:00:49.000]  有微妙的感覺
[00:00:49.000 --> 00:00:53.000]  我們會討論歷史的成敗
[00:00:53.000 --> 00:00:55.000]  會數風流人物
[00:00:55.000 --> 00:00:58.000]  我們會想像美好的明天
[00:00:58.000 --> 00:01:01.000]  會叫人還看今朝
[00:01:01.000 --> 00:01:05.000]  就算是個人生活的歷史
[00:01:05.000 --> 00:01:07.000]  我們都會做些判斷
[00:01:07.000 --> 00:01:08.000]  做些評語
[00:01:08.000 --> 00:01:10.000]  我們可能對自己說
[00:01:10.000 --> 00:01:12.000]  過去一年過得真是好了
[00:01:12.000 --> 00:01:16.000]  或者說過去一年真是失敗了
[00:01:16.000 --> 00:01:20.000]  似乎我們每個人直覺都知道
[00:01:20.000 --> 00:01:23.000]  時間的流逝不可能是空白的
[00:01:23.000 --> 00:01:25.000]  不可能是沒有內容的
[00:01:25.000 --> 00:01:27.000]  不可能是沒有意義的
[00:01:27.000 --> 00:01:29.000]  時間的流逝
[00:01:29.000 --> 00:01:31.000]  總是有某一種含義
[00:01:31.000 --> 00:01:33.000]  總是有某一種目的
[00:01:33.000 --> 00:01:36.000]  問題只不過是歷史有什麼意義
[00:01:36.000 --> 00:01:42.000]  時間的流逝引領我們走向何方
[00:01:42.000 --> 00:01:47.000]  啟示錄是一卷探討歷史意義的書卷
[00:01:47.000 --> 00:01:50.000]  它討論歷史的終局
[00:01:50.000 --> 00:01:53.000]  在歷史的終局的角度
[00:01:53.000 --> 00:01:56.000]  去看人間的帝王將相
[00:01:56.000 --> 00:01:57.000]  英雄豪傑
[00:01:57.000 --> 00:02:02.000]  哪一個能經得起歷史的浪花淘盡
[00:02:02.000 --> 00:02:06.000]  是什麼人物在日子流逝過後
[00:02:06.000 --> 00:02:08.000]  能夠留下深刻的足跡
[00:02:08.000 --> 00:02:11.000]  留下不會磨滅的名字
[00:02:11.000 --> 00:02:16.000]  啟示錄有將人的視野從地上帶到天上
[00:02:16.000 --> 00:02:19.000]  讓我們脫離一下塵世的混濁
[00:02:19.000 --> 00:02:21.000]  無止盡的貪婪
[00:02:21.000 --> 00:02:23.000]  利欲分心的盲目
[00:02:23.000 --> 00:02:26.000]  然後在一個名正的藍天之上
[00:02:26.000 --> 00:02:28.000]  細看短視而墮落的人
