
[00:00:00.000 --> 00:00:05.000]  在教會全職侍奉接近二十年的時間
[00:00:05.000 --> 00:00:09.000]  我們教會全職侍奉將近接近二十年時間
[00:00:09.000 --> 00:00:11.000]  在過去這二十年的裏面
[00:00:11.000 --> 00:00:13.000]  在過去這二十年裏面
[00:00:13.000 --> 00:00:15.000]  一直都沒有轉過任何一間教會
[00:00:15.000 --> 00:00:17.000]  在馬來西亞去受到侍奉
[00:00:17.000 --> 00:00:20.000]  都沒有離開馬來西亞進行教會
[00:00:20.000 --> 00:00:22.000]  那你就可能會問
[00:00:22.000 --> 00:00:25.000]  牧師有沒有人找過你去那間教會呢?
[00:00:25.000 --> 00:00:27.000]  牧師有沒有錢賺?你出過錢在教會嗎?
[00:00:27.000 --> 00:00:29.000]  我很誠實地說是有的
[00:00:29.000 --> 00:00:31.000]  我很誠實地說是有的
[00:00:31.000 --> 00:00:33.000]  曾經有一次有一個信徒這樣來跟我講
[00:00:33.000 --> 00:00:35.000]  曾經有一個信徒這樣來跟我講
[00:00:35.000 --> 00:00:36.000]  他叫黃牧師
[00:00:36.000 --> 00:00:37.000]  黃牧師
[00:00:37.000 --> 00:00:40.000]  我其實經常都有上你們教會網站聽你講道
[00:00:40.000 --> 00:00:43.000]  我經常上你們網站聽你的
[00:00:43.000 --> 00:00:47.000]  可以看得出你對神的說話很有心機去預備
[00:00:47.000 --> 00:00:50.000]  發現你對神的話很有心機去預備
[00:00:50.000 --> 00:00:53.000]  很多牧者不敢講的經文
[00:00:53.000 --> 00:00:55.000]  很多牧者不敢講的經文
[00:00:55.000 --> 00:00:57.000]  甚至一生都不講過的經文
[00:00:57.000 --> 00:00:59.000]  甚至一生都不講過的經文
[00:00:59.000 --> 00:01:01.000]  你都會嘗試去講
[00:01:01.000 --> 00:01:02.000]  你都會嘗試去講
[00:01:02.000 --> 00:01:04.000]  而且嘗試得很用心
[00:01:04.000 --> 00:01:07.000]  而且嘗試得非常用心
[00:01:07.000 --> 00:01:10.000]  而我也很認同你的講道的內容
[00:01:10.000 --> 00:01:12.000]  我也很認同講道的內容
[00:01:12.000 --> 00:01:14.000]  和整個的原則
[00:01:14.000 --> 00:01:15.000]  和整個的原則
[00:01:15.000 --> 00:01:17.000]  但我有一個問題想一直問你
[00:01:17.000 --> 00:01:19.000]  我有一個問題一直想問你
[00:01:19.000 --> 00:01:24.000]  為什麼你所牧養的教會一直都不人多呢?
[00:01:24.000 --> 00:01:27.000]  為什麼你所牧養的教會一直都不人多呢?
[00:01:27.000 --> 00:01:31.000]  不是上帝的道被啟示展開的時候
[00:01:31.000 --> 00:01:32.000]  不是上帝的道被啟示展開的時候
[00:01:32.000 --> 00:01:35.000]  教會的人數就會越來越多嗎?
[00:01:35.000 --> 00:01:40.000]  教會的人數就會越來越多嗎?
[00:01:40.000 --> 00:01:41.000]  根據我的看法
[00:01:41.000 --> 00:01:42.000]  根據我的看法
[00:01:42.000 --> 00:01:43.000]  根據我的看法
[00:01:43.000 --> 00:01:45.000]  可能有這個問題
[00:01:45.000 --> 00:01:47.000]  可能有這個問題
[00:01:47.000 --> 00:01:49.000]  因為你講道的內容
[00:01:49.000 --> 00:01:50.000]  因為你講道的內容
[00:01:50.000 --> 00:01:51.000]  你講道的內容
[00:01:51.000 --> 00:01:52.000]  很嚴謹
[00:01:52.000 --> 00:01:53.000]  很嚴謹
[00:01:53.000 --> 00:01:54.000]  很謹慎
[00:01:54.000 --> 00:01:55.000]  很謹慎
[00:01:55.000 --> 00:01:56.000]  而且
[00:01:56.000 --> 00:01:57.000]  而且
[00:01:57.000 --> 00:01:58.000]  不少的時間
[00:01:58.000 --> 00:01:59.000]  不少的時間
[00:01:59.000 --> 00:02:00.000]  對於一些比較深奧的題目
[00:02:00.000 --> 00:02:01.000]  對於一些比較深奧的題目
[00:02:01.000 --> 00:02:02.000]  你都會嘗試去鑽研解釋
[00:02:02.000 --> 00:02:03.000]  你都會嘗試去鑽研解釋
[00:02:03.000 --> 00:02:04.000]  就算有些比較深奧的題目
[00:02:04.000 --> 00:02:05.000]  就算有些比較深奧的題目
[00:02:05.000 --> 00:02:06.000]  你都去鑽研解釋
[00:02:06.000 --> 00:02:07.000]  你都去鑽研解釋
[00:02:07.000 --> 00:02:10.000]  有太過尖銳性的講道內容
[00:02:10.000 --> 00:02:11.000]  有太過尖銳性的講道內容
[00:02:11.000 --> 00:02:12.000]  有太過尖銳性的講道內容
[00:02:12.000 --> 00:02:13.000]  有太過尖銳性的講道內容
[00:02:13.000 --> 00:02:14.000]  有太過尖銳性的講道內容
[00:02:14.000 --> 00:02:24.000]  有太過尖銳性的講道內容
[00:02:24.000 --> 00:02:25.000]  有太過尖銳性的講道內容
[00:02:25.000 --> 00:02:26.000]  有太過尖銳性的講道內容
[00:02:26.000 --> 00:02:27.000]  有太過尖銳性的講道內容
[00:02:27.000 --> 00:02:28.000]  有太過尖銳性的講道內容
[00:02:28.000 --> 00:02:29.000]  有太過尖銳性的講道內容
[00:02:29.000 --> 00:02:30.000]  有太過尖銳性的講道內容
[00:02:30.000 --> 00:02:31.000]  有太過尖銳性的講道內容
[00:02:31.000 --> 00:02:32.000]  有太過尖銳性的講道內容
[00:02:32.000 --> 00:02:33.000]  有太過尖銳性的講道內容
[00:02:33.000 --> 00:02:34.000]  有太過尖銳性的講道內容
[00:02:34.000 --> 00:02:35.000]  有太過尖銳性的講道內容
[00:02:35.000 --> 00:02:36.000]  有太過尖銳性的講道內容
[00:02:36.000 --> 00:02:37.000]  有太過尖銳性的講道內容
[00:02:37.000 --> 00:02:44.000]  有太過尖銳性的講道內容
[00:02:44.000 --> 00:02:45.000]  有太過尖銳性的講道內容
[00:02:45.000 --> 00:02:46.000]  有太過尖銳性的講道內容
[00:02:46.000 --> 00:02:47.000]  有太過尖銳性的講道內容
[00:02:47.000 --> 00:02:48.000]  有太過尖銳性的講道內容
[00:02:48.000 --> 00:02:49.000]  有太過尖銳性的講道內容
[00:02:49.000 --> 00:02:50.000]  有太過尖銳性的講道內容
[00:02:50.000 --> 00:02:51.000]  有太過尖銳性的講道內容
[00:02:51.000 --> 00:02:52.000]  有太過尖銳性的講道內容
[00:02:52.000 --> 00:02:53.000]  有太過尖銳性的講道內容
[00:02:53.000 --> 00:02:54.000]  有太過尖銳性的講道內容
[00:02:54.000 --> 00:02:55.000]  有太過尖銳性的講道內容
