
[00:00:00.000 --> 00:00:03.000]  主啊 你是誰
[00:00:03.000 --> 00:00:09.000]  《仕途行傳》九章一至十九節
[00:00:09.000 --> 00:00:11.000]  未必會讀
[00:00:11.000 --> 00:00:13.000]  但如果大家想研讀
[00:00:13.000 --> 00:00:15.000]  其實都很精彩
[00:00:15.000 --> 00:00:18.000]  在《仕途行傳》有三段經文記載
[00:00:18.000 --> 00:00:19.000]  有少少不同
[00:00:19.000 --> 00:00:23.000]  不過那個call message核心訊息是一樣的
[00:00:23.000 --> 00:00:26.000]  而保羅書信也有記錄這幾段的東西
[00:00:26.000 --> 00:00:29.000]  不過可能大家更加有興趣知道的就是
[00:00:29.000 --> 00:00:32.000]  保羅是誰
[00:00:32.000 --> 00:00:36.000]  在他經歷大話式這個改變之前
[00:00:36.000 --> 00:00:39.000]  他的前半生我會形容為
[00:00:39.000 --> 00:00:41.000]  屬靈父二代
[00:00:41.000 --> 00:00:43.000]  以及人生勝利組
[00:00:43.000 --> 00:00:46.000]  屬於變亞敏之派
[00:00:46.000 --> 00:00:48.000]  有名的
[00:00:48.000 --> 00:00:50.000]  學術聖地大數
[00:00:50.000 --> 00:00:53.000]  他不是出生在一個直直無名的城市
[00:00:53.000 --> 00:00:54.000]  是當時很有名
[00:00:54.000 --> 00:00:55.000]  學術很厲害的
[00:00:55.000 --> 00:00:59.000]  也跟隨了很厲害的師傅叫做加瑪烈
[00:00:59.000 --> 00:01:00.000]  是極端保守
[00:01:00.000 --> 00:01:02.000]  很守教義的法律賽人
[00:01:02.000 --> 00:01:04.000]  上層社會精英
[00:01:04.000 --> 00:01:06.000]  是七十個議員其中一個
[00:01:06.000 --> 00:01:08.000]  很難得的
[00:01:08.000 --> 00:01:10.000]  可能好像立法局那樣
[00:01:10.000 --> 00:01:11.000]  另外
[00:01:11.000 --> 00:01:12.000]  他厲害到什麼程度呢
[00:01:12.000 --> 00:01:13.000]  語文很厲害
[00:01:13.000 --> 00:01:14.000]  希伯來文
[00:01:14.000 --> 00:01:15.000]  阿蘭文
[00:01:15.000 --> 00:01:16.000]  希臘文
[00:01:16.000 --> 00:01:17.000]  拉丁文都行
[00:01:17.000 --> 00:01:18.000]  哲學
[00:01:18.000 --> 00:01:19.000]  詩歌
[00:01:19.000 --> 00:01:24.000]  還可以跟當時的兩位很有名的哲學家來辯論
[00:01:24.000 --> 00:01:25.000]  充滿宗教熱誠
[00:01:25.000 --> 00:01:27.000]  捍衛以色列一神化信仰
[00:01:27.000 --> 00:01:29.000]  是否無懈可擊
[00:01:29.000 --> 00:01:31.000]  一個這樣的人
[00:01:31.000 --> 00:01:33.000]  但同時他在做什麼呢
[00:01:33.000 --> 00:01:36.000]  我們看看第九章之前的背景
