
[00:00:00.000 --> 00:00:03.300]  讓我們一起用祈禱去預備最後今日的訊息
[00:00:03.300 --> 00:00:07.500]  向主我們願意用禱告去預備我們的心靈
[00:00:07.500 --> 00:00:11.400]  求聖靈祢充滿在我們每一位弟兄姊妹當中
[00:00:11.400 --> 00:00:15.200]  無論有年少的愛至白的青少年
[00:00:15.200 --> 00:00:19.200]  又有我們不同團契的弟兄姊妹
[00:00:19.200 --> 00:00:24.000]  又有我們的尊敬的長輩、長者在我們當中
[00:00:24.000 --> 00:00:28.000]  同樣求聖靈祢充滿在我們每一個熟悉祢的人當中
[00:00:28.000 --> 00:00:31.300]  打開我們屬靈的耳朵和心眼
[00:00:31.300 --> 00:00:34.000]  以致讓我們今天透過祢的話語
[00:00:34.000 --> 00:00:38.000]  能夠明白神祢對教會和對我們每一個人的心意
[00:00:38.000 --> 00:00:42.000]  又讓我成為主祢獨人流通的管子
[00:00:42.000 --> 00:00:49.000]  以將祢的話語和弟兄姊妹能夠正確的分享、分解和釋放
[00:00:49.000 --> 00:00:53.000]  以致讓我們能夠將祢的話語在我們心田當中
[00:00:53.000 --> 00:00:56.000]  去活出來去見證上帝祢
[00:00:56.000 --> 00:00:59.000]  求祢讓我們能夠做好最佳的準備
[00:00:59.000 --> 00:01:00.000]  祈禱
[00:01:00.000 --> 00:01:01.000]  奉耶穌基督得性明智
[00:01:01.000 --> 00:01:02.000]  祈求
[00:01:02.000 --> 00:01:03.000]  阿門
[00:01:26.000 --> 00:01:28.000]  現在我要回到第十一節
[00:01:28.000 --> 00:01:29.000]  我想我不跳了
[00:01:29.000 --> 00:01:31.000]  我就由這裡開始
[00:01:31.000 --> 00:01:32.000]  第十一節說
[00:01:32.000 --> 00:01:34.000]  我到了耶路撒冷
[00:01:34.000 --> 00:01:37.000]  在那裡住了三天
[00:01:37.000 --> 00:01:39.000]  在這裡提醒我們的背景
[00:01:39.000 --> 00:01:43.000]  利希米是來自波斯國的舒山城
[00:01:43.000 --> 00:01:46.000]  當時是做酒精專門服侍皇帝的
[00:01:46.000 --> 00:01:48.000]  但請教回鄉
[00:01:48.000 --> 00:01:51.000]  要回到耶路撒冷城去重建城牆
[00:01:51.000 --> 00:01:53.000]  在整個路途裡面
[00:01:53.000 --> 00:01:55.000]  為什麼要繞一圈呢?
[00:01:55.000 --> 00:01:57.000]  因為這裡有個沙漠
[00:01:57.000 --> 00:02:00.000]  如果在這裡繞一圈就死定了
[00:02:00.000 --> 00:02:02.000]  我們估計在這裡走的路程
[00:02:02.000 --> 00:02:04.000]  總共要九百英里
[00:02:04.000 --> 00:02:06.000]  一千五百公里左右
[00:02:06.000 --> 00:02:08.000]  總共走了四個月
[00:02:08.000 --> 00:02:12.000]  你知道當時不會有坐飛機或火車等的東西
[00:02:12.000 --> 00:02:15.000]  其實這裡充滿著危險
[00:02:15.000 --> 00:02:18.000]  充滿著荒涼的曠野
[00:02:18.000 --> 00:02:20.000]  日曬雨淋
[00:02:20.000 --> 00:02:23.000]  所以他們都要晚上紮營
[00:02:23.000 --> 00:02:26.000]  白天天空亮的時候就要起行
[00:02:26.000 --> 00:02:28.000]  讓太陽不要到正午的時候
