
[00:00:00.000 --> 00:00:09.000]  不知道大家知不知道我們今年教會的主題是什麼呢?
[00:00:09.000 --> 00:00:16.000]  記得打開我們的周刊,第一版就有了
[00:00:16.000 --> 00:00:21.000]  這個就是我們今年教會的主題
[00:00:21.000 --> 00:00:26.000]  建立健康教會,發揮團隊動力
[00:00:27.000 --> 00:00:31.000]  盼望我們都是弟兄姊妹彼此的勉勵
[00:00:31.000 --> 00:00:37.000]  在今年裡面朝著這個方向去努力去邁進
[00:00:37.000 --> 00:00:40.000]  也都在主的恩中希望能夠更加的
[00:00:40.000 --> 00:00:44.000]  所表現的貼近這個主題
[00:00:44.000 --> 00:00:48.000]  建立健康教會,發揮團隊的力量
[00:00:48.000 --> 00:00:52.000]  為了使大家明白當中的意義
[00:00:52.000 --> 00:00:56.000]  在今年的年會裡面,在年刊中
[00:00:56.000 --> 00:00:59.000]  我就寫了一篇短的文章
[00:00:59.000 --> 00:01:04.000]  去介紹一下大概我所理解的這個主題是什麼
[00:01:04.000 --> 00:01:10.000]  有機會你去拿一份年刊都可以看得到
[00:01:10.000 --> 00:01:14.000]  在那裡我會告訴弟兄姊妹聽
[00:01:14.000 --> 00:01:17.000]  教會當我們去看它的時候
[00:01:17.000 --> 00:01:21.000]  可以嘗試從七個的向度去看
[00:01:21.000 --> 00:01:23.000]  七個的向度
[00:01:23.000 --> 00:01:25.000]  哪七個的向度呢?
[00:01:25.000 --> 00:01:30.000]  仰望的向度,個人的向度,時宮的向度
[00:01:30.000 --> 00:01:35.000]  關係的向度,架構的向度,前瞻的向度
[00:01:35.000 --> 00:01:37.000]  和外展的向度
[00:01:37.000 --> 00:01:41.000]  我們可以這樣去看我們整間的教會
[00:01:41.000 --> 00:01:45.000]  當我們去思想建立健康教會的時候
[00:01:45.000 --> 00:01:48.000]  我們都嘗試在這七個向度去看
[00:01:48.000 --> 00:01:52.000]  究竟怎樣為之健康
[00:01:52.000 --> 00:01:55.000]  這個都是很值得我們去思想的
[00:01:55.000 --> 00:02:00.000]  今天我們想分享的就是仰望的向度
[00:02:00.000 --> 00:02:02.000]  仰望的層面
