
[00:00:00.000 --> 00:00:03.000]  今天我們來到這個地方去敬拜的時候
[00:00:03.000 --> 00:00:04.000]  我想問一個問題
[00:00:04.000 --> 00:00:06.000]  Are you ready?
[00:00:06.000 --> 00:00:08.000]  Are you ready?
[00:00:08.000 --> 00:00:09.000]  Yes
[00:00:09.000 --> 00:00:12.000]  那完了這個崇拜就知道你是不是ready了
[00:00:12.000 --> 00:00:13.000]  因為我們今天的題目是講
[00:00:13.000 --> 00:00:16.000]  預備敬拜上帝
[00:00:16.000 --> 00:00:17.000]  我們作為一個信徒
[00:00:17.000 --> 00:00:19.000]  每個星期都去敬拜神很多時候
[00:00:19.000 --> 00:00:21.000]  那有時候當然會skip了
[00:00:21.000 --> 00:00:22.000]  無論什麼原因
[00:00:22.000 --> 00:00:23.000]  但是
[00:00:23.000 --> 00:00:26.000]  我們是不是真的ready來敬拜上主呢?
[00:00:26.000 --> 00:00:28.000]  你知道人生當中
[00:00:28.000 --> 00:00:31.000]  有很多事情是需要我們去好好預備的
[00:00:31.000 --> 00:00:34.000]  是不是?
[00:00:34.000 --> 00:00:36.000]  你有沒有去過探望過病人呢?
[00:00:36.000 --> 00:00:37.000]  有啊
[00:00:37.000 --> 00:00:39.000]  去醫院
[00:00:39.000 --> 00:00:41.000]  你要預備自己
[00:00:41.000 --> 00:00:44.000]  你去過探望過監獄嗎?
[00:00:44.000 --> 00:00:45.000]  如果你有的時候
[00:00:45.000 --> 00:00:46.000]  你要知道你也要預備自己
[00:00:46.000 --> 00:00:47.000]  心理準備
[00:00:47.000 --> 00:00:48.000]  是不是?
[00:00:48.000 --> 00:00:49.000]  很多東西
[00:00:49.000 --> 00:00:51.000]  人生當中很多大的事情
[00:00:51.000 --> 00:00:54.000]  是需要我們去好好準備我們自己
[00:00:54.000 --> 00:00:55.000]  譬如考試一樣
[00:00:55.000 --> 00:00:57.000]  很多人會考試的
[00:00:57.000 --> 00:00:58.000]  現在也有考試
[00:00:58.000 --> 00:00:59.000]  我也有考試
[00:00:59.000 --> 00:01:01.000]  如果沒有好好準備的時候
[00:01:01.000 --> 00:01:02.000]  你的心會很慌
[00:01:02.000 --> 00:01:03.000]  考試之前
[00:01:03.000 --> 00:01:04.000]  明白嗎?
[00:01:04.000 --> 00:01:05.000]  明天
[00:01:05.000 --> 00:01:06.000]  星期一
[00:01:06.000 --> 00:01:08.000]  這裡有沒有人要考試的?
[00:01:08.000 --> 00:01:09.000]  沒有
[00:01:09.000 --> 00:01:11.000]  這裡全部人都過了這件事
[00:01:11.000 --> 00:01:12.000]  但是回想起你那時候
