
[00:00:00.000 --> 00:00:05.000]  今日講的經文就是對我一個常常提醒的經文
[00:00:05.000 --> 00:00:11.000]  今天要講的經文就是神常常提醒我的經文
[00:00:11.000 --> 00:00:15.000]  尼迦當時是一個平民的先知
[00:00:15.000 --> 00:00:19.000]  尼迦當時是一個平民的先知
[00:00:19.000 --> 00:00:24.000]  有一個比較貴族的先知就是以賽亞先知
[00:00:24.000 --> 00:00:27.000]  比較貴族的先知就是以賽亞先知
[00:00:27.000 --> 00:00:31.000]  但兩個都是同樣做一個好的先知
[00:00:31.000 --> 00:00:35.000]  但兩個都是同樣做一個好的先知
[00:00:35.000 --> 00:00:37.000]  經文那裡講到
[00:00:37.000 --> 00:00:39.000]  經文這樣講
[00:00:39.000 --> 00:00:41.000]  他去到聖殿的地方
[00:00:41.000 --> 00:00:44.000]  他去到聖殿的地方
[00:00:44.000 --> 00:00:49.000]  聖殿的地方人仍然是很多
[00:00:49.000 --> 00:00:52.000]  聖殿的地方人仍然是很多
[00:00:52.000 --> 00:00:58.000]  獻祭也是很旺盛
[00:00:58.000 --> 00:00:59.000]  獻祭也是很旺盛
[00:00:59.000 --> 00:01:02.000]  但有時候他獻的禮物是不是神所要的呢?
[00:01:02.000 --> 00:01:05.000]  但有時候他獻的禮物是不是神所要的呢?
[00:01:05.000 --> 00:01:07.000]  這是我們第一個反省
[00:01:07.000 --> 00:01:09.000]  這是我們第一個反省
[00:01:09.000 --> 00:01:11.000]  我記得我以前在讀神學時間
[00:01:11.000 --> 00:01:12.000]  我記得我以前在讀神學時間
[00:01:12.000 --> 00:01:14.000]  有個老師講過這樣的故事
[00:01:14.000 --> 00:01:16.000]  我以前念神學的時候
[00:01:16.000 --> 00:01:19.000]  有一位老師告訴我一個故事
[00:01:19.000 --> 00:01:23.000]  他說他的兒子跟他說
[00:01:23.000 --> 00:01:25.000]  他說他的兒子跟他說
[00:01:25.000 --> 00:01:30.000]  「阿爸,可不可以在新年你給我一份禮物?」
[00:01:30.000 --> 00:01:33.000]  「阿爸,可不可以在新年你給我一份禮物?」
[00:01:33.000 --> 00:01:38.000]  一個手提電話,一個電子錶
[00:01:38.000 --> 00:01:42.000]  一個手提電話,一個電子錶
[00:01:42.000 --> 00:01:44.000]  他寫明是什麼牌子
[00:01:44.000 --> 00:01:47.000]  他寫明什麼樣的牌子
[00:01:47.000 --> 00:01:50.000]  阿爸說「好,可以答應你」
[00:01:50.000 --> 00:01:52.000]  他爸爸說「可以,我答應你」
[00:01:52.000 --> 00:01:54.000]  「現在你考的成績是大約幾多?」
[00:01:54.000 --> 00:01:55.000]  「現在你考的成績是大約幾多?」
[00:01:55.000 --> 00:01:57.000]  「那你考的成績大概有多少呢?」
[00:01:57.000 --> 00:01:58.000]  「那你考的成績大概有多少呢?」
[00:01:58.000 --> 00:02:01.000]  他說「我經常考試都是前五名」
