
[00:00:00.000 --> 00:00:03.080]  今日我同大家思想一段經文
[00:00:03.080 --> 00:00:06.200]  是《路加福音》第九章五十七到六十二節
[00:00:06.200 --> 00:00:08.700]  我覺得這段經文在
[00:00:08.700 --> 00:00:15.260]  如虎騎的時候亦都有一個特別的意義
[00:00:15.260 --> 00:00:22.880]  如果各位所遇到的弟兄姊妹或者你的子女
[00:00:22.880 --> 00:00:25.080]  剛剛畢業準備找工作
[00:00:25.080 --> 00:00:26.660]  那就去面試吧
[00:00:26.660 --> 00:00:28.660]  面試的時候
[00:00:28.660 --> 00:00:30.660]  老闆就跟你說
[00:00:30.660 --> 00:00:35.060]  公司現在錢不是很多
[00:00:35.060 --> 00:00:37.060]  現在是草創時期
[00:00:37.060 --> 00:00:39.420]  有時就有薪水
[00:00:39.420 --> 00:00:42.700]  有時可能是沒有薪水就要等一等
[00:00:42.700 --> 00:00:44.700]  公司正在發展
[00:00:44.700 --> 00:00:46.700]  說不定在哪裏工作
[00:00:46.700 --> 00:00:50.660]  總之有事做的時候派你去你就去吧
[00:00:50.660 --> 00:00:52.660]  你可能就回答
[00:00:52.660 --> 00:00:57.100]  這樣的情況我要和家人談一談
[00:00:57.100 --> 00:00:59.100]  老闆就跟你說
[00:00:59.100 --> 00:01:01.100]  你現在決定了
[00:01:01.100 --> 00:01:03.900]  你不要左搖右擺浪費我的時間
[00:01:03.900 --> 00:01:06.060]  你會怎樣想呢?
[00:01:06.060 --> 00:01:08.060]  你會怎樣回答呢?
[00:01:08.060 --> 00:01:10.060]  你心裏可能就想
[00:01:10.060 --> 00:01:12.060]  這些是甚麼工作?
[00:01:12.060 --> 00:01:14.060]  不發薪水也可以嗎?
[00:01:14.060 --> 00:01:16.780]  沒有固定工作的地方又可以嗎?
[00:01:16.780 --> 00:01:20.340]  有些太瘋狂了
[00:01:20.340 --> 00:01:24.340]  如果你有一個朋友回到一個教會
[00:01:24.340 --> 00:01:26.900]  這個教會就鼓勵他
[00:01:26.900 --> 00:01:28.900]  離開家人
[00:01:28.900 --> 00:01:30.900]  辭去你的工作
[00:01:30.900 --> 00:01:32.140]  一起生活
[00:01:32.140 --> 00:01:33.300]  有粥吃粥
[00:01:33.300 --> 00:01:34.580]  有飯吃飯
[00:01:34.580 --> 00:01:35.860]  日日聚會
[00:01:35.860 --> 00:01:37.860]  傳揚福音
[00:01:37.860 --> 00:01:40.500]  雖然你未必知道詳情
