
[00:00:00.000 --> 00:00:03.000]  好等師妹新年快樂
[00:00:03.000 --> 00:00:06.000]  即是我們在新一年的第一個主人
[00:00:06.000 --> 00:00:10.000]  在這裏希望大家能夠在新的一年裏面
[00:00:10.000 --> 00:00:14.000]  對追求我們的主導
[00:00:14.000 --> 00:00:17.000]  能夠有更熱切的心放在我們當中
[00:00:17.000 --> 00:00:21.000]  亦都能夠勇敢地去將主的道理
[00:00:21.000 --> 00:00:26.000]  去將它向人去陳述和展現出來
[00:00:26.000 --> 00:00:29.000]  所以在大家今天的程序表上面
[00:00:29.000 --> 00:00:32.000]  的封面有個新的教會的主題
[00:00:32.000 --> 00:00:35.000]  叫做放膽講道勸導人
[00:00:35.000 --> 00:00:38.000]  是出自於《侍堂行傳》第十九章
[00:00:38.000 --> 00:00:41.000]  第八節的經文裏面
[00:00:41.000 --> 00:00:44.000]  我們真的能夠做到放膽地
[00:00:44.000 --> 00:00:48.000]  去將主的道理去向人去陳述
[00:00:48.000 --> 00:00:52.000]  和向更多的人去解說
[00:00:52.000 --> 00:00:54.000]  在主的裏面亦都能夠讓我
[00:00:54.000 --> 00:00:57.000]  更多的大軒師妹能夠得到助紂
[00:00:57.000 --> 00:01:00.000]  希望我們能夠去到上主的當中
[00:01:00.000 --> 00:01:03.000]  能夠上帝說我們所作的
[00:01:03.000 --> 00:01:06.000]  得到祂的肯定
[00:01:06.000 --> 00:01:08.000]  好,讓我們在聆聽主導議先
[00:01:08.000 --> 00:01:11.000]  讓我們再次同心低頭禱告
[00:01:11.000 --> 00:01:15.000]  仰望我們主我們的神
[00:01:15.000 --> 00:01:17.000]  慈悲天父,多謝祢給了我們
[00:01:17.000 --> 00:01:21.000]  能夠再次回來在主祢的啟示當中學習
[00:01:21.000 --> 00:01:25.000]  多謝因主祢在祢的創造當中
[00:01:25.000 --> 00:01:28.000]  能夠讓我們去有機會
[00:01:28.000 --> 00:01:34.000]  和祢有更親密,更直接的交往
[00:01:34.000 --> 00:01:38.000]  可惜在罪的當中讓我們遠離了祢
[00:01:38.000 --> 00:01:41.000]  但感謝因主祢給我們能夠
[00:01:41.000 --> 00:01:43.000]  有祢獨生兒子
[00:01:43.000 --> 00:01:47.000]  來到去真的承擔主祢那份
[00:01:47.000 --> 00:01:49.000]  拯救人的心願
[00:01:49.000 --> 00:01:51.000]  祂犧牲在十字架的上面
[00:01:51.000 --> 00:01:55.000]  讓我們能夠去有這個迴轉的機會
[00:01:55.000 --> 00:01:57.000]  我們再次獻上感謝
[00:01:57.000 --> 00:01:59.000]  求因主祢的帶領
[00:01:59.000 --> 00:02:01.000]  讓我們每一個彭卿姊妹
[00:02:01.000 --> 00:02:03.000]  從歲首到年終
[00:02:03.000 --> 00:02:09.000]  都能夠做到以悔改的生命活著
[00:02:09.000 --> 00:02:11.000]  能夠在主祢的當中
[00:02:11.000 --> 00:02:16.000]  能夠活出一個上帝所喜悅的樣式
[00:02:16.000 --> 00:02:18.000]  讓我們的身心靈
[00:02:18.000 --> 00:02:21.000]  都能夠在主祢的當中得蒙大靈
[00:02:21.000 --> 00:02:23.000]  直奔永恆當中
[00:02:23.000 --> 00:02:27.000]  我們再次同心為這段聆聽主導的時間交上
[00:02:27.000 --> 00:02:29.000]  求主祢的保守
[00:02:29.000 --> 00:02:33.000]  讓聖靈在裡面作引導、作調和
[00:02:33.000 --> 00:02:35.000]  讓我們能夠準確掌握到
[00:02:35.000 --> 00:02:38.000]  上帝祢啟示當中的意思
[00:02:38.000 --> 00:02:41.000]  同心圖告奉靠主耶穌得聖的名字
[00:02:41.000 --> 00:02:43.000]  阿們
[00:02:43.000 --> 00:02:45.000]  在新的一年
[00:02:45.000 --> 00:02:47.000]  我希望在第一堂主日的裡面
[00:02:47.000 --> 00:02:53.000]  也帶給大家一個重要一點的聖靈的功課
[00:02:53.000 --> 00:02:54.000]  而這個聖靈的功課
[00:02:54.000 --> 00:02:58.000]  我相信可以不單止在今年受益
[00:02:58.000 --> 00:03:03.000]  希望在你往後的聖靈的生命的發展裡面
[00:03:03.000 --> 00:03:05.000]  都能夠有了受益
[00:03:05.000 --> 00:03:07.000]  來到2024年
[00:03:07.000 --> 00:03:08.000]  可以這麼說
[00:03:08.000 --> 00:03:13.000]  都是我信主已經踏入了35或者36年
[00:03:13.000 --> 00:03:15.000]  這個之間的時間
[00:03:15.000 --> 00:03:19.000]  在做了這幾十年的基督徒的人生當中
[00:03:19.000 --> 00:03:21.000]  原來我發現到有一個功課
[00:03:21.000 --> 00:03:26.000]  是不斷地重複又重複地發展的
[00:03:26.000 --> 00:03:32.000]  就是我們需要常常地在聖靈的檢視之下
[00:03:32.000 --> 00:03:37.000]  去看看我們自己的心思和行為是怎麼樣
[00:03:37.000 --> 00:03:40.000]  聽了這個聖靈的功課
[00:03:40.000 --> 00:03:42.000]  就很容易說出來
[00:03:42.000 --> 00:03:46.000]  很容易做 只是做一些檢視 做一些檢醒
[00:03:46.000 --> 00:03:48.000]  但是當我發現到
[00:03:48.000 --> 00:03:51.000]  當很多時候我們口邊不斷說到
[00:03:51.000 --> 00:03:54.000]  我們要去實踐這個靠著聖靈
[00:03:54.000 --> 00:03:59.000]  來不斷檢視我們心思行為這個功課的時候
[00:03:59.000 --> 00:04:03.000]  其實那個過程殊不容易
[00:04:03.000 --> 00:04:06.000]  而且那個過程當中有些時候
[00:04:06.000 --> 00:04:08.000]  我用廣東話這麼說
[00:04:08.000 --> 00:04:14.000]  形容是覺得有種很面懵懵的一個情況
[00:04:14.000 --> 00:04:18.000]  因為有些情況真的令自己很尷尬
[00:04:18.000 --> 00:04:20.000]  有些時間讓自己覺得
[00:04:20.000 --> 00:04:24.000]  其實我是不是真的在靈性上面有些問題呢
[00:04:24.000 --> 00:04:28.000]  而且暴露了在別人的面前
[00:04:28.000 --> 00:04:31.000]  比如舉個例子這麼說
[00:04:31.000 --> 00:04:34.000]  曾經有一次我跟一個
[00:04:34.000 --> 00:04:38.000]  微信主的一個我自己的老同學
[00:04:38.000 --> 00:04:40.000]  跟他聊天
[00:04:40.000 --> 00:04:42.000]  我說大家有沒有見面
