
[00:00:00.000 --> 00:00:05.040]  我們看看這個樂社的一生的經歷
[00:00:05.040 --> 00:00:09.520]  在這個創世紀有五十章
[00:00:09.520 --> 00:00:13.840]  其中講到有八個主要的人物
[00:00:13.840 --> 00:00:20.640]  這個如果我們能夠把這個八個人物都能夠仔細的讀一下的話
[00:00:20.640 --> 00:00:26.680]  就對創世紀主要的內容我們已經都知道性了
[00:00:26.680 --> 00:00:29.400]  那麼這個八個就是亞當
[00:00:29.400 --> 00:00:31.880]  亞當以後就是亞伯
[00:00:31.880 --> 00:00:34.720]  然後以後就是以諾
[00:00:34.720 --> 00:00:37.440]  以諾下來就是諾亞
[00:00:37.440 --> 00:00:40.600]  然後就到阿伯拉罕
[00:00:40.600 --> 00:00:43.080]  然後以沙、賈格
[00:00:43.080 --> 00:00:45.240]  然後到樂社
[00:00:45.240 --> 00:00:48.200]  這個八個主要的人物
[00:00:48.200 --> 00:00:51.080]  雖然這個創紀的內容很多
[00:00:51.080 --> 00:00:53.800]  如果我們能夠把這個八個人物
[00:00:53.800 --> 00:00:58.120]  他們的前前後後都能夠仔細來思想的話
[00:00:58.120 --> 00:01:06.000]  就是對創世紀的內容大概就可以做一個概括的了解了
[00:01:06.000 --> 00:01:08.840]  那我們今天所提到的就是樂社
[00:01:08.840 --> 00:01:14.400]  樂社中間是一個包含很豐富的教訓
[00:01:14.400 --> 00:01:16.800]  它的故事也很生動
[00:01:16.800 --> 00:01:21.360]  主流學的孩子的話就會讀到樂社的故事
[00:01:21.360 --> 00:01:23.360]  它怎麼做的夢
[00:01:23.360 --> 00:01:25.360]  它怎麼被哥哥賣了
[00:01:25.360 --> 00:01:28.240]  它怎麼被帶到埃及
[00:01:28.240 --> 00:01:29.920]  最後當了宰相
[00:01:29.920 --> 00:01:33.760]  可能每個主流學的孩子他都很熟悉的故事
[00:01:33.760 --> 00:01:36.560]  那麼這個樂社呢
[00:01:36.560 --> 00:01:40.840]  曾經有記載它的這個事情的話
[00:01:40.840 --> 00:01:43.960]  還沾了相當大一個篇幅
