
[00:00:00.000 --> 00:00:01.600]  各位兄弟姐妹
[00:00:01.600 --> 00:00:03.500]  早安
[00:00:03.500 --> 00:00:06.700]  聖誕快樂
[00:00:06.700 --> 00:00:09.200]  大家快樂嗎
[00:00:09.200 --> 00:00:11.700]  外面很熱吧
[00:00:11.700 --> 00:00:16.700]  真是特別 我們拍攝一個火辣辣的聖誕節
[00:00:16.700 --> 00:00:18.600]  你的心熱不熱呢
[00:00:18.600 --> 00:00:23.900]  今天早上量體溫 很多人一來到門口就超標了
[00:00:23.900 --> 00:00:25.400]  37.5
[00:00:25.700 --> 00:00:30.700]  打賞是很多個 很多個 38點多都有
[00:00:30.700 --> 00:00:34.200]  基本上都是因為外面太熱
[00:00:34.200 --> 00:00:38.700]  所以今天有很多頂節目要在門口停一停透一透才能進來
[00:00:38.700 --> 00:00:40.700]  聖誕節
[00:00:40.700 --> 00:00:46.200]  今天為什麼我們要回來這裡一起去敬拜神呢
[00:00:46.200 --> 00:00:48.200]  聖誕節
[00:00:48.200 --> 00:00:55.200]  聖誕節 你知不知道聖誕節是Christmas
[00:00:56.200 --> 00:00:58.200]  這個字本身是什麼意思呢
[00:00:58.200 --> 00:01:07.700]  原來在以前Christmas是Christmas基督彌撒的簡稱
[00:01:07.700 --> 00:01:11.200]  基督的敬拜聚會
[00:01:11.200 --> 00:01:15.700]  中文我們會叫聖誕節 或者有些地方叫耶誕
[00:01:15.700 --> 00:01:17.700]  耶穌誕生的節日
[00:01:17.700 --> 00:01:20.700]  今天為什麼我們會在聖誕節回來呢
[00:01:22.700 --> 00:01:25.700]  很想和大家讀一段經文
[00:01:25.700 --> 00:01:30.700]  在《馬太福音》第一章17至25節
[00:01:30.700 --> 00:01:35.700]  我讀單數節 請頂節目讀雙數節
[00:01:35.700 --> 00:01:38.700]  《馬太福音》第一章17節
[00:01:38.700 --> 00:01:42.700]  這樣從阿伯拉罕到大衛共有十四代
[00:01:42.700 --> 00:01:46.700]  從大衛到遷至巴比倫的時候也有十四代
[00:01:46.700 --> 00:01:51.200]  從遷至巴比倫的時候到基督又有十四代
[00:01:51.300 --> 00:01:55.700]  耶穌基督的誕生日期在下年
[00:01:55.700 --> 00:01:59.700]  他和其家人均要求約瑟
[00:01:59.700 --> 00:02:01.700]  說要休年除日
[00:02:01.700 --> 00:02:04.700]  大家就從聖人拜年
[00:02:04.700 --> 00:02:07.700]  他丈夫約瑟是個義人
[00:02:07.700 --> 00:02:09.700]  不願意明明地羞辱他
[00:02:09.700 --> 00:02:12.700]  想要暗暗地把他休了
[00:02:12.700 --> 00:02:15.700]  聖師賢給他的聖餐
[00:02:15.700 --> 00:02:19.700]  有次聖爺在他和聖人的廟宇
[00:02:19.700 --> 00:02:22.700]  拜禮至聖人賽
[00:02:22.700 --> 00:02:26.700]  不願把自判罪過的親戚賣了
[00:02:26.700 --> 00:02:30.700]  因他所為將是從聖命來的
[00:02:30.700 --> 00:02:32.700]  他將要生一個兒子
[00:02:32.700 --> 00:02:35.700]  你要給他起名叫耶穌
[00:02:35.700 --> 00:02:38.700]  因他要將自己的百姓從罪惡裡救出來
[00:02:38.700 --> 00:02:45.700]  你一妻的子孫的家族是要見天主的天面上說的話
[00:02:45.700 --> 00:02:49.700]  必有同女懷孕生子
[00:02:49.700 --> 00:02:51.700]  人要稱她的名為以馬內利
[00:02:51.700 --> 00:02:55.700]  以馬內利翻出來的意思就是神與我們同在
[00:02:55.700 --> 00:03:04.700]  只是沒有和她同房
[00:03:04.700 --> 00:03:09.700]  等她生了兒子就給她起名叫耶穌
[00:03:09.700 --> 00:03:12.700]  我相信這段經文大家都很熟悉
[00:03:12.700 --> 00:03:14.700]  聖誕節是一個很開心的節日
[00:03:14.700 --> 00:03:18.700]  我們兒童主義學的小朋友都會很開心
[00:03:18.700 --> 00:03:20.700]  因為有遊戲玩也有禮物收
[00:03:20.700 --> 00:03:25.700]  聖誕節也是一個送禮物收禮物的時間
[00:03:25.700 --> 00:03:28.700]  先戴頂帽子
[00:03:28.700 --> 00:03:31.700]  不適合戴帽子
[00:03:31.700 --> 00:03:32.700]  送禮物
[00:03:32.700 --> 00:03:34.700]  今天怎樣送禮物呢
[00:03:34.700 --> 00:03:37.700]  我會抽一個號碼
[00:03:37.700 --> 00:03:45.700]  就是行數由前面到後面
[00:03:45.700 --> 00:03:48.700]  其實我們正堂還有幾個位置
[00:03:48.700 --> 00:03:51.700]  如果裡面太擠迫有些人都可以出來
[00:03:51.700 --> 00:03:54.700]  等一下抽的時候
[00:03:54.700 --> 00:03:56.700]  首先抽一個行數
[00:03:56.700 --> 00:03:59.700]  然後再由這邊數過去的座位數
[00:03:59.700 --> 00:04:04.700]  抽中哪一個就請你出來
[00:04:04.700 --> 00:04:07.700]  預備了 有禮物送的
[00:04:07.700 --> 00:04:09.700]  不要這麼害怕 真的
[00:04:09.700 --> 00:04:18.700]  好 預備
[00:04:18.700 --> 00:04:20.700]  先抽行數
[00:04:20.700 --> 00:04:23.700]  第幾行呢
[00:04:23.700 --> 00:04:26.700]  這個 多少
[00:04:26.700 --> 00:04:28.700]  第二行
[00:04:28.700 --> 00:04:30.700]  嘩 來了 第二行
[00:04:30.700 --> 00:04:33.700]  第二行的有福了
[00:04:33.700 --> 00:04:35.700]  好 二 四 六 七
[00:04:35.700 --> 00:04:37.700]  第二行有七個人
[00:04:37.700 --> 00:04:40.700]  如果抽到那個號碼沒有就再抽
[00:04:40.700 --> 00:04:47.700]  第二行究竟哪一個今天這麼幸運呢
[00:04:47.700 --> 00:04:49.700]  這個多少
[00:04:49.700 --> 00:04:50.700]  四
[00:04:50.700 --> 00:04:53.700]  好 我們先請你們出來
[00:04:59.700 --> 00:05:03.700]  聖誕節你可否先介紹一下你自己
[00:05:03.700 --> 00:05:05.700]  我叫晴晴
[00:05:05.700 --> 00:05:07.700]  現在在區田讀OT
[00:05:07.700 --> 00:05:09.700]  升EA4
[00:05:09.700 --> 00:05:13.700]  好 晴晴我想問你
[00:05:13.700 --> 00:05:15.700]  聖誕節對你來說
[00:05:15.700 --> 00:05:18.700]  你覺得最開心的是什麼事情呢
[00:05:18.700 --> 00:05:20.700]  最開心當然是收禮物
[00:05:20.700 --> 00:05:22.700]  好 收禮物
[00:05:22.700 --> 00:05:26.700]  我們今天有禮物送給你的
[00:05:26.700 --> 00:05:29.700]  好 兩支
[00:05:29.700 --> 00:05:34.700]  沒有騙你們的
[00:05:34.700 --> 00:05:36.700]  真的有禮物送的
[00:05:36.700 --> 00:05:38.700]  好 再來
[00:05:38.700 --> 00:05:40.700]  行數
[00:05:40.700 --> 00:05:46.700]  這張
[00:05:46.700 --> 00:05:48.700]  四
[00:05:48.700 --> 00:05:50.700]  一 二 三 四
[00:05:50.700 --> 00:05:53.700]  好 第四行的朋友 弟兄姊妹
[00:05:53.700 --> 00:05:55.700]  是不是你呢
[00:05:57.700 --> 00:06:03.700]  這個是絕對公平公開公正的抽獎
[00:06:03.700 --> 00:06:05.700]  第四行的
[00:06:05.700 --> 00:06:07.700]  五
[00:06:07.700 --> 00:06:11.700]  一 二 三 四 五
[00:06:11.700 --> 00:06:15.700]  好 請你出來
