
[00:00:00.000 --> 00:00:06.000]  好,我們今天繼續講《主土文》六章第十三節
[00:00:06.000 --> 00:00:10.000]  剛剛過去一個星期,大家記得我說什麼嗎?
[00:00:10.000 --> 00:00:13.000]  就是前面那幾句,是吧?
[00:00:13.000 --> 00:00:16.000]  「不要我們遇見試探」
[00:00:16.000 --> 00:00:20.000]  我有一個題目叫「不要跟著試探走」
[00:00:20.000 --> 00:00:24.000]  今天就是第二句,「救我們脫離凶惡」
[00:00:24.000 --> 00:00:27.000]  題目就是「不可以逃避」
[00:00:27.000 --> 00:00:34.000]  其實,每一個的講員,臨近豬日要打風的時候,就真的面對試探
[00:00:34.000 --> 00:00:40.000]  昨天,我們估計天文台說,可能三號風球掛到四點鐘
[00:00:40.000 --> 00:00:45.000]  晚上,再講可能早上會掛八號風球
[00:00:45.000 --> 00:00:49.000]  昨天在下午的時候,我又會想,咦,會打風了
[00:00:49.000 --> 00:00:54.000]  正在準備這個講章,是否可以停止一下呢?
[00:00:54.000 --> 00:00:58.000]  不用急速了,這是一個試探
[00:00:58.000 --> 00:01:02.000]  不過,這些風向是沒有人可以掌握的
[00:01:02.000 --> 00:01:08.000]  但敬拜主,我們什麼時候都希望能夠去打壓機會的敬拜主
[00:01:08.000 --> 00:01:10.000]  繼續準備吧
[00:01:10.000 --> 00:01:17.000]  到今早了,一看,咦,原來十二點鐘之後會掛風球
[00:01:17.000 --> 00:01:19.000]  於是,這個試探又來了
[00:01:19.000 --> 00:01:23.000]  究竟我們五行崇拜,是否可以取消呢?
[00:01:23.000 --> 00:01:26.000]  最後好像取消了,不過你們在這裏
[00:01:26.000 --> 00:01:28.000]  取不取消,我都在這裏
[00:01:28.000 --> 00:01:31.000]  問題是,這是一個試探
[00:01:31.000 --> 00:01:34.000]  當然,對我來說,昨天的試探已經經歷了
[00:01:34.000 --> 00:01:36.000]  不會再試探到我了
[00:01:36.000 --> 00:01:40.000]  但對大家來說,我相信都是你的試探
[00:01:40.000 --> 00:01:43.000]  我相信都是,究竟要不要回來呢?怎樣呢?
[00:01:43.000 --> 00:01:50.000]  當然,我們說繼續聚會,但你都要留意自己的情況、安全、決定
[00:01:50.000 --> 00:01:53.000]  有些人回來,有些人不回來
[00:01:53.000 --> 00:01:55.000]  我這裏沒有說回來或不回來是好的
[00:01:55.000 --> 00:01:59.000]  但在任何地方,敬拜我們的主也是美好的
[00:01:59.000 --> 00:02:02.000]  因為主是主基督,一定在我們當中
[00:02:02.000 --> 00:02:08.000]  來到這一節,經文救我們,絕離空惡
[00:02:08.000 --> 00:02:10.000]  我們想到關連在這裏
[00:02:10.000 --> 00:02:12.000]  其實這個試探是會有的
[00:02:12.000 --> 00:02:16.000]  或者我們都可能會失腳
[00:02:16.000 --> 00:02:19.000]  在人生裏面不同的試探
[00:02:19.000 --> 00:02:22.000]  但是,很重要的就是
[00:02:22.000 --> 00:02:25.000]  跟著這句說話,這個討問是需要的
[00:02:25.000 --> 00:02:29.000]  耶穌基督,放到最後一個祈求
[00:02:29.000 --> 00:02:31.000]  要提醒我們
