
[00:00:00.000 --> 00:00:02.460]  弟子們,早安!感謝!
[00:00:02.460 --> 00:00:05.660]  可以來到會點教會,一起有分享的時間
[00:00:05.660 --> 00:00:09.880]  講希伯來書,你們說了很久了,是嗎?
[00:00:09.880 --> 00:00:14.180]  我想問問大家,大家喜歡希伯來書嗎?
[00:00:14.180 --> 00:00:18.220]  額頭都有點勉強,我第一堂也是這樣問的
[00:00:18.220 --> 00:00:21.620]  大家是沒有動的,你們有反應
[00:00:21.620 --> 00:00:26.040]  希伯來書是很棒的,是否挑戰?
[00:00:26.040 --> 00:00:28.960]  是,其實對港元來說也是挑戰
[00:00:28.960 --> 00:00:32.560]  所以是一起挑戰,一起嘗試在希伯來書當中
[00:00:32.560 --> 00:00:36.900]  彼此在神的位置裡建立,一起學習,好嗎?
[00:00:36.900 --> 00:00:40.880]  所以待會兒我想邀請大家,當我們分享訊息的時候
[00:00:40.880 --> 00:00:46.180]  請大家一起去聽這邊的訊息
[00:00:46.180 --> 00:00:50.140]  訊息不是為隔壁的人聽,是為自己的人聽
[00:00:50.140 --> 00:00:52.280]  為自己的人聽,好嗎?一起祈禱
[00:00:52.280 --> 00:00:56.420]  天父上帝將我們待會兒要講的訊息交給我們手中
[00:00:56.420 --> 00:01:00.220]  幫助我們,開我們的眼,開我們的心,讓我們聽到主祢自己的話語
[00:01:00.220 --> 00:01:03.600]  幫助我們,為著自己而聽,不是為隔壁的人去聽
[00:01:03.600 --> 00:01:06.980]  讓我們能夠被主祢自己的話語,滋潤我們的心
[00:01:06.980 --> 00:01:11.020]  讓我們能夠藉著主祢自己,更明白我們今天所學的東西
[00:01:11.020 --> 00:01:14.320]  就求祝福我們每一個,讓我們每一個在你的當中
[00:01:14.320 --> 00:01:16.700]  被主祢建立,成為合用的器皿
[00:01:16.700 --> 00:01:18.780]  多謝你的同在,獻上感恩讚美
[00:01:18.780 --> 00:01:21.240]  奉教主耶穌,基督心祈求,Amen
[00:01:21.240 --> 00:01:26.000]  我們今天有希伯來書
[00:01:26.000 --> 00:01:30.020]  我比較喜歡開始之前,叫大家一起讀經文
[00:01:30.020 --> 00:01:32.420]  大家介意嗎?不介意
[00:01:32.420 --> 00:01:34.500]  大家可以大聲一點嗎?可以
[00:01:34.500 --> 00:01:35.720]  我幫你疊起來,OK
[00:01:35.720 --> 00:01:37.660]  我們預備,1,2,3
[00:01:37.660 --> 00:01:45.140]  「不過基督已經到了那些已經發生的美善之時的大祭司
[00:01:45.140 --> 00:01:48.700]  經過了那更大更完美的會幕
[00:01:48.700 --> 00:01:51.340]  那會幕不是人手所造的
[00:01:51.340 --> 00:01:54.680]  就是說不屬於這被造的世界
[00:01:54.680 --> 00:01:58.180]  他也沒有藉著山陽和牛獨的血
[00:01:58.180 --> 00:02:00.900]  而是藉著他自己的血
[00:02:00.900 --> 00:02:03.580]  一次性地進入聖所
[00:02:03.580 --> 00:02:06.100]  成就了永恆的救贖
[00:02:06.100 --> 00:02:09.380]  實際上,如果山陽和公牛的血
[00:02:09.380 --> 00:02:12.320]  以及馬母牛獨的灰
[00:02:12.320 --> 00:02:15.340]  灑在那些污穢的人身上
[00:02:15.340 --> 00:02:19.260]  能使他們分別為聖,肉身潔淨
[00:02:19.260 --> 00:02:21.700]  更何況基督的血呢?
[00:02:21.700 --> 00:02:24.220]  基督藉著永恆的聖靈
[00:02:24.220 --> 00:02:28.000]  將自己毫無瑕疵地獻給神
