
[00:00:00.000 --> 00:00:05.000]  耶穌開始把人與上帝的關係
[00:00:05.000 --> 00:00:08.000]  比喻為一種親情的關係
[00:00:08.000 --> 00:00:12.000]  其實他講這段經文是有一個背景的
[00:00:12.000 --> 00:00:14.000]  他講這個浪子回頭的故事
[00:00:14.000 --> 00:00:19.000]  其實是針對當時的法利賽人和文士
[00:00:19.000 --> 00:00:21.000]  即是宗教教條主義者
[00:00:21.000 --> 00:00:23.000]  他們批評耶穌
[00:00:23.000 --> 00:00:25.000]  因為他們從宗教教條來看
[00:00:25.000 --> 00:00:28.000]  即是宗教是神聖的、高級的
[00:00:28.000 --> 00:00:32.000]  所以他們覺得耶穌為何經常與低級的人一起呢?
[00:00:32.000 --> 00:00:36.000]  法利賽人認為那些都是罪人
[00:00:36.000 --> 00:00:43.000]  例如麻瘋病人、妓女、貪污污吏、稅吏等等
[00:00:43.000 --> 00:00:45.000]  很多貧窮的人
[00:00:45.000 --> 00:00:48.000]  在他們眼中覺得這些不重要的人
[00:00:48.000 --> 00:00:50.000]  如果真是神來到人間
[00:00:50.000 --> 00:00:54.000]  為何只會關懷那些不高級的人呢?
[00:00:54.000 --> 00:00:56.000]  這個很奇怪
[00:00:56.000 --> 00:00:58.000]  因為耶穌基督是完全
[00:00:58.000 --> 00:01:00.000]  他看人每一個都是那麼重要
[00:01:00.000 --> 00:01:02.000]  但法利賽人看的另一種
[00:01:02.000 --> 00:01:04.000]  就是他將人分為高級和低級
[00:01:04.000 --> 00:01:06.000]  有些人不重要
[00:01:06.000 --> 00:01:10.000]  所以耶穌基督說了一百隻羊
[00:01:10.000 --> 00:01:12.000]  走了一隻
[00:01:12.000 --> 00:01:14.000]  他都要想辦法找回來
[00:01:14.000 --> 00:01:17.000]  因為對耶穌基督每一個人都是那麼重要
[00:01:17.000 --> 00:01:19.000]  所以當他講浪子
[00:01:19.000 --> 00:01:21.000]  同樣是一個背景講出來
[00:01:21.000 --> 00:01:24.000]  有沒有一些你覺得不重要的人
[00:01:24.000 --> 00:01:27.000]  我最近一個經驗
[00:01:27.000 --> 00:01:32.000]  早幾個星期我去到中國最深遠的農村
[00:01:32.000 --> 00:01:34.000]  在白色的龍林縣
[00:01:34.000 --> 00:01:38.000]  我們要花兩個小時坐飛機去南寧
[00:01:38.000 --> 00:01:39.000]  在廣西
[00:01:39.000 --> 00:01:42.000]  南寧坐六個小時車去到白色
[00:01:42.000 --> 00:01:45.000]  就是鄧小平最早革命的地方
[00:01:45.000 --> 00:01:48.000]  然後再坐兩個小時去到龍林縣
[00:01:48.000 --> 00:01:52.000]  龍林縣還要坐車去到鄉那裡
[00:01:52.000 --> 00:01:54.000]  鄉那裡也要坐幾個小時
[00:01:54.000 --> 00:01:56.000]  走一些很爛的路進去
[00:01:56.000 --> 00:01:59.000]  當時中國剛剛暴雨期間
[00:01:59.000 --> 00:02:01.000]  那些路都沖爛了
[00:02:01.000 --> 00:02:04.000]  我們後來去另外一個縣
[00:02:04.000 --> 00:02:07.000]  那些路是塔方山泥傾瀉
[00:02:07.000 --> 00:02:11.000]  是五十多個地方山泥傾瀉
[00:02:11.000 --> 00:02:13.000]  我們要在這裡轉下去
[00:02:13.000 --> 00:02:15.000]  還有二百多個彎很難走的路
[00:02:15.000 --> 00:02:16.000]  裡面還有山泥傾瀉
[00:02:16.000 --> 00:02:18.000]  很多那些爛了的路
[00:02:18.000 --> 00:02:19.000]  是這樣
