
[00:00:00.000 --> 00:00:02.760]  當然我們不單只是在讀《聖經》
[00:00:02.760 --> 00:00:05.760]  我們也是嘗試去明白這個《聖經》
[00:00:05.760 --> 00:00:09.840]  那其中一個角度最不一樣的
[00:00:09.840 --> 00:00:15.560]  就是我們相信這個舊約《聖經》是指向新約《聖經》
[00:00:15.560 --> 00:00:18.160]  在舊約《聖經》裏面我們找到的是
[00:00:18.160 --> 00:00:22.560]  基督與祂這個救恩十字架的影子
[00:00:22.560 --> 00:00:25.320]  我覺得你不這樣看《聖經》的話
[00:00:25.320 --> 00:00:27.720]  其實會挺頭痛的
[00:00:27.720 --> 00:00:32.520]  等一下我們會講到一些舊約跟新約的不一樣
[00:00:32.520 --> 00:00:35.600]  如果你沒有這個影子跟實體
[00:00:35.600 --> 00:00:39.960]  這個兩個新舊約的不同的話
[00:00:39.960 --> 00:00:42.040]  其實你很容易解錯經
[00:00:42.040 --> 00:00:44.920]  也應用錯了
[00:00:44.920 --> 00:00:49.200]  那我們一起學習的大概兩個月之前
[00:00:49.200 --> 00:00:53.600]  我們有一箇舊約的講座是講這個創世紀
[00:00:53.600 --> 00:00:56.400]  我不知道大家有沒有機會去看
[00:00:56.400 --> 00:01:01.200]  或者是思想其中一些的一些元素
[00:01:01.200 --> 00:01:04.120]  我記得那天我們講創造墮落
[00:01:04.120 --> 00:01:06.720]  然後救贖這個三部曲
[00:01:06.720 --> 00:01:08.440]  希望大家還記得沒有
[00:01:08.440 --> 00:01:09.920]  如果你忘記了一些
[00:01:09.920 --> 00:01:13.680]  你可以回去在網上再去看
[00:01:13.680 --> 00:01:18.280]  然後一個月之前我們一起念這個《出埃及記》
[00:01:18.280 --> 00:01:21.960]  當天我們只是花時間去看那個實齋
[00:01:21.960 --> 00:01:23.880]  已經是非常豐富的
[00:01:23.880 --> 00:01:30.160]  《出埃及記》是一個關於偶像離開逃生
[00:01:30.160 --> 00:01:34.720]  從偶像之家逃生的一本書
[00:01:34.720 --> 00:01:38.280]  之後我們的加油站也有講過這個《立位記》
[00:01:38.280 --> 00:01:43.080]  《立位記》的中心思想是聖潔的保衛師
[00:01:43.080 --> 00:01:45.120]  聖潔君王的一個保衛師
[00:01:45.120 --> 00:01:49.560]  所以立位人他要保衛的是君王耶穌的
[00:01:49.560 --> 00:01:53.960]  或者是耶和華這個聖者
[00:01:53.960 --> 00:01:57.600]  他的榮耀、他的聖潔等等
[00:01:57.600 --> 00:02:01.000]  然後從立位記我們進入到這個《明述記》
[00:02:01.000 --> 00:02:03.880]  《明述記》就非常一個黑暗的一本書
[00:02:03.880 --> 00:02:11.640]  因爲當中所講的是這個曠野裏面大的叛逆
[00:02:11.640 --> 00:02:13.440]  不單只是一時的叛逆
[00:02:13.440 --> 00:02:15.640]  而是40年的叛逆
[00:02:15.640 --> 00:02:18.560]  以色列人的問題不是剛剛出埃及
[00:02:18.560 --> 00:02:20.240]  就發生的一些問題
[00:02:20.240 --> 00:02:25.120]  也不是因爲12個探子進去不夠信心
[00:02:25.120 --> 00:02:33.000]  而是整個40年不斷重複的一個叛亂
[00:02:33.000 --> 00:02:34.960]  如果你記得其實那條路
[00:02:34.960 --> 00:02:37.080]  除了埃及進入這個迦南
[00:02:37.080 --> 00:02:40.880]  其實大概只是需要幾個禮拜
[00:02:40.880 --> 00:02:42.880]  頂多兩個月的路程
[00:02:42.880 --> 00:02:44.800]  但是他們卻走了40年
[00:02:44.800 --> 00:02:49.480]  因爲他們的叛逆不是單單是一次的叛逆
