
[00:00:00.000 --> 00:00:05.000]  那麼今天我們要聽的信息就是繼續成長、建造
[00:00:05.000 --> 00:00:08.000]  我們今天的信息就是要繼續成長、建造
[00:00:08.000 --> 00:00:09.000]  我們一起禱告
[00:00:09.000 --> 00:00:10.000]  我們一起祈禱
[00:00:10.000 --> 00:00:14.000]  我們在天上的父神愛我們的主耶穌基督
[00:00:14.000 --> 00:00:17.000]  我們在天上的父神愛我們的主耶穌基督
[00:00:17.000 --> 00:00:20.000]  我們感謝禰自己把我們召聚在一起
[00:00:20.000 --> 00:00:22.000]  我們感謝禰因爲禰將我們焦聚在一起
[00:00:22.000 --> 00:00:25.000]  我們也感謝禰,禰自己賜給我們新的一天
[00:00:25.000 --> 00:00:27.000]  也感謝禰賜給我們新的一天
[00:00:27.000 --> 00:00:30.000]  叫我們能夠服侍禰
[00:00:30.000 --> 00:00:33.000]  叫我們能夠服侍弟兄姊妹
[00:00:33.000 --> 00:00:34.000]  也能夠服侍弟兄姊妹
[00:00:34.000 --> 00:00:37.000]  叫我們能夠更深地認識禰
[00:00:37.000 --> 00:00:39.000]  叫我們能夠更深地認識禰
[00:00:39.000 --> 00:00:40.000]  我們感謝禰
[00:00:40.000 --> 00:00:41.000]  我們感謝禰
[00:00:41.000 --> 00:00:43.000]  我們把下面的時間都仰望在禰的手中
[00:00:43.000 --> 00:00:46.000]  我們將以下的時間交託仰望在禰的手裏
[00:00:46.000 --> 00:00:49.000]  我們定義來到這裏就是要聽禰自己的話
[00:00:49.000 --> 00:00:52.000]  我們定義來到這裏就是要聽禰的話
[00:00:52.000 --> 00:00:55.000]  求禰自己把禰的話語向我們解開
[00:00:55.000 --> 00:00:57.000]  求禰自己把禰的話語向我們解開
[00:00:57.000 --> 00:00:58.000]  讓我們能夠看見亮光
[00:00:58.000 --> 00:01:00.000]  讓我們能夠看見亮光
[00:01:00.000 --> 00:01:02.000]  讓我們的心裏面也能夠光明
[00:01:02.000 --> 00:01:04.000]  也讓我們的心裏面也能夠光明
[00:01:04.000 --> 00:01:05.000]  我們謝謝禰
[00:01:05.000 --> 00:01:06.000]  我們謝謝禰
[00:01:06.000 --> 00:01:08.000]  禱告奉耶穌基督的聖名
[00:01:08.000 --> 00:01:10.000]  禱告奉基督耶穌的聖名
[00:01:10.000 --> 00:01:13.000]  阿們
[00:01:13.000 --> 00:01:17.000]  剛纔我們已經讀過菲律賓書第二章十二節到十三節
[00:01:17.000 --> 00:01:20.000]  我們剛剛讀完費納比書二章十二十三節
[00:01:20.000 --> 00:01:22.000]  那麼保羅在這一段經文,就兩節經文裏面
[00:01:22.000 --> 00:01:24.000]  他給菲律賓教會一個命令
[00:01:24.000 --> 00:01:26.000]  他給菲律賓教會一個命令
[00:01:26.000 --> 00:01:29.000]  保羅在這一段經文裏面給費納比教會一個命令
[00:01:29.000 --> 00:01:31.000]  就是在第十二節的最後一句話
[00:01:31.000 --> 00:01:33.000]  就是在第十二節的最後一句話
[00:01:33.000 --> 00:01:37.000]  他說就當恐懼戰經做成你們得救的功夫
[00:01:37.000 --> 00:01:40.000]  就當恐懼戰經做成你們得救的功夫
[00:01:40.000 --> 00:01:42.000]  那麼這個和合本的修訂本
[00:01:42.000 --> 00:01:43.000]  他是這樣子講
[00:01:43.000 --> 00:01:45.000]  和合本修訂版這樣講
[00:01:45.000 --> 00:01:48.000]  他說完成你們得救的事
[00:01:48.000 --> 00:01:50.000]  就是完成你們得救的事
[00:01:50.000 --> 00:01:52.000]  保羅的意思就是要叫他們
[00:01:52.000 --> 00:01:55.000]  也是叫我們繼續地成長建造
[00:01:55.000 --> 00:01:57.000]  保羅的意思就是要他們
[00:01:57.000 --> 00:01:59.000]  也是對我們講要繼續成長建造
[00:01:59.000 --> 00:02:01.000]  一直到建築面的日子
[00:02:01.000 --> 00:02:03.000]  直到建築耶穌基督的面
[00:02:03.000 --> 00:02:05.000]  有的時候你們看其他的書
[00:02:05.000 --> 00:02:07.000]  他會告訴你們這就是一個成聖的道路
[00:02:07.000 --> 00:02:09.000]  如果你看其他書的時候
[00:02:09.000 --> 00:02:11.000]  他就講到這個成聖的道路
[00:02:11.000 --> 00:02:13.000]  但是我們今天我們就來想
[00:02:13.000 --> 00:02:15.000]  他要我們繼續成長建造
[00:02:15.000 --> 00:02:17.000]  在今天的信息裏面講
[00:02:17.000 --> 00:02:19.000]  就是提醒我們要繼續成長建造
[00:02:19.000 --> 00:02:20.000]  直到建築面的日子
[00:02:20.000 --> 00:02:22.000]  直到建築面的日子
[00:02:22.000 --> 00:02:24.000]  所以當你出信主耶穌
