
[00:00:00.000 --> 00:00:19.700]  (主席完結)
[00:00:19.700 --> 00:00:23.600]  我們一直以來都是在近期都是在說
[00:00:23.600 --> 00:00:25.760]  我們面對一個屬靈的征戰
[00:00:25.940 --> 00:00:31.040]  我們需要有一個屬靈的軍裝去裝備自己
[00:00:31.040 --> 00:00:33.820]  我們過去看了三次了
[00:00:33.820 --> 00:00:36.780]  今天看第四件的軍裝
[00:00:36.780 --> 00:00:40.320]  我們先來到「而不鎖書」第六章第十六節
[00:00:40.320 --> 00:00:45.740]  此外,猶拿著信德當作盾牌
[00:00:45.740 --> 00:00:49.300]  可以滅絕那惡者一切的火箭
[00:00:49.300 --> 00:00:52.540]  今天我們會來看信德的藤牌
[00:00:52.860 --> 00:00:56.220]  如果我們留意到這個屬靈的裝備裡面
[00:00:56.220 --> 00:00:58.040]  其實是分開兩組的
[00:00:58.040 --> 00:01:02.180]  第一組就是三件武器
[00:01:02.180 --> 00:01:06.140]  要用真理當作帶子、束腰
[00:01:06.140 --> 00:01:10.200]  就是我們一定要有整全的真理的認識
[00:01:10.200 --> 00:01:15.180]  今天很擔心基督徒有時候我們只是看一兩卷
[00:01:15.180 --> 00:01:16.520]  我們熟悉的經文
[00:01:16.520 --> 00:01:17.940]  或者喜歡看的經文
[00:01:17.940 --> 00:01:21.360]  他就是經常看菲律賓書、雅各書、馬克福音
[00:01:21.540 --> 00:01:23.960]  但是我們對整卷的聖經
[00:01:23.960 --> 00:01:25.900]  或者整本的聖經認識不深
[00:01:25.900 --> 00:01:28.340]  以致有時候我們會有偏差
[00:01:28.340 --> 00:01:30.660]  第二方面就是用什麼呢?
[00:01:30.660 --> 00:01:34.340]  用公義當作護心鏡來遮空
[00:01:34.340 --> 00:01:39.140]  原來我們每個人都是聚人,但是神的義浮避我們
[00:01:39.140 --> 00:01:43.620]  於是我們能夠在地位上被稱為義
[00:01:43.620 --> 00:01:48.340]  我們就不再懼怕魔鬼的衝擊、挑戰
[00:01:48.580 --> 00:01:54.500]  而我們不僅要滿足於地位上的稱義
[00:01:54.500 --> 00:01:58.300]  我們更加要追求生命上有一個聖潔的生活
[00:01:58.300 --> 00:02:02.420]  第三方面就是平安的福音
[00:02:02.420 --> 00:02:05.260]  當作鞋子來穿上
[00:02:05.260 --> 00:02:07.580]  福音就是保守我們
[00:02:07.580 --> 00:02:10.380]  我們倚靠我們的神,我們就會有平安
[00:02:10.380 --> 00:02:13.180]  好了,這三樣的軍裝你有沒有留意到呢?
[00:02:13.180 --> 00:02:15.500]  都是穿在身上的
[00:02:15.500 --> 00:02:17.860]  不是那麼容易脫下來的
[00:02:18.140 --> 00:02:21.100]  留在身上是一種被動的感覺
[00:02:21.100 --> 00:02:23.900]  但是另外那三件武器
[00:02:23.900 --> 00:02:25.460]  就是我們會來看的
[00:02:25.460 --> 00:02:28.340]  這三件武器跟前者有一點點分別
[00:02:28.340 --> 00:02:31.580]  這三節的經文都是說
[00:02:31.580 --> 00:02:34.540]  用真理當作帶子束腰
[00:02:34.540 --> 00:02:37.780]  用護心鏡來遮空
[00:02:37.780 --> 00:02:42.140]  用平安的福音當作走路的鞋來穿上
[00:02:42.140 --> 00:02:45.220]  但是接著有一句轉接句
[00:02:45.220 --> 00:02:46.420]  就是「此外」
[00:02:46.740 --> 00:02:49.580]  除了這些之外還有三件武器
[00:02:49.580 --> 00:02:51.300]  我們今天看其中的第一件
[00:02:51.300 --> 00:02:53.020]  信德的盾牌
[00:02:53.020 --> 00:02:55.060]  我們再讀一次這節的經文好嗎?
[00:02:55.060 --> 00:02:59.420]  此外有拿著信德當作盾牌
[00:02:59.420 --> 00:03:03.020]  可以滅絕那惡者一切的火箭
[00:03:03.020 --> 00:03:04.780]  信德的盾牌
[00:03:04.780 --> 00:03:07.180]  接著下一次我們會看
[00:03:07.180 --> 00:03:09.140]  救恩的頭盔
[00:03:09.140 --> 00:03:13.500]  我已經定了題目,就是「有要威必定要戴頭盔」
[00:03:13.500 --> 00:03:15.500]  這個是很重要的
[00:03:15.700 --> 00:03:17.220]  救恩的頭盔
[00:03:17.220 --> 00:03:19.900]  接著就是聖靈的寶劍
[00:03:19.900 --> 00:03:22.700]  前者是用「用」字
[00:03:22.700 --> 00:03:24.340]  如果你留意後者
[00:03:24.340 --> 00:03:26.060]  這三樣是用「拿」字的
[00:03:26.060 --> 00:03:28.020]  拿起聖靈的寶劍
[00:03:28.020 --> 00:03:30.900]  拿起信德的盾牌
[00:03:30.900 --> 00:03:33.900]  原來頭盔就戴在頭上
[00:03:33.900 --> 00:03:35.620]  寶劍就拿來殺敵
[00:03:35.620 --> 00:03:38.700]  但是這三樣東西都不是身體的一部分
[00:03:38.700 --> 00:03:40.260]  如果要打仗
[00:03:40.260 --> 00:03:42.300]  暫時西線無戰時
[00:03:42.300 --> 00:03:43.700]  剛剛停火
[00:03:43.700 --> 00:03:45.620]  或者可以喘息的時候
[00:03:45.820 --> 00:03:48.940]  那個士兵就會放下盾牌
[00:03:48.940 --> 00:03:50.660]  放下那把寶劍
[00:03:50.660 --> 00:03:53.300]  甚至將頭盔脫下來
[00:03:53.300 --> 00:03:57.700]  但是絕對在戰爭裡面仍然不會脫下護心鏡
[00:03:57.700 --> 00:03:59.100]  不會脫下鞋子
[00:03:59.100 --> 00:04:01.700]  還有那條帶子
[00:04:01.700 --> 00:04:05.620]  所以這三樣東西是外加上去
[00:04:05.620 --> 00:04:06.900]  但是
[00:04:06.900 --> 00:04:10.100]  就是代表了他要準備作戰
[00:04:10.100 --> 00:04:13.300]  雖然脫下來,但是如果警報一響的時候
[00:04:13.300 --> 00:04:18.500]  他又要再一次撿起這些武器去面對
[00:04:18.500 --> 00:04:22.500]  好,我們先了解一下火箭的功用是什麼
[00:04:22.500 --> 00:04:24.100]  大家要明白這些火箭
[00:04:24.100 --> 00:04:28.500]  不是現在北韓發射的那些上天的那些叫火箭
[00:04:28.500 --> 00:04:30.500]  就是普通的箭而已
[00:04:30.500 --> 00:04:33.300]  但是這些箭他們是怎麼做的呢?
[00:04:33.300 --> 00:04:36.700]  箭頭大部分是用金屬
[00:04:36.700 --> 00:04:39.420]  就算不是用金屬,是用木做的時候
[00:04:39.420 --> 00:04:42.300]  但是都削得非常尖利
[00:04:42.700 --> 00:04:47.900]  而他們還會包著一些異形的物體
[00:04:47.900 --> 00:04:49.500]  點著之後
[00:04:49.500 --> 00:04:52.700]  然後就向外發射
[00:04:52.700 --> 00:04:57.100]  箭在古時的戰爭裡面有一個很大的作用
[00:04:57.100 --> 00:04:58.700]  那個作用是什麼呢?
[00:04:58.700 --> 00:05:00.700]  不用靠近肉搏的
[00:05:00.700 --> 00:05:03.500]  就是在很遠的地方
[00:05:03.500 --> 00:05:07.300]  甚至是隱藏的地方裡面發射這些箭
[00:05:07.300 --> 00:05:09.700]  所以中國人有一句話怎麼說呢?
[00:05:09.900 --> 00:05:14.300]  「鳴槍而擋,暗箭難防」
[00:05:14.300 --> 00:05:18.300]  敵人就會突然之間來發射這些箭
[00:05:18.300 --> 00:05:20.700]  如果燒著了的箭
[00:05:20.700 --> 00:05:24.100]  他可以如果射中人的身的時候
[00:05:24.100 --> 00:05:25.500]  那個人不但受傷
[00:05:25.500 --> 00:05:27.100]  都會怎麼樣呢?
[00:05:27.100 --> 00:05:28.500]  他都會被燃燒
[00:05:28.500 --> 00:05:31.100]  縱使沒有射中
[00:05:31.100 --> 00:05:33.500]  但是一定帶來混亂
[00:05:33.500 --> 00:05:34.900]  因為他是著火的
[00:05:35.500 --> 00:05:39.900]  他的陣勢可能因為這個緣故就被瓦解了
[00:05:39.900 --> 00:05:43.300]  而箭往往是先頭部隊
[00:05:43.300 --> 00:05:45.900]  當他發射完箭的時候
[00:05:45.900 --> 00:05:48.700]  對方的敵陣亂了
[00:05:48.700 --> 00:05:52.300]  於是他就會派軍隊直接來攻擊
[00:05:52.300 --> 00:05:54.700]  這樣就看到箭的作用了
[00:05:54.700 --> 00:05:59.500]  接著我們再看看盾牌的功用在哪裡呢?
[00:05:59.500 --> 00:06:03.700]  盾牌這個字原來的意思就是一道門
[00:06:04.100 --> 00:06:07.700]  一個人隱藏或者躲在門後的時候
[00:06:07.700 --> 00:06:10.300]  他就得到保障和安全
[00:06:10.300 --> 00:06:13.700]  當時的盾牌大概是四尺長
[00:06:13.700 --> 00:06:15.700]  兩尺半闊的
[00:06:15.700 --> 00:06:19.500]  有一個橢圓形的情況
[00:06:19.500 --> 00:06:24.700]  大部分盾牌的目的就是遮擋自己的身體
[00:06:24.700 --> 00:06:27.100]  盾牌其實基本是木造的
[00:06:27.100 --> 00:06:30.500]  但是前面那裡用了一塊薄的金屬
[00:06:30.500 --> 00:06:32.700]  鐵片來包裝
[00:06:33.100 --> 00:06:36.300]  當箭射過來的時候就被他挖走了
[00:06:36.300 --> 00:06:38.900]  就可以保護到對方
[00:06:38.900 --> 00:06:42.500]  而如果盾牌運用得好的時候
[00:06:42.500 --> 00:06:47.500]  甚至一隊軍隊可以配合整個軍營的時候
[00:06:47.500 --> 00:06:51.300]  他們可以成為一個陣勢來進攻對方
[00:06:51.300 --> 00:06:53.700]  如果我看過羅馬的電影
[00:06:53.700 --> 00:06:56.500]  特別是那些古代的戰爭片
[00:06:56.500 --> 00:07:01.900]  他們就會用盾牌來成為一個陣勢去攻擊對方
[00:07:02.900 --> 00:07:06.500]  我們看了火箭和盾牌的功用之後
