
[00:00:00.000 --> 00:00:04.000]  領子妹今天我們所看的經文的講道主題
[00:00:04.000 --> 00:00:07.000]  是叫尊重神權的信服與主動
[00:00:07.000 --> 00:00:12.000]  我侍奉主也好一段時間
[00:00:12.000 --> 00:00:17.000]  通常教會往往有一些初信弟兄姊妹的時候
[00:00:17.000 --> 00:00:21.000]  我都會直接或者間接去問一下他們
[00:00:21.000 --> 00:00:26.000]  可不可以有意思接受一些初信栽培的課程呢
[00:00:26.000 --> 00:00:29.000]  為什麼要有一些初信栽培的課程
[00:00:29.000 --> 00:00:32.000]  最重要的目的就是希望能夠有系統地
[00:00:32.000 --> 00:00:40.000]  去為初信弟兄姊妹解釋一些重要基督教信仰的課題
[00:00:40.000 --> 00:00:45.000]  於是我有時候甚至會開一些主要學課程
[00:00:45.000 --> 00:00:51.000]  譬如新舊約蓋覽或者是教會歷史的主要學課程
[00:00:51.000 --> 00:00:54.000]  希望藉著一些最基本的課題
[00:00:54.000 --> 00:00:59.000]  或者將聖經最概要的內容去跟他們展釋
[00:00:59.000 --> 00:01:01.000]  好使他們往後日子信主的時候
[00:01:01.000 --> 00:01:07.000]  可以有穩固的基礎能夠繼續去明白上帝的說話
[00:01:07.000 --> 00:01:12.000]  這是我很多年來做牧者的心願
[00:01:12.000 --> 00:01:15.000]  如果弟兄姊妹在我們教會內
[00:01:15.000 --> 00:01:19.000]  我相信你們也有很多次這樣的經歷
[00:01:19.000 --> 00:01:23.000]  我是這樣邀請大家去有這些栽培的課程
[00:01:23.000 --> 00:01:26.000]  但是我很想問問大家
[00:01:26.000 --> 00:01:30.000]  當我邀請大家去參加這些課程的時候
[00:01:30.000 --> 00:01:33.000]  你是有什麼樣的心情呢?
[00:01:33.000 --> 00:01:36.000]  會不會是一個很興奮的心情呢?
[00:01:36.000 --> 00:01:39.000]  還是心裡這樣想
[00:01:39.000 --> 00:01:44.000]  牧師不用了吧,不用搞這麼多了,謝謝了
[00:01:44.000 --> 00:01:47.000]  你是帶著一種什麼樣的心情呢?
[00:01:47.000 --> 00:01:52.000]  今天我們會一起去看一位慕道的朋友
[00:01:52.000 --> 00:01:53.000]  甚至可以這麼說
[00:01:53.000 --> 00:01:59.000]  他已經是對上帝耶和華有初階認識的一位人士
[00:01:59.000 --> 00:02:01.000]  他是一個外國的高官
[00:02:01.000 --> 00:02:07.000]  他甚至是統管一個國家的財務的大臣
[00:02:07.000 --> 00:02:13.000]  但是他早早就被創造的主耶和華神吸引
[00:02:13.000 --> 00:02:16.000]  於是乎他有一連串的活動
[00:02:16.000 --> 00:02:21.000]  是很值得我們今天去細心去了解和學習的
[00:02:21.000 --> 00:02:25.000]  原來上帝在每一個能夠相信主的人
[00:02:25.000 --> 00:02:27.000]  甚至是侍奉祂的人
[00:02:27.000 --> 00:02:30.000]  都有祂特別的安排在期間
[00:02:30.000 --> 00:02:32.000]  所以今天我們希望透過這段聖經
[00:02:32.000 --> 00:02:35.000]  能夠去明白到耶和華神
[00:02:35.000 --> 00:02:39.000]  怎樣在我們生命裡面去改造、更新我們
[00:02:39.000 --> 00:02:42.000]  使得我們有一個準確的信的基礎
[00:02:42.000 --> 00:02:46.000]  然後進入一個真正有效的侍奉
[00:02:46.000 --> 00:02:49.000]  甚至可以推動到我們往後怎樣繼續
[00:02:49.000 --> 00:02:54.000]  能夠有根、有基去成為一個有追求的基督徒
[00:02:54.000 --> 00:02:56.000]  讓我們一起去看看吧
[00:02:56.000 --> 00:02:59.000]  我們先去看看第一部份
[00:02:59.000 --> 00:03:04.000]  第一部份的經文就是第八章第26和27節的上
[00:03:04.000 --> 00:03:07.000]  和39、40節上
[00:03:07.000 --> 00:03:12.000]  讓我們再讀一讀這四節的經文究竟是講什麼
[00:03:12.000 --> 00:03:19.000]  「有主的一個使者對腓利說:起來,向南走
[00:03:19.000 --> 00:03:23.000]  往那從耶路撒冷夏加薩的路上去
[00:03:23.000 --> 00:03:26.000]  那路是曠野
[00:03:26.000 --> 00:03:29.000]  腓利就起身去了
[00:03:29.000 --> 00:03:37.000]  不料他就遇見了一個伊索匹亞的人」
[00:03:37.000 --> 00:03:40.000]  從這裡開始我們已經看到
