
[00:00:00.000 --> 00:00:02.000]  (主席) 弟兄姊妹主內平安
[00:00:02.000 --> 00:00:06.000]  (主席) 新年到了,你辦了年貨沒有?
[00:00:06.000 --> 00:00:09.000]  (主席) 有誰辦了年貨?
[00:00:09.000 --> 00:00:12.000]  (主席) 我問過兩堂都沒有人舉手,發覺
[00:00:12.000 --> 00:00:15.000]  (主席) 好像不用預備過年,不知道是不是
[00:00:15.000 --> 00:00:19.000]  (主席) 還是說還有幾天才衝吧
[00:00:19.000 --> 00:00:22.000]  (主席) 我想我們特別去拜年
[00:00:22.000 --> 00:00:24.000]  (主席) 和一些我們尊敬的長輩
[00:00:24.000 --> 00:00:27.000]  (主席) 或者我們心愛的朋友
[00:00:27.000 --> 00:00:30.000]  (主席) 或者家人拜年總不能夠兩梳招
[00:00:30.000 --> 00:00:34.000]  (主席) 你都會花點心思去預備一些
[00:00:34.000 --> 00:00:37.000]  (主席) 合適他們的禮物
[00:00:37.000 --> 00:00:40.000]  (主席) 以色列人去朝見上帝的時候
[00:00:40.000 --> 00:00:44.000]  (主席) 他們又拿了些什麼來呈獻呢?
[00:00:44.000 --> 00:00:48.000]  (主席) 在《出拉及記》第40章有這樣的記載
[00:00:48.000 --> 00:00:51.000]  (主席) 耶和華曉如摩西說
[00:00:51.000 --> 00:00:54.000]  (主席) 正月初一日,你要立起帳幕
[00:00:54.000 --> 00:00:58.000]  (主席) 用膏油把帳幕和其中所有的都抹上
[00:00:58.000 --> 00:01:03.000]  (主席) 使帳幕和一切器具成聖,就都成聖
[00:01:03.000 --> 00:01:06.000]  (主席) 又要抹凡祭壇和一切器具
[00:01:06.000 --> 00:01:11.000]  (主席) 使壇成聖,就都成為至聖
[00:01:11.000 --> 00:01:14.000]  (主席) 以色列人出了埃及一年之後
[00:01:14.000 --> 00:01:17.000]  (主席) 在第二年的正月初一日
[00:01:17.000 --> 00:01:22.000]  (主席) 完成了會幕的答見,舉行奉獻禮了
[00:01:22.000 --> 00:01:26.000]  (主席) 究竟以色列人帶了些什麼來呈獻呢?
