
[00:00:00.000 --> 00:00:02.800]  我們不如先看完第二段經文
[00:00:02.800 --> 00:00:07.400]  接著我們再講講《祈禱》的事項
[00:00:07.400 --> 00:00:12.700]  第二段經文是《提摩太前書》三章一至十三章
[00:00:12.700 --> 00:00:15.300]  如果你是熟悉《西洋聖經》就知道
[00:00:15.300 --> 00:00:18.000]  《保羅書信》裡面有兩段聖經
[00:00:18.000 --> 00:00:22.200]  都是講到這些做長老和執事的
[00:00:22.200 --> 00:00:24.200]  除了這些之外也有提多書
[00:00:24.200 --> 00:00:28.200]  我今天就選擇了《提摩太前書》三章一至十三章
[00:00:28.200 --> 00:00:29.500]  我們一起讀好嗎
[00:00:29.500 --> 00:00:31.100]  一二三
[00:00:31.100 --> 00:00:35.100]  若有人賞望監督的職份
[00:00:35.100 --> 00:00:38.300]  他是在羨慕一件好事
[00:00:38.300 --> 00:00:40.500]  這話是可信的
[00:00:40.500 --> 00:00:43.700]  監督必須無可指責
[00:00:43.700 --> 00:00:46.500]  只作一個婦人的丈夫
[00:00:46.500 --> 00:00:47.800]  有節制
[00:00:47.800 --> 00:00:48.800]  克己
[00:00:48.800 --> 00:00:49.800]  端靜
[00:00:49.800 --> 00:00:51.900]  樂意接待愛人
[00:00:51.900 --> 00:00:53.600]  善於教導
[00:00:53.600 --> 00:00:54.800]  不怨酒
[00:00:54.800 --> 00:00:56.100]  不打人
[00:00:56.100 --> 00:00:57.400]  要溫和
[00:00:57.400 --> 00:00:58.600]  不好鬥
[00:00:58.600 --> 00:00:59.900]  不貪財
[00:00:59.900 --> 00:01:02.700]  要好好照顧自己的家
[00:01:02.700 --> 00:01:04.600]  使兒女順服
[00:01:04.600 --> 00:01:06.400]  凡事莊重
[00:01:06.400 --> 00:01:09.600]  人若不知道管理自己的家
[00:01:09.600 --> 00:01:12.900]  怎能照管神的教會呢
[00:01:12.900 --> 00:01:14.300]  光信主的
[00:01:14.300 --> 00:01:16.000]  不可作監督
[00:01:16.000 --> 00:01:18.400]  恐怕他自高自大
[00:01:18.400 --> 00:01:21.900]  落在魔鬼所受的懲罰裡
[00:01:21.900 --> 00:01:25.900]  監督也必須在教外有好名聲
[00:01:25.900 --> 00:01:27.900]  免得被人毀謗
[00:01:27.900 --> 00:01:30.600]  落在魔鬼的網羅裡
[00:01:30.600 --> 00:01:31.500]  同樣
[00:01:31.500 --> 00:01:33.900]  執事也必須莊重
[00:01:33.900 --> 00:01:35.900]  不一口兩舌
[00:01:35.900 --> 00:01:37.100]  不好酒
[00:01:37.100 --> 00:01:39.100]  不貪不義之財
[00:01:39.100 --> 00:01:41.600]  要傳清末傳信
[00:01:41.600 --> 00:01:44.000]  護守信仰的奧秘
[00:01:44.000 --> 00:01:47.100]  這些人也要先受考驗
[00:01:47.100 --> 00:01:49.400]  若沒有可責之處
[00:01:49.400 --> 00:01:51.900]  才讓他們作執事
[00:01:51.900 --> 00:01:52.800]  同樣
[00:01:52.800 --> 00:01:55.400]  女執事也必須莊重
[00:01:55.400 --> 00:01:57.000]  不說閒話
[00:01:57.000 --> 00:01:58.200]  有節制
[00:01:58.200 --> 00:01:59.900]  凡事忠心
[00:01:59.900 --> 00:02:03.200]  執事只作一個苦人的丈夫
[00:02:03.200 --> 00:02:06.700]  要好好管理女和自己的家
[00:02:06.700 --> 00:02:09.400]  因為善於作執事的
[00:02:09.400 --> 00:02:12.500]  為自己得到美好的地位
[00:02:12.500 --> 00:02:17.800]  並且無懼地堅信在耶穌女的信仰
[00:02:28.000 --> 00:02:29.300]  前書
[00:02:29.300 --> 00:02:31.700]  總之保羅那時候
[00:02:31.700 --> 00:02:34.300]  比較臨近尾聲的時候
[00:02:34.300 --> 00:02:36.200]  他要傳遞信仰
[00:02:36.200 --> 00:02:38.700]  他跟提摩太說
[00:02:38.700 --> 00:02:41.900]  如何接觸建立教會
[00:02:41.900 --> 00:02:42.700]  他說
[00:02:42.700 --> 00:02:45.400]  教會時要找人做監督
[00:02:45.400 --> 00:02:48.400]  這個監督完全是看你的翻譯
