
[00:00:00.000 --> 00:00:02.000]  「復活主」
[00:00:02.000 --> 00:00:06.000]  今日,各位靈智妹
[00:00:06.000 --> 00:00:13.000]  你要被這個復活的清神所震撼
[00:00:13.000 --> 00:00:16.000]  正如當初的那幾個婦女
[00:00:16.000 --> 00:00:20.000]  在一梯去到那個墳墓的婦女一樣
[00:00:20.000 --> 00:00:28.000]  今日,你的生命要被這個空墳墓的經歷
[00:00:28.000 --> 00:00:31.000]  要徹底的改變、扭轉
[00:00:31.000 --> 00:00:36.000]  並且,你要被這個馬可所寫的
[00:00:36.000 --> 00:00:40.000]  所見證的福音書裏面的結尾
[00:00:40.000 --> 00:00:43.000]  耶穌基督的復活這件事件
[00:00:43.000 --> 00:00:49.000]  將你拖入去一個未完待續的故事
[00:00:49.000 --> 00:00:52.000]  你和我都有份
[00:00:52.000 --> 00:00:56.000]  我們有一個很好的疑問
[00:00:56.000 --> 00:01:00.000]  那幫門徒的改變
[00:01:00.000 --> 00:01:03.000]  如果你讀一下馬可福音
[00:01:03.000 --> 00:01:05.000]  讀過馬可福音
[00:01:05.000 --> 00:01:07.000]  你就發現到,由頭到尾
[00:01:07.000 --> 00:01:09.000]  那幫門徒都是兩樣東西
[00:01:09.000 --> 00:01:11.000]  第一,害怕
[00:01:11.000 --> 00:01:13.000]  見到那些東西,很害怕、懼怕
[00:01:13.000 --> 00:01:15.000]  見到耶穌所做的事,很害怕
[00:01:15.000 --> 00:01:19.000]  很多事情,臨到他們面前,很害怕、懼怕
[00:01:19.000 --> 00:01:23.000]  第二件事,就是他們愚昧、不明白
[00:01:23.000 --> 00:01:25.000]  由頭到尾,耶穌親自教他們很多東西
[00:01:25.000 --> 00:01:28.000]  他們都不明白,愚昧、不明白
[00:01:28.000 --> 00:01:30.000]  你看看馬可福音,你看看
[00:01:30.000 --> 00:01:34.000]  那幫門徒,從頭到尾都不是很信的
[00:01:34.000 --> 00:01:37.000]  很害怕的
[00:01:37.000 --> 00:01:42.000]  但是,事實上,今日教會的成立
[00:01:42.000 --> 00:01:47.000]  今天,天全世界都是第一批的使徒、門徒
[00:01:47.000 --> 00:01:49.000]  他們帶給我們的
[00:01:49.000 --> 00:01:54.000]  什麼力量,使他們來改變呢?
[00:01:54.000 --> 00:01:58.000]  有什麼力量,這個力量如何呢?
[00:01:58.000 --> 00:02:00.000]  今日,你和我都要回答這個問題
