
[00:00:00.000 --> 00:00:01.240]  鄧炳智 早晨
[00:00:01.240 --> 00:00:04.680]  網上的鄧炳智都跟你說早晨
[00:00:04.680 --> 00:00:07.400]  我願意每天一早
[00:00:07.400 --> 00:00:09.040]  星期天就跟我們一起
[00:00:09.040 --> 00:00:11.000]  在網上參與崇拜
[00:00:11.000 --> 00:00:13.920]  多謝剛才何丙培執事
[00:00:13.920 --> 00:00:17.080]  幫我讀出經文及今天講題
[00:00:17.080 --> 00:00:18.840]  「真誠群體合一」
[00:00:18.840 --> 00:00:20.520]  「一」即代表有「二」
[00:00:20.520 --> 00:00:23.480]  所以其實我們在今年
[00:00:23.480 --> 00:00:27.120]  教會在連題當中
[00:00:27.120 --> 00:00:29.680]  很想帶出其中一個很重要的訊息
[00:00:29.680 --> 00:00:32.040]  我們要成為一個真誠的群體
[00:00:32.040 --> 00:00:35.400]  如果還記得我在一月初
[00:00:35.400 --> 00:00:38.400]  即一月初開始今年的訊息的時候
[00:00:38.400 --> 00:00:42.200]  我就用了「真誠的群體」這個題目
[00:00:42.200 --> 00:00:43.400]  成為一個開始
[00:00:43.400 --> 00:00:47.040]  當我思想我們教會其實是些甚麼來的呢?
[00:00:47.040 --> 00:00:48.960]  我們不是在想做些甚麼
[00:00:48.960 --> 00:00:50.360]  因為在疫情底下
[00:00:50.360 --> 00:00:52.160]  可能很多事都做不到
[00:00:52.160 --> 00:00:53.880]  但教會本身是些甚麼呢?
[00:00:53.880 --> 00:00:55.680]  當我思想的時候
[00:00:55.680 --> 00:00:58.680]  我們回到我們五年的計劃
[00:00:58.680 --> 00:01:00.720]  只能得見的教會
[00:01:00.720 --> 00:01:02.400]  這個教會應該是一個
[00:01:02.400 --> 00:01:04.400]  真誠關係的群體
[00:01:04.400 --> 00:01:06.960]  是一個願意無償服侍的群體
[00:01:06.960 --> 00:01:09.880]  是一個願意活現真道的群體
[00:01:09.880 --> 00:01:13.080]  所以我很盼望在我們今年的訊息裡面
[00:01:13.080 --> 00:01:14.480]  在崇拜當中
[00:01:14.480 --> 00:01:16.160]  讓我們思想這幾個題目
[00:01:16.160 --> 00:01:17.880]  特別是真誠關係裡面
[00:01:17.880 --> 00:01:20.240]  如果還記得我在一月三日
[00:01:20.240 --> 00:01:21.960]  不過已經很久了
[00:01:21.960 --> 00:01:27.000]  我用了一個奧運五環的一個比喻
[00:01:27.000 --> 00:01:29.240]  帶出了我們這個真誠群體
[00:01:29.240 --> 00:01:31.040]  有五個需要的元素
[00:01:31.040 --> 00:01:32.360]  謙卑
[00:01:32.360 --> 00:01:33.360]  聆聽
[00:01:33.360 --> 00:01:34.280]  欣賞
[00:01:34.280 --> 00:01:35.720]  信任和合一
[00:01:35.720 --> 00:01:36.800]  可能你沒甚麼印象
[00:01:36.800 --> 00:01:37.800]  因為都是典題
[00:01:37.800 --> 00:01:41.160]  我打算在未來的五次講道當中
[00:01:41.160 --> 00:01:43.280]  就將這五個題目逐一帶出
[00:01:43.280 --> 00:01:44.360]  未必是連續
[00:01:44.360 --> 00:01:48.560]  不過都會按著聖靈的感動來帶領去帶出
[00:01:48.560 --> 00:01:50.960]  而今天我很想帶出一個主題就是合一
[00:01:50.960 --> 00:01:53.480]  當我們思想甚麼是合一的時候
[00:01:53.480 --> 00:01:54.920]  我們很容易就會想
[00:01:54.920 --> 00:01:58.520]  合一是不是就是我們要有一模一樣的立場呢?
[00:01:58.520 --> 00:02:00.360]  有一模一樣的思想
[00:02:00.360 --> 00:02:02.040]  有一模一樣的行動
[00:02:02.040 --> 00:02:04.040]  這個合一
[00:02:04.040 --> 00:02:05.840]  是不是就變成了一個統一呢?
[00:02:05.840 --> 00:02:07.440]  好像倒模的機器那樣
[00:02:07.440 --> 00:02:09.040]  就好像這張照片
[00:02:09.040 --> 00:02:09.920]  大家認得了
[00:02:09.920 --> 00:02:11.720]  《星球大戰》裡面的士兵
[00:02:11.720 --> 00:02:13.120]  全部都是一模一樣的
[00:02:13.120 --> 00:02:14.200]  幾乎分不清
[00:02:14.200 --> 00:02:19.720]  只是其中一個戴著紅色的肩膀
[00:02:19.720 --> 00:02:22.240]  可能就是代表他們的領袖在當中
