
[00:00:00.000 --> 00:00:01.720]  時間又過了一年
[00:00:01.720 --> 00:00:02.920]  對於我們中國人來說
[00:00:02.920 --> 00:00:06.480]  今天是年初二的一個時間
[00:00:06.480 --> 00:00:08.880]  亦是新年第二天
[00:00:08.880 --> 00:00:11.800]  我們深信中國人始終有上帝
[00:00:11.800 --> 00:00:14.240]  給我們很特別的
[00:00:14.240 --> 00:00:16.240]  猶太人有兩次的過年
[00:00:16.240 --> 00:00:18.240]  我們中國人也有兩次的過年
[00:00:18.240 --> 00:00:19.520]  兩次的過年
[00:00:19.520 --> 00:00:23.840]  正正就是上帝給我們中國人一個很特別的恩典
[00:00:23.840 --> 00:00:26.440]  我們能夠有兩次的回顧
[00:00:26.440 --> 00:00:29.080]  亦有兩次的立志的機會
[00:00:29.080 --> 00:00:30.720]  如果過去的除夕
[00:00:30.720 --> 00:00:33.880]  我們立志這個月做不到的
[00:00:33.880 --> 00:00:36.080]  我們仍然今天再一次立志
[00:00:36.080 --> 00:00:37.440]  我們希望能夠
[00:00:37.440 --> 00:00:38.400]  尤其這一年
[00:00:38.400 --> 00:00:39.840]  我們能夠在祝那邊
[00:00:39.840 --> 00:00:42.880]  我們所立的志都能夠成就
[00:00:42.880 --> 00:00:44.400]  以致到年終的時候
[00:00:44.400 --> 00:00:49.960]  我們可以回顧上帝有很多的感恩的事情
[00:00:49.960 --> 00:00:54.200]  當然今天我講到的題目是比較特別的
[00:00:54.200 --> 00:00:56.560]  因為這個特別的只是差一個字
[00:00:56.560 --> 00:00:58.080]  因為我們在新年那邊
[00:00:58.080 --> 00:01:02.560]  我們很多時候都會祝福人新年快樂
[00:01:02.560 --> 00:01:04.200]  我們一定會講新年快樂的
[00:01:04.200 --> 00:01:08.760]  我們的題目就是新年喜樂
[00:01:08.760 --> 00:01:11.800]  你說喜樂和快樂有什麼分別呢
[00:01:11.800 --> 00:01:14.800]  一會兒我會跟大家分享
[00:01:14.800 --> 00:01:19.360]  為什麼我的題目會講到新年的喜樂
[00:01:19.360 --> 00:01:21.440]  我希望由今天開始
[00:01:21.440 --> 00:01:23.040]  我們以後每一年新年
[00:01:23.040 --> 00:01:24.440]  我們都不要講新年快樂
[00:01:24.440 --> 00:01:26.600]  我們要講新年喜樂
[00:01:26.600 --> 00:01:28.760]  我們很深信是有它的不同
[00:01:28.760 --> 00:01:31.200]  以致到我們很希望能夠透過上帝
[00:01:31.200 --> 00:01:32.920]  給我們的話語
[00:01:32.920 --> 00:01:34.400]  給我們的鼓勵
[00:01:34.400 --> 00:01:36.600]  亦都能夠在未來一年
[00:01:36.600 --> 00:01:41.120]  我們能夠每一天都能夠有喜樂的人生
[00:01:41.120 --> 00:01:43.040]  所以求主繼續拖帶著我們
[00:01:43.040 --> 00:01:45.640]  亦都讓我們能夠在新的一年那邊
[00:01:45.640 --> 00:01:48.400]  我們能夠持續地在主那邊
[00:01:48.400 --> 00:01:50.080]  我們可以有喜樂
[00:01:50.080 --> 00:01:51.840]  所以求神繼續恩代
