
[00:00:00.000 --> 00:00:02.500]  很開心 剛才說不用介紹是對的
[00:00:02.500 --> 00:00:05.280]  這個餐會開了幾十年
[00:00:05.280 --> 00:00:07.200]  應該有三十年
[00:00:07.200 --> 00:00:09.960]  本來在中環 後來搬到這裡
[00:00:09.960 --> 00:00:12.500]  很開心 因為香港人很忙
[00:00:12.500 --> 00:00:15.440]  但能夠在忙中抽出來
[00:00:15.440 --> 00:00:20.160]  有一個小時聽一些很重要的東西
[00:00:20.160 --> 00:00:25.000]  因為我真的是醫生
[00:00:25.000 --> 00:00:26.680]  我現在還有時間
[00:00:26.680 --> 00:00:28.560]  現在我還在上課
[00:00:28.560 --> 00:00:31.560]  現在我和醫療界保持接觸
[00:00:31.560 --> 00:00:34.040]  因為我後來轉行做青年工作
[00:00:34.040 --> 00:00:38.200]  原來青年人的健康很差
[00:00:38.200 --> 00:00:39.920]  因為他運動又少
[00:00:39.920 --> 00:00:43.640]  而且最近精神健康很差
[00:00:43.640 --> 00:00:46.560]  最近你知道抑鬱症是自殺的
[00:00:46.560 --> 00:00:50.320]  我當時73歲
[00:00:50.320 --> 00:00:54.680]  有人問我有沒有健康問題
[00:00:54.680 --> 00:00:55.960]  有沒有
[00:00:55.960 --> 00:00:58.240]  像不像
[00:00:58.240 --> 00:01:00.120]  我說三高
[00:01:00.120 --> 00:01:02.280]  但血壓高很穩定
[00:01:02.280 --> 00:01:04.600]  血糖高 所以我有些東西不吃
[00:01:04.600 --> 00:01:08.640]  尿酸高 忽然間好快
[00:01:08.640 --> 00:01:10.280]  不用吃藥
[00:01:10.280 --> 00:01:13.640]  但最近就麻煩了
[00:01:13.640 --> 00:01:15.560]  我的醫生很好 幫我驗
[00:01:15.560 --> 00:01:17.480]  甚麼都驗錯
[00:01:17.480 --> 00:01:19.920]  他就馬上召喚我
[00:01:19.920 --> 00:01:22.480]  洪七醫生馬上召喚你叫他去診所
[00:01:22.480 --> 00:01:25.200]  不是好事
[00:01:25.200 --> 00:01:27.240]  我當然馬上去
[00:01:27.240 --> 00:01:29.360]  他說蔡醫生
[00:01:29.360 --> 00:01:30.800]  告訴你
[00:01:30.800 --> 00:01:35.960]  你的胰臟癌指數很高
[00:01:35.960 --> 00:01:37.320]  我是醫生
[00:01:37.320 --> 00:01:40.320]  我對胰臟癌都頗熟悉
[00:01:40.320 --> 00:01:45.200]  他說要馬上幫你做一個掃描
[00:01:45.200 --> 00:01:47.680]  整個肚子做生意
[00:01:47.680 --> 00:01:49.200]  看你胰臟癌
[00:01:49.200 --> 00:01:52.440]  我當然馬上做
[00:01:52.440 --> 00:01:57.600]  好感謝主 胰臟癌初步沒有癌症的跡象
[00:01:57.600 --> 00:01:59.640]  不過仍然好高
[00:01:59.640 --> 00:02:03.480]  所以又要做胃鏡 又要做腸鏡
[00:02:03.480 --> 00:02:05.200]  又要抽些組織
[00:02:05.200 --> 00:02:09.320]  然後就未知結果
[00:02:09.320 --> 00:02:11.000]  後來回想起來
[00:02:11.000 --> 00:02:13.960]  人生都是充滿風浪的
[00:02:13.960 --> 00:02:17.160]  我們中國人希望無風無浪
[00:02:17.160 --> 00:02:19.120]  由道理控制
[00:02:19.120 --> 00:02:20.800]  全世界都有風浪
[00:02:20.800 --> 00:02:22.680]  經濟的風浪 政治的風浪
[00:02:22.680 --> 00:02:24.720]  環境的風浪 健康的風浪
[00:02:24.720 --> 00:02:26.040]  全世界都有
[00:02:26.040 --> 00:02:28.840]  無一個人能夠行焉
[00:02:28.840 --> 00:02:30.760]  所以我今次就揀了這個主題
[00:02:30.760 --> 00:02:32.400]  風浪中的平安
[00:02:32.400 --> 00:02:34.040]  因為風浪你控制不了
[00:02:34.040 --> 00:02:35.880]  是外面來的 興風作浪
[00:02:35.880 --> 00:02:38.200]  世上很多人興風作浪
[00:02:38.200 --> 00:02:42.600]  我不講哪個 特朗普那些
[00:02:42.600 --> 00:02:45.040]  他唯恐天下不亂
[00:02:45.040 --> 00:02:48.000]  他有權 他有目的
[00:02:48.000 --> 00:02:49.760]  有權興風作浪
[00:02:49.760 --> 00:02:52.520]  但我覺得最緊要
[00:02:52.520 --> 00:02:55.120]  心的風浪可以平靜
[00:02:55.120 --> 00:02:57.920]  耶穌說我可以平靜風浪
[00:02:57.920 --> 00:02:59.600]  現在你裡面的風浪
[00:02:59.600 --> 00:03:01.240]  外面的風浪你控制不了
[00:03:01.240 --> 00:03:03.280]  但裡面的我們可以控制
[00:03:03.280 --> 00:03:04.720]  我揀了兩個題目
[00:03:04.720 --> 00:03:06.800]  都很貼身的
[00:03:06.800 --> 00:03:09.720]  一個是個人健康的風浪
