
[00:00:00.000 --> 00:00:03.000]  今天的題目就是「愛女無懼怕」
[00:00:03.000 --> 00:00:07.000]  我們用一節聖經來和大家分享今天的訊息
[00:00:07.000 --> 00:00:10.000]  我們一起讀一讀約翰一書第四章十八章
[00:00:10.000 --> 00:00:11.000]  準備一二三
[00:00:11.000 --> 00:00:13.000]  愛女沒有懼怕
[00:00:13.000 --> 00:00:16.000]  愛的完全就把懼怕除去
[00:00:16.000 --> 00:00:19.000]  因為懼怕的女含若刑罰
[00:00:19.000 --> 00:00:23.000]  懼怕的人在愛女未得完全
[00:00:23.000 --> 00:00:27.000]  其實我們人一定有些事怕
[00:00:27.000 --> 00:00:29.000]  我不知道你怕什麼
[00:00:29.000 --> 00:00:32.000]  於是我就嘗試上網去看看
[00:00:32.000 --> 00:00:36.000]  究竟這個世界人最怕什麼呢
[00:00:36.000 --> 00:00:39.000]  於是就打一些相關字
[00:00:39.000 --> 00:00:41.000]  去到那個Google
[00:00:41.000 --> 00:00:43.000]  居然出現了原來全世界
[00:00:43.000 --> 00:00:47.000]  那些人最怕有十樣東西
[00:00:47.000 --> 00:00:50.000]  給大家知道那十樣東西是我們最怕的
[00:00:50.000 --> 00:00:53.000]  第一最怕的是蛇
[00:00:53.000 --> 00:00:56.000]  第二就是爬蟲
[00:00:56.000 --> 00:00:58.000]  第三就是一些空間
[00:00:58.000 --> 00:01:00.000]  就是空間恐懼症
[00:01:00.000 --> 00:01:03.000]  第四就是社交恐懼症
[00:01:03.000 --> 00:01:05.000]  就是怕人
[00:01:05.000 --> 00:01:07.000]  第五就是怕高
[00:01:07.000 --> 00:01:10.000]  第六就是怕黑暗
[00:01:10.000 --> 00:01:12.000]  第七就是怕雷電
[00:01:12.000 --> 00:01:13.000]  也不出奇的
[00:01:13.000 --> 00:01:16.000]  第八就是怕飛機
[00:01:16.000 --> 00:01:19.000]  第九這個我就不太相信
[00:01:19.000 --> 00:01:20.000]  怕狗而已
[00:01:20.000 --> 00:01:23.000]  我覺得香港人絕對應該很少怕狗
[00:01:23.000 --> 00:01:24.000]  每次去西貢
[00:01:24.000 --> 00:01:27.000]  那些嬰兒車都是擺狗多的擺人
[00:01:27.000 --> 00:01:29.000]  我覺得很少會怕狗
[00:01:29.000 --> 00:01:31.000]  但我不知道這個數據
[00:01:31.000 --> 00:01:33.000]  第十如果是有牙醫
[00:01:33.000 --> 00:01:34.000]  不好意思不關我的事
[00:01:34.000 --> 00:01:35.000]  不是我說的
[00:01:35.000 --> 00:01:37.000]  原來很怕牙醫
[00:01:37.000 --> 00:01:39.000]  這十樣東西是
[00:01:39.000 --> 00:01:42.000]  一些做過全世界的調查
[00:01:42.000 --> 00:01:44.000]  出現了這十樣東西
[00:01:44.000 --> 00:01:45.000]  這十樣東西當中
[00:01:45.000 --> 00:01:46.000]  有一樣我是很怕的
[00:01:46.000 --> 00:01:49.000]  遲些我一會兒說到我最怕什麼
[00:01:49.000 --> 00:01:50.000]  但是
[00:01:50.000 --> 00:01:52.000]  有一個有線電視網絡
[00:01:52.000 --> 00:01:54.000]  有做了一個調查
[00:01:54.000 --> 00:01:57.000]  包括亞洲的十一個國家
[00:01:57.000 --> 00:01:59.000]  當然包括香港
[00:01:59.000 --> 00:02:02.000]  這十一個亞洲國家最怕什麼
[00:02:02.000 --> 00:02:08.000]  原來有六個地區都說怕高
[00:02:08.000 --> 00:02:10.000]  當然再細微一點分
[00:02:10.000 --> 00:02:12.000]  原來香港人最怕什麼呢
[00:02:12.000 --> 00:02:14.000]  肥
[00:02:14.000 --> 00:02:16.000]  最怕肥
[00:02:16.000 --> 00:02:18.000]  最近有些人問我
[00:02:18.000 --> 00:02:19.000]  我開始肥了一點
[00:02:19.000 --> 00:02:21.000]  我覺得我開始是否怕肥呢
[00:02:21.000 --> 00:02:23.000]  我又要減肥了
[00:02:23.000 --> 00:02:27.000]  原來新加坡人是最怕蟑螂
[00:02:27.000 --> 00:02:30.000]  而台灣人是最怕趁假
[00:02:30.000 --> 00:02:31.000]  我就開始搔頭
[00:02:31.000 --> 00:02:33.000]  怕趁假
[00:02:33.000 --> 00:02:34.000]  不是很明白
[00:02:34.000 --> 00:02:35.000]  不關我的事
[00:02:35.000 --> 00:02:37.000]  只是一些數據
[00:02:37.000 --> 00:02:40.000]  原來香港人除了怕肥之外
[00:02:40.000 --> 00:02:42.000]  當然剛才說過也怕高
[00:02:42.000 --> 00:02:43.000]  也怕死亡
[00:02:43.000 --> 00:02:44.000]  怕鬼魂
[00:02:44.000 --> 00:02:46.000]  怕孤獨
[00:02:46.000 --> 00:02:48.000]  這些是
[00:02:48.000 --> 00:02:53.000]  世界的人去研究人最怕什麼
[00:02:53.000 --> 00:02:57.000]  但是從來沒有人會說怕神
[00:02:57.000 --> 00:02:58.000]  很有意思
[00:02:58.000 --> 00:03:00.000]  沒有人說怕神
[00:03:00.000 --> 00:03:02.000]  今天約翰一書很有意思
[00:03:02.000 --> 00:03:05.000]  愛他沒有懼怕
[00:03:05.000 --> 00:03:07.000]  愛如果完全
[00:03:07.000 --> 00:03:10.000]  就把他懼怕除去
[00:03:10.000 --> 00:03:13.000]  因為懼怕他含有刑罰
[00:03:13.000 --> 00:03:15.000]  換言之約翰在約翰一書裡面
[00:03:15.000 --> 00:03:16.000]  他所寫的
[00:03:16.000 --> 00:03:20.000]  我們應該去怕神的刑罰
[00:03:20.000 --> 00:03:22.000]  很多時候我們犯罪的時候
[00:03:22.000 --> 00:03:24.000]  我們當神看不到
[00:03:24.000 --> 00:03:26.000]  上帝原來我一次
[00:03:26.000 --> 00:03:27.000]  下一次不做
[00:03:27.000 --> 00:03:29.000]  下一次又繼續犯
[00:03:29.000 --> 00:03:32.000]  我們好像不是很怕神的刑罰
[00:03:32.000 --> 00:03:34.000]  但是約翰又說
[00:03:34.000 --> 00:03:35.000]  不用怕
[00:03:35.000 --> 00:03:38.000]  因為在愛女是不應該有懼怕
[00:03:38.000 --> 00:03:41.000]  換言之我們要愛神愛人
[00:03:41.000 --> 00:03:43.000]  上個月
[00:03:43.000 --> 00:03:46.000]  柏斯德基人他講到
[00:03:46.000 --> 00:03:48.000]  我們要彼此的相愛
[00:03:48.000 --> 00:03:50.000]  人就認出我們彼此的相愛屬於神
[00:03:50.000 --> 00:03:53.000]  他說這是一條新的命令
[00:03:53.000 --> 00:03:55.000]  上一次大家應該聽了他講到
[00:03:55.000 --> 00:03:56.000]  所以換言之
[00:03:56.000 --> 00:03:58.000]  我們說愛神愛人
[00:03:58.000 --> 00:04:04.000]  理應就不會怕任何神的刑罰
