
[00:00:00.000 --> 00:00:04.640]  這一段聖經在馬太福音第28章第5到第6節
[00:00:04.640 --> 00:00:07.580]  我們一同來念這兩節的聖經
[00:00:07.580 --> 00:00:10.720]  天使對婦女說不要害怕
[00:00:10.720 --> 00:00:14.760]  我知道你們是尋找那釘十字架的耶穌
[00:00:14.760 --> 00:00:15.860]  祂不在這裡
[00:00:15.860 --> 00:00:18.820]  照祂所說的已經復活了
[00:00:18.820 --> 00:00:22.040]  你們來看安放主的地方
[00:00:22.040 --> 00:00:23.180]  今天是復活節
[00:00:23.180 --> 00:00:26.640]  首先在這裡恭賀大家復活節非常非常快樂
[00:00:26.640 --> 00:00:27.920]  黑門
[00:00:27.920 --> 00:00:30.720]  阿里路亞 跟你旁邊那位姐姐說
[00:00:30.720 --> 00:00:35.680]  復活節非常快樂跟她說
[00:00:35.680 --> 00:00:41.560]  兩千多年前天使向那些到墳墓來尋找耶穌的婦女說
[00:00:41.560 --> 00:00:43.740]  祂不在這裡
[00:00:43.740 --> 00:00:47.440]  照祂所說的已經復活了
[00:00:47.440 --> 00:00:49.360]  就從這句話開始
[00:00:49.360 --> 00:00:54.720]  我們開始展開了基督教歷史嶄新的一頁
[00:00:54.720 --> 00:00:59.560]  因為主的復活是我們整個基督教信仰的核心
[00:00:59.560 --> 00:01:02.440]  是一個不可少的資助
[00:01:02.440 --> 00:01:06.800]  主的復活證明了耶穌基督果然是神的兒子
[00:01:06.800 --> 00:01:12.640]  主的復活也證明了祂擁有勝過罪惡死亡的一些權勢
[00:01:12.640 --> 00:01:14.480]  主的復活更證明了
[00:01:14.480 --> 00:01:20.360]  耶穌基督已經為我們人類開了一條又新又活的道路
[00:01:20.360 --> 00:01:24.000]  讓我們可以不再活在罪惡的匣子當中
[00:01:24.000 --> 00:01:25.240]  能夠來到神面前
[00:01:25.240 --> 00:01:28.560]  能夠領受從神那裡得到的新生命
[00:01:28.560 --> 00:01:29.760]  Amen
[00:01:29.760 --> 00:01:33.680]  主的復活的確是我們今天信仰的核心
[00:01:33.680 --> 00:01:38.200]  也是我們基督徒生活得勝的關鍵
