
[00:00:00.000 --> 00:00:03.000]  第一次我們一同低頭禱告
[00:00:03.000 --> 00:00:05.000]  全能的父神
[00:00:05.000 --> 00:00:07.000]  為了祢給我們
[00:00:07.000 --> 00:00:09.000]  還有生命氣息
[00:00:09.000 --> 00:00:10.000]  我們感謝祢
[00:00:10.000 --> 00:00:12.000]  也為了祢給我們有機會
[00:00:12.000 --> 00:00:14.000]  一同聚集
[00:00:14.000 --> 00:00:16.000]  不但來歌頌讚美
[00:00:16.000 --> 00:00:17.000]  在祢面前
[00:00:17.000 --> 00:00:20.000]  和祢自己的話語裡面學習
[00:00:20.000 --> 00:00:21.000]  我們感謝祢
[00:00:21.000 --> 00:00:23.000]  求主讓我們不單止
[00:00:23.000 --> 00:00:24.000]  看到祢自己的說話
[00:00:24.000 --> 00:00:26.000]  聽到祢的說話
[00:00:26.000 --> 00:00:28.000]  更加幫助我們能夠心裡意念
[00:00:28.000 --> 00:00:30.000]  我們口裡所說的
[00:00:30.000 --> 00:00:31.000]  都能夠蒙願
[00:00:31.000 --> 00:00:33.000]  求主隨聽我們的禱告
[00:00:33.000 --> 00:00:34.000]  賜福給今天早上
[00:00:34.000 --> 00:00:36.000]  每一個到祢面前來
[00:00:36.000 --> 00:00:38.000]  尋求祢的人
[00:00:38.000 --> 00:00:40.000]  都能夠尋見祢
[00:00:40.000 --> 00:00:42.000]  祈求的人
[00:00:42.000 --> 00:00:43.000]  能夠得著
[00:00:43.000 --> 00:00:45.000]  祢給他們所得著的
[00:00:45.000 --> 00:00:46.000]  等候祢的人
[00:00:46.000 --> 00:00:48.000]  都可以重新得力
[00:00:48.000 --> 00:00:49.000]  祈禱感謝
[00:00:49.000 --> 00:00:51.000]  奉靠耶穌明智祈求
[00:00:51.000 --> 00:00:54.000]  在今天早上
[00:00:54.000 --> 00:00:55.000]  剛才我們所讀
[00:00:55.000 --> 00:00:57.000]  亦不所書那段經文的時候
[00:00:57.000 --> 00:01:00.000]  我相信很多人都以為
[00:01:00.000 --> 00:01:03.000]  又講一些夫妻之道那些東西
[00:01:03.000 --> 00:01:05.000]  我想那些都
[00:01:05.000 --> 00:01:08.000]  在教會裡面都講得太多了
[00:01:08.000 --> 00:01:09.000]  因為講得多
[00:01:09.000 --> 00:01:11.000]  大家都會覺得不外如是
[00:01:11.000 --> 00:01:12.000]  只有四個字
[00:01:12.000 --> 00:01:14.000]  問題就是怎麼做
[00:01:14.000 --> 00:01:16.000]  而我今天想和大家看過
[00:01:16.000 --> 00:01:18.000]  透過這個敬拜
[00:01:18.000 --> 00:01:21.000]  去看回這個信復的功課
[00:01:21.000 --> 00:01:25.000]  今天早上到教會來聚會的人
[00:01:25.000 --> 00:01:28.000]  我相信你多多少少
[00:01:28.000 --> 00:01:31.000]  都是有些肯聽
[00:01:31.000 --> 00:01:33.000]  肯接受教導
[00:01:33.000 --> 00:01:35.000]  甚至乎用回兩個字
[00:01:35.000 --> 00:01:37.000]  叫做信復
[00:01:37.000 --> 00:01:39.000]  都可以的
[00:01:39.000 --> 00:01:40.000]  不過
[00:01:40.000 --> 00:01:42.000]  是不是每個人都這麼信復呢
[00:01:42.000 --> 00:01:44.000]  那就一會兒
[00:01:44.000 --> 00:01:46.000]  看神的話要怎麼告訴我們
[00:01:46.000 --> 00:01:48.000]  你本來不想來
[00:01:48.000 --> 00:01:50.000]  結果又來了
[00:01:50.000 --> 00:01:52.000]  本來不想來
[00:01:52.000 --> 00:01:53.000]  有人叫你來
[00:01:53.000 --> 00:01:55.000]  都算是聽話
[00:01:55.000 --> 00:01:57.000]  在神的面前
[00:01:57.000 --> 00:01:59.000]  我想做聽話的小孩
[00:01:59.000 --> 00:02:01.000]  在人的生活中間
[00:02:01.000 --> 00:02:03.000]  做聽話的小孩
[00:02:03.000 --> 00:02:06.000]  不一定叫蒙蒙福
[00:02:06.000 --> 00:02:08.000]  不過算是好一點的
