
[00:00:00.000 --> 00:00:02.000]  鄭氏媒體,平安!
[00:00:02.000 --> 00:00:07.000]  大家都吃了早餐了,或者早午餐了
[00:00:07.000 --> 00:00:10.000]  大家都吃飽了
[00:00:10.000 --> 00:00:14.000]  吃飽是很重要的
[00:00:14.000 --> 00:00:18.000]  在實際的生活裡,吃不飽也挺辛苦的
[00:00:18.000 --> 00:00:22.000]  今天選了一個題目,叫「都吃飽了」
[00:00:22.000 --> 00:00:26.000]  因為這是來自這段經文裡的一個
[00:00:26.000 --> 00:00:28.000]  可以說是一個高峰
[00:00:28.000 --> 00:00:35.000]  用了這段經文來做一個總結
[00:00:35.000 --> 00:00:37.000]  眾人都吃飽了
[00:00:37.000 --> 00:00:41.000]  今天要講的經文,就是我們都很熟悉的
[00:00:41.000 --> 00:00:44.000]  這個「五餅二魚」的神蹟
[00:00:44.000 --> 00:00:48.000]  我想,就算你還沒信耶穌之前
[00:00:48.000 --> 00:00:50.000]  可能你都聽過了
[00:00:50.000 --> 00:00:55.000]  這是廣為人知的一個耶穌所行的神蹟
[00:00:55.000 --> 00:01:01.000]  它是記載在四卷福音書裡都有的
[00:01:01.000 --> 00:01:05.000]  是一個很出名,很重要的
[00:01:05.000 --> 00:01:08.000]  所以四個作者都分別記錄它
[00:01:08.000 --> 00:01:10.000]  我們試試看一段經文
[00:01:10.000 --> 00:01:12.000]  我們今天就選了《路加福音》這一段
[00:01:12.000 --> 00:01:14.000]  因為我們現在都一直在看《路加福音》
[00:01:14.000 --> 00:01:15.000]  大家要留意
[00:01:15.000 --> 00:01:17.000]  所以我們透過《路加福音》的脈絡
[00:01:17.000 --> 00:01:18.000]  去了解這段經文
[00:01:18.000 --> 00:01:20.000]  它不是很長
[00:01:20.000 --> 00:01:23.000]  第九章的十至十七節
[00:01:23.000 --> 00:01:25.000]  大家聽我讀出來
[00:01:25.000 --> 00:01:28.000]  重溫一下這段經文所講的內容
[00:01:28.000 --> 00:01:30.000]  第十節說
[00:01:30.000 --> 00:01:34.000]  「使徒回來,將所作的事告訴耶穌
[00:01:34.000 --> 00:01:38.000]  耶穌就帶他們暗暗的離開那裡
[00:01:38.000 --> 00:01:41.000]  往一座城去,那城名叫伯塞大
[00:01:41.000 --> 00:01:44.000]  但眾人知道了,就跟著他去
[00:01:44.000 --> 00:01:46.000]  耶穌便接待他們
[00:01:46.000 --> 00:01:49.000]  對他們講論神國的道
[00:01:49.000 --> 00:01:52.000]  醫治那些需醫的人
[00:01:52.000 --> 00:01:55.000]  日頭快要平西十二個門徒來
[00:01:55.000 --> 00:01:58.000]  對他說:請叫眾人散開
[00:01:58.000 --> 00:02:02.000]  他們好往四面鄉村裡去借宿找吃的
[00:02:02.000 --> 00:02:05.000]  因為我們這裡是野地
[00:02:05.000 --> 00:02:08.000]  耶穌說:你們給他們吃吧
[00:02:08.000 --> 00:02:12.000]  門徒說:我們不過有五個餅兩條魚
[00:02:12.000 --> 00:02:16.000]  若不去為這許多人買食物就不夠
