
[00:00:00.000 --> 00:00:04.600]  今日講題是《走當行的道》
[00:00:04.600 --> 00:00:08.440]  是《針研二十二章》第六節
[00:00:08.440 --> 00:00:11.120]  今日是父親節
[00:00:11.120 --> 00:00:19.080]  所以亦想跟大家講一個父親的故事
[00:00:19.080 --> 00:00:24.840]  父親是教導兒女一個很重要的守則
[00:00:24.840 --> 00:00:29.320]  就是不要指責太快
[00:00:29.320 --> 00:00:32.360]  要先去了解多一點
[00:00:32.360 --> 00:00:35.680]  最好是陪他們走走看看
[00:00:35.680 --> 00:00:38.880]  然後你才知道甚麼回事
[00:00:38.880 --> 00:00:42.920]  你就會有合適的回應
[00:00:42.920 --> 00:00:45.640]  這個故事是這樣的
[00:00:45.640 --> 00:00:52.360]  有一個爸爸或他的家人住很近學校
[00:00:52.360 --> 00:00:54.560]  是一個所謂的Walking distance
[00:00:54.560 --> 00:00:56.760]  即是走五分鐘、十分鐘就到了
[00:00:56.760 --> 00:00:59.120]  亦都安全的
[00:00:59.120 --> 00:01:03.720]  有一個爸爸發現他六歲的兒子有些問題
[00:01:03.720 --> 00:01:04.920]  就是甚麼問題呢?
[00:01:04.920 --> 00:01:09.760]  就是每天放學為甚麼要半小時才回來呢?
[00:01:09.760 --> 00:01:15.360]  應該五分鐘、十分鐘最遲慢慢走都回來了
[00:01:15.360 --> 00:01:18.280]  他很想罵他
[00:01:18.280 --> 00:01:21.640]  不過想不如看看他究竟在做甚麼
[00:01:21.640 --> 00:01:24.440]  為甚麼會這麼遲呢?
[00:01:24.440 --> 00:01:29.280]  於是有一天特別請假
[00:01:29.280 --> 00:01:32.920]  去學校門口接他放學
[00:01:32.920 --> 00:01:37.040]  他又不跟他聊天又不跟他說話
[00:01:37.040 --> 00:01:38.880]  只是跟著他
[00:01:38.880 --> 00:01:39.520]  看看他做甚麼
[00:01:39.520 --> 00:01:40.160]  跟著他走
[00:01:40.160 --> 00:01:42.440]  應該是在前面走
[00:01:42.440 --> 00:01:48.640]  原來在途中
[00:01:48.640 --> 00:01:55.040]  看到別人在做欄杆
[00:01:55.040 --> 00:01:57.120]  他就停下來走過去看
[00:01:57.120 --> 00:02:00.320]  又跟別人說兩句
[00:02:00.320 --> 00:02:01.840]  走到轉角
[00:02:01.840 --> 00:02:03.840]  見到螞蟻在一大堆
[00:02:03.840 --> 00:02:08.680]  他又蹲下來看、研究
[00:02:08.680 --> 00:02:09.760]  然後再走一走
[00:02:09.760 --> 00:02:12.160]  最浪費時間是甚麼呢?
