
[00:00:00.000 --> 00:00:02.680]  繼續歡迎大家收看歲月流程
[00:00:02.680 --> 00:00:06.280]  今集我們訪問的是陳康牧師
[00:00:06.280 --> 00:00:09.360]  上一集提到陳牧師在石崗長大
[00:00:09.360 --> 00:00:12.680]  因緣際會之下開始學琴
[00:00:12.680 --> 00:00:17.360]  進入了當時的浸會學院進修音樂
[00:00:17.360 --> 00:00:21.560]  夢想是有自己的私人琴室教琴
[00:00:21.560 --> 00:00:24.640]  最後這個夢想有沒有成真?
[00:00:24.640 --> 00:00:28.280]  有的,都好幾年之後
[00:00:28.280 --> 00:00:31.600]  其實當我在浸會畢業
[00:00:31.600 --> 00:00:35.880]  我自己覺得自己懂的東西實在太少
[00:00:35.880 --> 00:00:40.080]  如果要做一個全職教鋼琴的老師
[00:00:40.080 --> 00:00:44.800]  都應該要更加好裝備自己進修
[00:00:44.800 --> 00:00:47.960]  但沒有錢,怎樣呢?去哪裏讀書呢?
[00:00:47.960 --> 00:00:51.160]  很希望去美國讀書
[00:00:51.160 --> 00:00:56.160]  但沒有錢,所以第一件事就是出來教書
[00:00:56.160 --> 00:00:58.840]  我教了一年小學
[00:00:58.840 --> 00:01:04.040]  教小學當中儲了點錢
[00:01:04.040 --> 00:01:07.560]  終於有機會去美國讀書
[00:01:07.560 --> 00:01:11.480]  你在美國的生活又怎樣呢?
[00:01:11.480 --> 00:01:16.200]  美國的生活是完全改變了我
[00:01:16.200 --> 00:01:23.560]  對於將來我的侍奉和將來我的職業
[00:01:23.560 --> 00:01:27.080]  專業是怎樣呢? 在美國哪個地方呢?
[00:01:27.080 --> 00:01:29.000]  你聽過Kentucky嗎?
[00:01:29.000 --> 00:01:31.400]  是,肯塔基州
[00:01:31.400 --> 00:01:37.200]  當然了,Kentucky即是肯塔基州
[00:01:37.200 --> 00:01:46.080]  其實美國浸信會系列有六間神學院
[00:01:46.080 --> 00:01:48.920]  其中一間是Southern Baptist Theological Seminary
[00:01:48.920 --> 00:01:51.800]  即是南方神學院在Kentucky
[00:01:51.800 --> 00:01:54.120]  在一個地方叫Louisville
[00:01:54.120 --> 00:01:57.320]  一個城
[00:01:57.320 --> 00:02:03.240]  這間在當時六間神學院裏面的音樂系
[00:02:03.240 --> 00:02:06.200]  是六間裏面最強的一間
[00:02:06.200 --> 00:02:08.560]  我覺得是上帝恩典
[00:02:08.560 --> 00:02:10.080]  其實都不知道的,去到才知道
[00:02:10.080 --> 00:02:13.080]  原來是呀,即是這樣
[00:02:13.080 --> 00:02:14.640]  你只聽過鋼琴
[00:02:14.640 --> 00:02:17.200]  說起肯塔基州
[00:02:17.200 --> 00:02:19.760]  大家知道肯塔基州的白鬚
[00:02:19.760 --> 00:02:21.600]  那個上校
[00:02:21.600 --> 00:02:24.680]  他的墓地就在神學院旁邊的墳場
[00:02:24.680 --> 00:02:26.920]  我都去探過他
[00:02:26.920 --> 00:02:30.200]  真的有,有一張相
[00:02:30.200 --> 00:02:35.560]  說起我之前說這個美國之行
[00:02:35.560 --> 00:02:39.040]  這個美國學習是完全改變了我
[00:02:39.040 --> 00:02:41.720]  對於我的侍奉的怒怒
[00:02:41.720 --> 00:02:43.720]  如果之前我說
[00:02:43.720 --> 00:02:46.080]  我想做一個鋼琴老師
[00:02:46.080 --> 00:02:47.600]  學得好一點
[00:02:47.600 --> 00:02:52.440]  現在跟隨一個夢寐以求的老師
[00:02:52.440 --> 00:02:53.760]  在美國都很出名的
[00:02:53.760 --> 00:02:56.600]  一個老師學琴當然好
[00:02:56.600 --> 00:02:58.440]  但是正如我剛才所說
[00:02:58.440 --> 00:03:00.360]  這間是一間神學院
[00:03:00.360 --> 00:03:05.200]  所以他的課程不單止是一個音樂課程
[00:03:05.200 --> 00:03:07.280]  在我當時甚麼都不知道
[00:03:07.280 --> 00:03:09.280]  想著讀音樂就是音樂
[00:03:09.280 --> 00:03:11.600]  主修鋼琴就是這樣
[00:03:11.600 --> 00:03:15.000]  但原來他的課程是一個
[00:03:15.000 --> 00:03:17.640]  既是栽培你音樂上面
[00:03:17.640 --> 00:03:20.280]  但其實亦都有神學的課程
