
[00:00:00.000 --> 00:00:01.920]  病子妹主乃平安
[00:00:01.920 --> 00:00:04.560]  我們再一次同心禱告
[00:00:04.560 --> 00:00:09.300]  天父,我們真是好希望
[00:00:09.300 --> 00:00:12.980]  施人的提醒,透過施班的歌頌
[00:00:12.980 --> 00:00:15.020]  我們祈求主
[00:00:15.020 --> 00:00:17.460]  為我們做清潔的心
[00:00:17.460 --> 00:00:20.100]  使我們裏面有淨植的靈
[00:00:20.100 --> 00:00:23.140]  主,唯有我們有清潔式的心,淨植的靈
[00:00:23.140 --> 00:00:25.980]  我們才能夠去親近
[00:00:25.980 --> 00:00:28.800]  你這位聖潔的主
[00:00:29.320 --> 00:00:31.740]  主,因為祢不喜歡不義
[00:00:31.740 --> 00:00:33.640]  祢不喜歡罪
[00:00:33.640 --> 00:00:36.620]  求主為我們做清潔的心
[00:00:36.620 --> 00:00:40.400]  讓聖靈去感動我們,光照我們
[00:00:40.400 --> 00:00:42.740]  當我們打開說話
[00:00:42.740 --> 00:00:46.320]  是祢的說話,我們一同去研讀的時候
[00:00:46.320 --> 00:00:49.060]  求祢的亮光,祢的感動
[00:00:49.060 --> 00:00:50.560]  讓我們明白
[00:00:50.560 --> 00:00:53.800]  被提醒,被教導
[00:00:53.800 --> 00:00:57.380]  以上很高,奉主耶穌基督的聖名祈求
[00:00:57.380 --> 00:00:58.440]  阿們
[00:01:00.320 --> 00:01:02.320]  各位姐妹,今天
[00:01:02.320 --> 00:01:07.120]  文素記講道系列的經文
[00:01:07.120 --> 00:01:11.820]  我們今天來到文素記第三十四和第三十五章
[00:01:11.820 --> 00:01:17.740]  第三十四章,寄述到以色列人將要進到迦南
[00:01:17.740 --> 00:01:21.320]  在未進入到這個應許的土地之前
[00:01:21.320 --> 00:01:24.960]  耶和華就向他們宣告分地
[00:01:24.960 --> 00:01:26.960]  第三十四章第一節
[00:01:26.960 --> 00:01:28.960]  螢幕上的經文這樣說
[00:01:28.960 --> 00:01:31.760]  耶和華曉遇摩西說
[00:01:31.760 --> 00:01:34.120]  經文很清楚讓我們知道
[00:01:34.120 --> 00:01:37.120]  地的界限不是由以色列人
[00:01:37.120 --> 00:01:40.720]  不是由屬地的國度來斷定的
[00:01:40.720 --> 00:01:44.220]  而是由上帝親自為他們來決定
[00:01:44.220 --> 00:01:48.720]  經文首先描述這個四面的界限
[00:01:48.720 --> 00:01:50.720]  然後由南面開始講起
[00:01:50.720 --> 00:01:54.520]  然後順時針的方向向西、向北、向東
[00:01:54.520 --> 00:01:58.020]  依次講述每個方向的地界
[00:01:58.520 --> 00:02:03.520]  或者我們可以從螢幕上的地圖和藥料看得到
[00:02:03.520 --> 00:02:06.520]  我相信地圖你也會看得到
[00:02:06.520 --> 00:02:09.520]  分了三個不同的邊界
[00:02:09.520 --> 00:02:12.520]  一個是真實的邊界,一個是應許的邊界
[00:02:12.520 --> 00:02:14.520]  一個是推測的邊界
[00:02:14.520 --> 00:02:18.520]  真實的邊界就是那個好像有陰影的部分
[00:02:18.520 --> 00:02:20.520]  就是當時的邊界
[00:02:20.520 --> 00:02:22.520]  然後應許就是在經文裡面
[00:02:22.520 --> 00:02:25.520]  上帝應許他們將要得到的邊界
[00:02:25.520 --> 00:02:27.520]  而推測的邊界
[00:02:27.520 --> 00:02:29.520]  在經文裡面就算直到今天
[00:02:29.520 --> 00:02:34.520]  更多的聖經學者都沒有辦法去肯定
[00:02:34.520 --> 00:02:37.520]  在經文裡面所講的誠邑的位置在哪裡
[00:02:37.520 --> 00:02:41.520]  所以大約去推測到那些虛線的位置
[00:02:41.520 --> 00:02:44.520]  就是那些推測的邊界
[00:02:44.520 --> 00:02:48.520]  今天我們主要不是集中在這個地圖那裡
[00:02:48.520 --> 00:02:52.520]  但是在這裡給我們看到當地的界限確定了之後
[00:02:52.520 --> 00:02:56.520]  接著就處理分地的問題
[00:02:56.520 --> 00:03:00.520]  我們需要集中哪一個地分給哪一個支派
[00:03:00.520 --> 00:03:03.520]  或者我們一起讀第34章13到15節
[00:03:03.520 --> 00:03:06.520]  在螢幕上面的經文,請
[00:03:06.520 --> 00:03:09.520]  這地則是耶和華人分父占寇
[00:03:09.520 --> 00:03:13.520]  及九個半支派盛壽為業的
[00:03:13.520 --> 00:03:16.520]  因為劉變支派和嘉德支派
[00:03:16.520 --> 00:03:20.520]  按著宗族受了產業
[00:03:20.520 --> 00:03:24.520]  馬拿西半個支派也受了產業
[00:03:24.520 --> 00:03:28.520]  這兩個半支派已經在耶利哥對面
[00:03:28.520 --> 00:03:33.520]  約旦河東向日出之地受了產業
[00:03:33.520 --> 00:03:37.520]  我們今天已經接近文訴記的尾聲
[00:03:37.520 --> 00:03:40.520]  過去講壇用了幾個月的時間
[00:03:40.520 --> 00:03:43.520]  去看到整卷的文訴記
[00:03:43.520 --> 00:03:46.520]  過去那33章經文如果你還記得
[00:03:46.520 --> 00:03:52.520]  記述了以色列人離開了秘魯被囚的埃及地
[00:03:52.520 --> 00:03:56.520]  向著英許之地,迦南之地進發
[00:03:56.520 --> 00:03:59.520]  33章的經文去描述到
[00:03:59.520 --> 00:04:03.520]  去記載到整個行程裏面所發生的事情
[00:04:03.520 --> 00:04:07.520]  如果你還記得,亦都講下裏面多次去講到
[00:04:07.520 --> 00:04:11.520]  以色列人在當中犯罪,失信於神
[00:04:11.520 --> 00:04:15.520]  他們埋怨,他們叛逆
[00:04:15.520 --> 00:04:20.520]  但是將進入英許之地
[00:04:20.520 --> 00:04:26.520]  滿有一臉的上帝,沒有因此離開他們
[00:04:26.520 --> 00:04:30.520]  相反的,上帝按照他們的心意
[00:04:30.520 --> 00:04:33.520]  去為他們畫出了理想的一個情況
