
[00:00:00.000 --> 00:00:02.000]  好 大英姊妹平安
[00:00:02.000 --> 00:00:04.000]  那麼今天繼續
[00:00:04.000 --> 00:00:06.000]  我們來到思想像福音的時候
[00:00:06.000 --> 00:00:08.000]  我們今天就去到這一章
[00:00:08.000 --> 00:00:09.000]  就剛才都讀過了
[00:00:09.000 --> 00:00:11.000]  就是講到主耶穌基督
[00:00:11.000 --> 00:00:13.000]  受審的一個過程
[00:00:13.000 --> 00:00:15.000]  我們先低頭祈禱
[00:00:15.000 --> 00:00:17.000]  天父啊願你的說話
[00:00:17.000 --> 00:00:19.000]  再一次的跟我們
[00:00:19.000 --> 00:00:21.000]  來到全港
[00:00:21.000 --> 00:00:23.000]  讓我們聽到你的說話的時候
[00:00:23.000 --> 00:00:25.000]  我們的心靈的耳朵被打開
[00:00:25.000 --> 00:00:27.000]  我們聽見你的聲音
[00:00:27.000 --> 00:00:30.000]  也知道我們要回應和跟從
[00:00:30.000 --> 00:00:32.000]  願你的靈我們中間工作
[00:00:32.000 --> 00:00:34.000]  奉日祝基督的名祈求
[00:00:34.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:38.000]  好了 那麼今天呢
[00:00:38.000 --> 00:00:39.000]  就剛才都講過了
[00:00:39.000 --> 00:00:41.000]  就是這段講到主耶穌
[00:00:41.000 --> 00:00:43.000]  被審的一個過程
[00:00:43.000 --> 00:00:45.000]  然後呢就結局
[00:00:45.000 --> 00:00:47.000]  大家都知道的了
[00:00:47.000 --> 00:00:50.000]  其實就是耶穌被審判的結果
[00:00:50.000 --> 00:00:52.000]  就是他被釘在十字架
[00:00:52.000 --> 00:00:54.000]  那麼究竟他被釘在十字架之前
[00:00:54.000 --> 00:00:56.000]  究竟他的審訊的過程是怎樣的呢
[00:00:56.000 --> 00:01:00.000]  上一次就講到
[00:01:00.000 --> 00:01:02.000]  由大去
[00:01:02.000 --> 00:01:04.000]  已經帶了一些人去捉拿耶穌
[00:01:04.000 --> 00:01:06.000]  耶穌自己也是
[00:01:06.000 --> 00:01:08.000]  被祭司長先審了一輪的
[00:01:08.000 --> 00:01:10.000]  祭司長審完之後呢
[00:01:10.000 --> 00:01:12.000]  其實他們得出的結論
[00:01:12.000 --> 00:01:14.000]  祭司長其實
[00:01:14.000 --> 00:01:16.000]  沒有什麼實際結論
[00:01:16.000 --> 00:01:18.000]  耶穌有什麼罪
[00:01:18.000 --> 00:01:20.000]  但是整體而言
[00:01:20.000 --> 00:01:22.000]  耶穌有沒有罪不重要
[00:01:22.000 --> 00:01:24.000]  但是他們要剷除耶穌
[00:01:24.000 --> 00:01:26.000]  就已經是一個決定
[00:01:26.000 --> 00:01:28.000]  所以最後呢
[00:01:28.000 --> 00:01:30.000]  他們就決定要剷除耶穌
[00:01:30.000 --> 00:01:32.000]  就把耶穌帶到比拉多面前
[00:01:32.000 --> 00:01:34.000]  比拉多就是
[00:01:34.000 --> 00:01:36.000]  羅馬當時的一個
[00:01:36.000 --> 00:01:38.000]  在猶太地方的
[00:01:38.000 --> 00:01:40.000]  當時的總督
[00:01:40.000 --> 00:01:42.000]  如果你想像
[00:01:42.000 --> 00:01:44.000]  有點像一個殖民地的
[00:01:44.000 --> 00:01:46.000]  總代管的總督
[00:01:46.000 --> 00:01:48.000]  因為羅馬人
[00:01:48.000 --> 00:01:50.000]  基本上就是
[00:01:50.000 --> 00:01:52.000]  主耶穌
[00:01:52.000 --> 00:01:54.000]  基本上就是
[00:01:54.000 --> 00:01:56.000]  當時的以色列人的地方
[00:01:56.000 --> 00:01:58.000]  是被羅馬人來統治的
[00:01:58.000 --> 00:02:00.000]  好像一個殖民地那樣
[00:02:00.000 --> 00:02:02.000]  比拉多就是當時的總督
[00:02:02.000 --> 00:02:04.000]  因為要殺人的時候
[00:02:04.000 --> 00:02:06.000]  要判罪犯死刑
[00:02:06.000 --> 00:02:08.000]  一定要總督
[00:02:08.000 --> 00:02:10.000]  去批殺人
[00:02:10.000 --> 00:02:12.000]  猶太人他們自己
[00:02:12.000 --> 00:02:14.000]  是不可以的
[00:02:14.000 --> 00:02:16.000]  所以其實他們將
[00:02:16.000 --> 00:02:18.000]  耶穌要帶到比拉多面前
