
[00:00:00.000 --> 00:00:01.600]  七章那麼長的經文
[00:00:01.600 --> 00:00:04.800]  我們開始先從第一章第一節
[00:00:04.800 --> 00:00:07.100]  第一個字開始
[00:00:07.100 --> 00:00:09.400]  遵從希伯來原文
[00:00:09.400 --> 00:00:14.400]  利未記傳卷書第一個字
[00:00:14.400 --> 00:00:17.000]  是呼叫這個字
[00:00:17.000 --> 00:00:22.000]  是神從會幕當中呼叫摩西對他說話
[00:00:22.000 --> 00:00:27.000]  呼叫這個字在利未記裡也一再一再出現
[00:00:27.000 --> 00:00:31.000]  所以按照希伯來聖經的傳統
[00:00:31.000 --> 00:00:36.000]  其實利未記這個書名可能未必是很準確
[00:00:36.000 --> 00:00:39.000]  更加準確希伯來聖經的傳統
[00:00:39.000 --> 00:00:45.000]  其實利未記的書名就叫做他呼叫
[00:00:45.000 --> 00:00:49.000]  神在呼叫
[00:00:49.000 --> 00:00:51.000]  然而神在這本書
[00:00:51.000 --> 00:00:55.000]  神在利未記裡面呼叫誰呢
[00:00:55.000 --> 00:00:57.000]  呼叫摩西
[00:00:57.000 --> 00:00:59.000]  這裡說的是摩西
[00:00:59.000 --> 00:01:00.000]  但其實不是
[00:01:00.000 --> 00:01:02.000]  因為摩西在這本書第一章裡
[00:01:02.000 --> 00:01:05.000]  讓我們看到他只是一個傳話的使者
[00:01:05.000 --> 00:01:08.000]  那呼叫誰呢
[00:01:08.000 --> 00:01:12.000]  利未記是否呼叫利未人呢
[00:01:12.000 --> 00:01:14.000]  如果我們看過利未記
[00:01:14.000 --> 00:01:16.000]  我們知道利未記裡面
[00:01:16.000 --> 00:01:21.000]  只是說利未人的經文其實不是很多
[00:01:21.000 --> 00:01:25.000]  所以也不是呼叫利未人
[00:01:25.000 --> 00:01:30.000]  神在利未記呼叫的是呼叫以色列人
[00:01:30.000 --> 00:01:32.000]  呼叫屬他的子民
[00:01:32.000 --> 00:01:34.000]  要用他們的信仰
[00:01:34.000 --> 00:01:38.000]  用他們個人的生命去回應神的請求
[00:01:38.000 --> 00:01:40.000]  就好像我們八月份開始
[00:01:40.000 --> 00:01:45.000]  八月份說過一個崇拜禮敘的信息
[00:01:45.000 --> 00:01:48.000]  說崇拜原來不單只是崇拜
[00:01:48.000 --> 00:01:50.000]  是由宣召出發
[00:01:50.000 --> 00:01:52.000]  是由神的話語
[00:01:52.000 --> 00:01:54.000]  自己的說話去開始崇拜
[00:01:54.000 --> 00:01:56.000]  去啟動崇拜
[00:01:56.000 --> 00:01:57.000]  不單止如此
[00:01:57.000 --> 00:02:00.000]  利未記所說的是我們整個人的生命
[00:02:00.000 --> 00:02:05.000]  都是從神對我們的呼叫開始
[00:02:05.000 --> 00:02:07.000]  甚至我們八月份開始
[00:02:07.000 --> 00:02:10.000]  這個生命成長系列的正道
[00:02:10.000 --> 00:02:12.000]  究竟為什麼我們生命要成長呢
[00:02:12.000 --> 00:02:16.000]  究竟為什麼我們要和神建立關係呢
[00:02:16.000 --> 00:02:20.000]  原來一切都是源自於神對我們的呼叫
[00:02:20.000 --> 00:02:25.000]  是神對我們的渴求和期望
[00:02:25.000 --> 00:02:27.000]  神呼叫以色列人
[00:02:27.000 --> 00:02:32.000]  第一樣回應他請求的行動是什麼呢
[00:02:32.000 --> 00:02:35.000]  我們剛剛讀完利未記第一章
[00:02:35.000 --> 00:02:39.000]  第一章是說什麼的呢
[00:02:39.000 --> 00:02:41.000]  獻祭
[00:02:41.000 --> 00:02:43.000]  獻什麼祭啊?
[00:02:43.000 --> 00:02:48.000]  獻祭就是當時的以色列人
[00:02:48.000 --> 00:02:52.000]  在行動上表達對神請求的回應
[00:02:52.000 --> 00:02:56.000]  藉著獻上一些祭物表達自己的心意
[00:02:56.000 --> 00:02:58.000]  表達自己的感恩
[00:02:58.000 --> 00:03:00.000]  並且用獻祭這個行動
[00:03:00.000 --> 00:03:02.000]  建立和神的關係
[00:03:02.000 --> 00:03:04.000]  靠近這位神
[00:03:04.000 --> 00:03:08.000]  丁子妹,親愛的朋友
[00:03:08.000 --> 00:03:11.000]  今天我們沒有獻祭
[00:03:11.000 --> 00:03:15.000]  今天我們有沒有獻祭?
[00:03:15.000 --> 00:03:18.000]  不知道有沒有獻祭
[00:03:18.000 --> 00:03:19.000]  有沒有獻祭?
[00:03:19.000 --> 00:03:25.000]  你有沒有獻祭?
[00:03:25.000 --> 00:03:28.000]  不知道有沒有獻祭
[00:03:28.000 --> 00:03:31.000]  我相信我們都有獻祭
[00:03:31.000 --> 00:03:33.000]  我們未必像昔日那樣
[00:03:33.000 --> 00:03:35.000]  燒些牛燒些羊
[00:03:35.000 --> 00:03:37.000]  但是我們有奉獻的
[00:03:37.000 --> 00:03:38.000]  我們有參與崇拜
[00:03:38.000 --> 00:03:40.000]  我們唱詩讚美
[00:03:40.000 --> 00:03:43.000]  我們個人的靈修生活
[00:03:43.000 --> 00:03:46.000]  這些都是我們放上的時間
[00:03:46.000 --> 00:03:50.000]  放上我們的資源和神的建立關係
[00:03:50.000 --> 00:03:53.000]  我們回到利美記一章
[00:03:53.000 --> 00:03:56.000]  就看到整章的經文
[00:03:56.000 --> 00:03:58.000]  讓我們看到很多的條例
[00:03:58.000 --> 00:03:59.000]  我們剛才讀的時候
[00:03:59.000 --> 00:04:01.000]  要怎樣做
[00:04:01.000 --> 00:04:03.000]  是在教導以色列人
[00:04:03.000 --> 00:04:06.000]  獻繁祭的時候怎樣獻
[00:04:06.000 --> 00:04:09.000]  並且在第一章的經文
[00:04:09.000 --> 00:04:13.000]  我們可以大約分為三個段落
[00:04:13.000 --> 00:04:18.000]  我們可以看到繁祭大致分為三大類
[00:04:18.000 --> 00:04:21.000]  第三至九節是說怎樣獻牛的繁祭
[00:04:21.000 --> 00:04:26.000]  第十至十三節是說怎樣獻綿羊或山羊的繁祭
[00:04:26.000 --> 00:04:31.000]  十四至十七節是怎樣獻鳥類的繁祭
[00:04:31.000 --> 00:04:35.000]  為什麼要設立三類的繁祭
[00:04:35.000 --> 00:04:38.000]  其實很直觀的
[00:04:38.000 --> 00:04:43.000]  牛、羊、鳥類
[00:04:43.000 --> 00:04:48.000]  當時在社會有不同的經濟價值
[00:04:48.000 --> 00:04:50.000]  有些貴些有些便宜些
[00:04:50.000 --> 00:04:54.000]  所以三類的繁祭其實是讓當時社會上
[00:04:54.000 --> 00:04:56.000]  不同身份地位的人
[00:04:56.000 --> 00:04:58.000]  可能你的身份較高
[00:04:58.000 --> 00:04:59.000]  是祭司的
[00:04:59.000 --> 00:05:01.000]  有錢些的就獻牛
[00:05:01.000 --> 00:05:05.000]  如果當時身份比較普通
[00:05:05.000 --> 00:05:08.000]  可能你只是一個平常達成
[00:05:08.000 --> 00:05:10.000]  或者有些作為領袖的
[00:05:10.000 --> 00:05:12.000]  你就獻羊
[00:05:12.000 --> 00:05:17.000]  獻鳥類的就是那些比經濟能力較低的窮人
[00:05:17.000 --> 00:05:20.000]  雖然他們能夠承擔的不多
[00:05:20.000 --> 00:05:24.000]  但是他們也可以藉著獻比較便宜的鳥類
[00:05:24.000 --> 00:05:28.000]  去欠祭親近神
[00:05:28.000 --> 00:05:31.000]  所以我想李美記讓我們看到
[00:05:31.000 --> 00:05:34.000]  神父叫渴望人來就近
[00:05:34.000 --> 00:05:36.000]  和和他建立關係
[00:05:36.000 --> 00:05:41.000]  更加不是哪些人才可以做
[00:05:41.000 --> 00:05:44.000]  而是整個社會不同階層的人
[00:05:44.000 --> 00:05:46.000]  神都渴望他們去獻祭
