
[00:00:00.000 --> 00:00:04.000]  今天很高興跟大家去分享訊息
[00:00:04.000 --> 00:00:08.000]  今個月是成年月
[00:00:08.000 --> 00:00:13.000]  不知大家有沒有留意到禮堂出面的成年月的剪版
[00:00:13.000 --> 00:00:16.000]  剛才有拍了照片給大家看
[00:00:16.000 --> 00:00:18.000]  圍兔不多不要緊
[00:00:18.000 --> 00:00:21.000]  一會兒圓了很多時間我們去拍照
[00:00:21.000 --> 00:00:26.000]  我想這幅畫當中最觸目我們的地方
[00:00:26.000 --> 00:00:31.000]  就是圖中一棵雪葬成長的大樹
[00:00:31.000 --> 00:00:36.000]  如果這棵樹真正存在的話
[00:00:36.000 --> 00:00:40.000]  我相信它一定是一棵百年老樹
[00:00:40.000 --> 00:00:45.000]  而且在山上經過空虛雨打
[00:00:45.000 --> 00:00:47.000]  而不會倒塌的大樹
[00:00:47.000 --> 00:00:50.000]  其實在現實世界裡
[00:00:50.000 --> 00:00:53.000]  也有很多很長壽的田地
[00:00:54.000 --> 00:00:57.000]  例如這棵位於美國加州
[00:00:57.000 --> 00:01:00.000]  懷特山脈裡面的大樹地
[00:01:00.000 --> 00:01:01.000]  霧體蟲
[00:01:01.000 --> 00:01:06.000]  距離這棵樹已經有五千多年歷史
[00:01:06.000 --> 00:01:09.000]  我不知道大家會不會好奇一問
[00:01:09.000 --> 00:01:11.000]  心裡面會不會問
[00:01:11.000 --> 00:01:14.000]  究竟這棵樹為什麼可以這麼長壽呢
[00:01:14.000 --> 00:01:20.000]  原來樹木的細胞和人類的細胞是很不同的
[00:01:20.000 --> 00:01:22.000]  大部分的食物的細胞
[00:01:22.000 --> 00:01:26.000]  原來都是永遠處於一個灰胎的狀態
[00:01:26.000 --> 00:01:30.000]  並且代表著他們能夠在生命的過程中
[00:01:30.000 --> 00:01:34.000]  保持在原則體內邊的循環相同
[00:01:34.000 --> 00:01:36.000]  即是他們沒有虛弱力
[00:01:36.000 --> 00:01:41.000]  這些細胞不單止讓他們成為一個
[00:01:41.000 --> 00:01:43.000]  可以屬於虛弱的存在
[00:01:43.000 --> 00:01:46.000]  更可以讓他們轉變成另一種細胞
[00:01:46.000 --> 00:01:51.000]  可以修復和補充在樹木上形成的存在
[00:01:53.000 --> 00:01:55.000]  不過我們都以他們的所知
[00:01:55.000 --> 00:02:01.000]  應該就算是每一棵樹都可以生長進去
[00:02:01.000 --> 00:02:04.000]  可以永遠不會去衰退
[00:02:04.000 --> 00:02:08.000]  因為原來地球上的物理性的特質
[00:02:08.000 --> 00:02:11.000]  和樹木老生機械的結構
[00:02:11.000 --> 00:02:13.000]  原來都會限制他們的成長
[00:02:13.000 --> 00:02:15.000]  例如是什麼呢
[00:02:15.000 --> 00:02:17.000]  例如是統力的影響
[00:02:17.000 --> 00:02:20.000]  當樹木長到差不多的高度
[00:02:20.000 --> 00:02:22.000]  他們原來很難從生物裏面
[00:02:22.000 --> 00:02:24.000]  將縮小的體質輸送到種子裏面
[00:02:24.000 --> 00:02:28.000]  以致他們不能夠有縮小的光學實力
[00:02:28.000 --> 00:02:34.000]  最終每一棵樹都可以非常之詳細
[00:02:34.000 --> 00:02:35.000]  接受成長
[00:02:35.000 --> 00:02:39.000]  其實聖經裏面都很喜歡用食物
[00:02:39.000 --> 00:02:42.000]  去形容經濟圖的形象
[00:02:42.000 --> 00:02:44.000]  例如我們很熟悉的
[00:02:44.000 --> 00:02:46.000]  「天天第一天三節」
