
[00:00:00.000 --> 00:00:02.540]  各位弟兄姐妹朋友早安
[00:00:02.540 --> 00:00:06.300]  我其實我今年一年第一個主日都講了什麼
[00:00:06.300 --> 00:00:08.300]  講了一年了
[00:00:08.300 --> 00:00:12.580]  同心合一 興旺福音
[00:00:12.580 --> 00:00:14.380]  我講了一年了
[00:00:14.380 --> 00:00:17.080]  所以今天也不例外 第一個主日
[00:00:17.080 --> 00:00:21.720]  我要講這個聖靈的福音的工作
[00:00:21.720 --> 00:00:23.720]  那我請問各位
[00:00:23.720 --> 00:00:25.720]  聖靈會傳福音嗎
[00:00:31.000 --> 00:00:33.000]  聖靈不會
[00:00:33.000 --> 00:00:35.000]  很可惜 不然
[00:00:35.000 --> 00:00:37.000]  一下就傳遍了
[00:00:37.000 --> 00:00:39.000]  天使會傳福音嗎
[00:00:39.000 --> 00:00:41.000]  天使也不會
[00:00:41.000 --> 00:00:46.000]  甚至於我們這個
[00:00:46.000 --> 00:00:48.000]  常常在寶座前
[00:00:48.000 --> 00:00:50.000]  或者是在約櫃前
[00:00:50.000 --> 00:00:52.000]  或者在聖殿裡面所謂的
[00:00:52.000 --> 00:00:55.000]  基督伯 所謂的薩拉佛
[00:00:55.000 --> 00:00:57.000]  都不會傳福音
[00:00:57.000 --> 00:00:59.000]  只有誰會傳福音啊
[00:01:00.000 --> 00:01:02.000]  人
[00:01:02.000 --> 00:01:04.000]  只有我們會傳福音
[00:01:04.000 --> 00:01:06.000]  但是
[00:01:06.000 --> 00:01:10.000]  神為什麼要讓我們這個無知的人
[00:01:10.000 --> 00:01:12.000]  來傳福音呢
[00:01:12.000 --> 00:01:14.000]  你們覺得
[00:01:14.000 --> 00:01:22.000]  是的 因為我們講人話
[00:01:22.000 --> 00:01:24.000]  是不是
[00:01:24.000 --> 00:01:26.000]  尤其是我們知道
[00:01:26.000 --> 00:01:28.000]  人間的苦難
[00:01:28.000 --> 00:01:30.000]  我們也知道
[00:01:30.000 --> 00:01:33.000]  神賜福於我們人間的喜樂
[00:01:33.000 --> 00:01:36.000]  所以有人說為什麼耶穌要來到世間
[00:01:36.000 --> 00:01:39.000]  因為祂要經歷一趟
[00:01:39.000 --> 00:01:41.000]  人間的苦難
[00:01:41.000 --> 00:01:43.000]  然後祂知道
[00:01:43.000 --> 00:01:45.000]  當祂審判的時候
[00:01:45.000 --> 00:01:47.000]  是完全公義
[00:01:47.000 --> 00:01:49.000]  祂知道我們每一個人
[00:01:49.000 --> 00:01:52.000]  都是死在罪孽過犯中的人
[00:01:52.000 --> 00:01:56.000]  但是當我們願意回轉歸向神的時候
[00:01:56.000 --> 00:01:59.000]  我們再一次就得救了
[00:01:59.000 --> 00:02:01.000]  那麼聖靈來
[00:02:01.000 --> 00:02:04.000]  祂就是要來幫助我們的
[00:02:04.000 --> 00:02:07.000]  那麼今天我要跟各位分享有四方面
[00:02:07.000 --> 00:02:10.000]  第一個是
[00:02:10.000 --> 00:02:14.000]  我們如何能夠讓聖靈上身
[00:02:14.000 --> 00:02:17.000]  就是說如何能夠充滿聖靈
[00:02:17.000 --> 00:02:19.000]  或者是滿有聖靈
