
[00:00:00.000 --> 00:00:02.000]  當來到教會的時候
[00:00:02.000 --> 00:00:05.000]  很感受到聖誕節那種氣氛
[00:00:05.000 --> 00:00:07.000]  大家那種雀躍
[00:00:07.000 --> 00:00:11.000]  都忘記了我們要安靜地去預備朝見我們的上帝
[00:00:11.000 --> 00:00:14.000]  不過在這個生日的崇拜當中
[00:00:14.000 --> 00:00:17.000]  我相信上帝都會預納我們那份雀躍的心
[00:00:17.000 --> 00:00:19.000]  今早大家很早睡
[00:00:19.000 --> 00:00:22.000]  但大家會不會帶著很精神的心
[00:00:22.000 --> 00:00:26.000]  來到我們的主生日崇拜的裡面呢?
[00:00:26.000 --> 00:00:28.000]  今天是聖誕節
[00:00:28.000 --> 00:00:30.000]  我知道在香港裡面
[00:00:30.000 --> 00:00:32.000]  都有一些所謂什麼誕
[00:00:32.000 --> 00:00:34.000]  某些東西的誕
[00:00:34.000 --> 00:00:37.000]  但是如果論到那個普世性
[00:00:37.000 --> 00:00:39.000]  我相信大家都會認為
[00:00:39.000 --> 00:00:43.000]  那些的誕都沒辦法和聖誕節來相比
[00:00:43.000 --> 00:00:45.000]  因為
[00:00:45.000 --> 00:00:47.000]  節的主角主耶穌
[00:00:47.000 --> 00:00:51.000]  不是只不過是一個普通的偉人
[00:00:51.000 --> 00:00:54.000]  甚至不是一個聖人那麼簡單
[00:00:54.000 --> 00:00:56.000]  祂的降生
[00:00:56.000 --> 00:00:58.000]  沒錯,可能不及得
[00:00:58.000 --> 00:01:01.000]  英國皇室第三繼承人出世
[00:01:01.000 --> 00:01:03.000]  那麼萬人空巷
[00:01:03.000 --> 00:01:05.000]  全門圍觀
[00:01:05.000 --> 00:01:08.000]  但是祂的降生絕對不輸蝕
[00:01:08.000 --> 00:01:13.000]  有天使、天君讚美耶穌基督的降生
[00:01:13.000 --> 00:01:17.000]  耶穌的降生也不是偶然的
[00:01:17.000 --> 00:01:20.000]  早在主前第八世紀的時候
[00:01:20.000 --> 00:01:22.000]  先知爾卓亞已經預告
[00:01:22.000 --> 00:01:25.000]  耶穌基督這個人類的救主的降生
[00:01:25.000 --> 00:01:27.000]  經文這樣說,大家可以看螢幕
