
[00:00:00.000 --> 00:00:01.020]  各位 你們好
[00:00:01.020 --> 00:00:04.040]  今晚我們又開始來查考聖經
[00:00:04.040 --> 00:00:07.180]  在過去的日子裡我們就查考聖靈果子
[00:00:07.180 --> 00:00:09.260]  我們看到神的屬性是怎樣
[00:00:09.260 --> 00:00:13.740]  我們又怎樣去實踐神期望我們應有的特性
[00:00:13.740 --> 00:00:16.520]  已經放上了YouTube那裡
[00:00:16.520 --> 00:00:20.580]  今晚開始我們又會查《彼得前書》
[00:00:20.580 --> 00:00:26.540]  《彼得前書》就是耶穌的首席門徒彼得所寫的
[00:00:26.540 --> 00:00:30.880]  有些人就質疑彼得不是很厲害
[00:00:30.880 --> 00:00:32.580]  只是一個打魚佬而已
[00:00:32.580 --> 00:00:35.840]  他沒有學問怎麼會寫到這本書呢
[00:00:35.840 --> 00:00:38.140]  其實我們很清楚知道
[00:00:38.140 --> 00:00:40.060]  神要用一個人的時候
[00:00:40.060 --> 00:00:41.880]  他就會給力量一個人的了
[00:00:41.880 --> 00:00:46.080]  而彼得前書寫作的時間大概是什麼時候呢
[00:00:46.080 --> 00:00:49.420]  大概公元64年左右
[00:00:49.420 --> 00:00:52.200]  當時那個皇帝是誰呢
[00:00:52.200 --> 00:00:54.840]  當時的皇帝就是尼祿王
[00:00:54.840 --> 00:00:58.900]  我曾經介紹過一套電影叫《暴君焚城錄》
[00:00:58.900 --> 00:01:01.140]  這套電影是值得去看的
[00:01:01.140 --> 00:01:06.300]  說到尼祿王放火燒羅馬城
[00:01:06.300 --> 00:01:08.060]  因為他想重建
[00:01:08.060 --> 00:01:10.860]  但是當時議會就反對
[00:01:10.860 --> 00:01:13.320]  於是他就有辦法了
[00:01:13.320 --> 00:01:15.200]  燒了它就要重建
[00:01:15.200 --> 00:01:19.440]  誰知道火控制不了燒得很厲害
[00:01:19.440 --> 00:01:21.320]  就賴了那幫基督徒
[00:01:21.320 --> 00:01:24.120]  結果很多基督徒就被殺
[00:01:24.120 --> 00:01:26.920]  就是彼得寫這本書的時候
[00:01:26.920 --> 00:01:30.680]  其實很多人就已經走了
[00:01:30.680 --> 00:01:32.580]  不敢住在羅馬裡面
[00:01:32.580 --> 00:01:36.400]  就去了彼得寫這本書給五個地方的
[00:01:36.400 --> 00:01:40.840]  就是本都、加拉泰、加伯多加
[00:01:40.840 --> 00:01:44.180]  亞西亞和比推尼
[00:01:44.180 --> 00:01:48.860]  這些地方大部分都在現在土耳其那個地方裡面
[00:01:48.860 --> 00:01:52.540]  加伯多加這個地方
[00:01:52.540 --> 00:01:54.660]  我們下一年四月的時候
[00:01:54.660 --> 00:01:56.680]  就會特別去這個地方
[00:01:56.680 --> 00:02:01.160]  加伯多加裡面就有很多山洞裡面
[00:02:01.160 --> 00:02:04.020]  那些教堂、那些住屋
[00:02:04.020 --> 00:02:05.800]  因為他們要逃避追殺
[00:02:05.800 --> 00:02:08.740]  就是說其實基督徒面對著苦難
[00:02:08.740 --> 00:02:12.100]  但是怎麼去面對這些苦難
[00:02:12.100 --> 00:02:13.580]  怎麼面對這些迫迫呢?
[00:02:13.580 --> 00:02:17.060]  於是彼得就寫信給這幫人
[00:02:17.060 --> 00:02:20.460]  我們就會先來看
[00:02:20.460 --> 00:02:25.120]  彼得前書裡面一開始就會說到救恩
[00:02:25.120 --> 00:02:27.700]  以前我們不是塞在罪圖裡面
[00:02:27.700 --> 00:02:28.920]  但是神拯救我們
[00:02:28.920 --> 00:02:32.520]  我想今天在我們當中參與這個茶經
[00:02:32.520 --> 00:02:34.260]  基本都是基督徒
[00:02:34.260 --> 00:02:36.980]  我們都會知道耶穌基督拯救我們
[00:02:36.980 --> 00:02:39.280]  但是究竟在這個救贖裡面
