
[00:00:00.000 --> 00:00:05.080]  1999年加拿大一位牧師Barry Adams
[00:00:05.080 --> 00:00:13.840]  將聖經裏關於天父的愛的經文輯錄
[00:00:13.840 --> 00:00:18.400]  以投影片的方式製作成短片
[00:00:18.400 --> 00:00:20.720]  在他講道時播放
[00:00:20.720 --> 00:00:24.440]  後來這段短片流傳在網上
[00:00:24.440 --> 00:00:26.920]  大獲好評
[00:00:26.920 --> 00:00:31.200]  至今已譯成111種文字
[00:00:31.200 --> 00:00:33.600]  當中包括中文
[00:00:33.600 --> 00:00:36.280]  我現在讀出其中一段
[00:00:36.280 --> 00:00:40.800]  我的孩子
[00:00:40.800 --> 00:00:42.600]  你或許不認識我
[00:00:42.600 --> 00:00:44.600]  我卻認識你的一切
[00:00:44.600 --> 00:00:47.360]  你坐下 你起來 我都曉得
[00:00:47.360 --> 00:00:49.960]  我也深知你一切所行的
[00:00:49.960 --> 00:00:53.440]  就是你的頭髮也都被數過了
[00:00:53.440 --> 00:00:56.960]  你是照著我的形象所做的
[00:00:56.960 --> 00:01:01.160]  你生活 動作 存留都在乎我
[00:01:01.160 --> 00:01:03.240]  你也是我所生的
[00:01:03.240 --> 00:01:06.440]  甚至在你尚未成形以先
[00:01:06.440 --> 00:01:08.040]  我已曉得你
[00:01:08.040 --> 00:01:10.120]  在創立世界之前
[00:01:10.120 --> 00:01:12.320]  我已揀選了你
[00:01:22.040 --> 00:01:23.640]  你不是個錯誤
[00:01:23.640 --> 00:01:27.040]  你所有的年日都寫在我的冊上
[00:01:27.040 --> 00:01:30.600]  我定準你的年歲和所住的疆界
[00:01:30.600 --> 00:01:34.200]  你的受造是極其奇妙可畏
[00:01:34.200 --> 00:01:36.720]  我在你母腹中塑造你
[00:01:36.720 --> 00:01:40.320]  令你由母腹中出來
[00:01:40.320 --> 00:01:43.720]  我被不認識我的人所誤傳
[00:01:43.720 --> 00:01:46.320]  我並非冷漠而憤怒的
[00:01:46.320 --> 00:01:48.440]  乃是完全的愛
[00:01:48.440 --> 00:01:51.320]  我願在你身上揮霍我的愛
[00:01:51.320 --> 00:01:53.680]  只因為你是我的孩子
[00:01:53.680 --> 00:01:55.680]  我是你的父親
[00:01:55.680 --> 00:01:57.120]  我能給予你的
[00:01:57.120 --> 00:02:00.920]  遠超過地上的父親所能給予你的
[00:02:00.920 --> 00:02:05.960]  因為我是完全的父
[00:02:05.960 --> 00:02:07.960]  這封情書的內容
[00:02:07.960 --> 00:02:10.520]  都是來自《新舊約》
[00:02:10.520 --> 00:02:11.800]  《新舊約聖經》
[00:02:11.800 --> 00:02:14.600]  全部都是神的話
[00:02:14.600 --> 00:02:16.400]  在當中我們可以看到
[00:02:16.400 --> 00:02:18.640]  這位創造天地的神
[00:02:18.640 --> 00:02:22.840]  祂對我們的愛多麼無微不至
[00:02:22.840 --> 00:02:25.240]  所以被稱為天父的情書
[00:02:25.240 --> 00:02:27.320]  可以說是實至名歸
[00:02:27.320 --> 00:02:31.520]  今天我的講題都是天父的情書
[00:02:31.520 --> 00:02:34.800]  我所講的內容是《啟示錄》第二章
[00:02:34.800 --> 00:02:38.200]  雖然沒有這封情書那麼溫馨
[00:02:38.200 --> 00:02:39.440]  那麼甜蜜
[00:02:39.440 --> 00:02:43.120]  但是都是來自上帝的說話
[00:02:43.120 --> 00:02:45.240]  當中雖然有責備
[00:02:45.240 --> 00:02:49.520]  但是在所謂愛之深責之切
[00:02:49.520 --> 00:02:52.400]  在這些嚴厲的督責背後
[00:02:52.400 --> 00:02:56.640]  其實是上帝出於對我們的愛的叮嚀
[00:02:56.640 --> 00:02:59.400]  今天我想由第二章
[00:02:59.400 --> 00:03:01.760]  基督對四間教會所寫的信
[00:03:01.760 --> 00:03:02.600]  我們去看看
[00:03:02.600 --> 00:03:04.800]  到底這些教導
[00:03:04.800 --> 00:03:07.560]  對我們今天這個世代的教會
[00:03:07.560 --> 00:03:08.680]  有什麼意義呢
[00:03:08.680 --> 00:03:10.680]  對我們有什麼教導呢
[00:03:10.680 --> 00:03:12.880]  首先我想交代一些背景
[00:03:12.880 --> 00:03:16.200]  三個星期前我講了《啟示錄》第一章
[00:03:16.200 --> 00:03:20.160]  第一章可以說是整篇《啟示錄》的引言
[00:03:20.160 --> 00:03:23.640]  而第二第三章就是基督寫給七教會的信
[00:03:23.640 --> 00:03:24.720]  我上次也講過
[00:03:24.720 --> 00:03:26.000]  七教會
[00:03:26.000 --> 00:03:30.080]  這個七其實可能是一個象徵的意義
[00:03:30.080 --> 00:03:33.320]  七教會的位置
[00:03:33.320 --> 00:03:38.280]  其實是當時羅馬帝國的亞西亞省
[00:03:38.280 --> 00:03:40.160]  即是這一帶的地方
[00:03:40.160 --> 00:03:45.200]  也就是今天土耳其的小亞西亞半島
[00:03:45.200 --> 00:03:52.040]  這裡我們可以看到七間教會的分佈
[00:03:52.040 --> 00:03:54.480]  七很可能只是一個象徵
[00:03:54.480 --> 00:03:57.000]  因為這裡這麼大的地方
[00:03:57.000 --> 00:03:59.240]  其實應該不止七間教會
[00:03:59.240 --> 00:04:03.000]  七其實在聖經裡面代表了完全完整
[00:04:03.000 --> 00:04:05.600]  也有屬於神的意思
[00:04:05.600 --> 00:04:10.840]  而每一封信的結尾
[00:04:10.840 --> 00:04:14.920]  就是你們剛才所讀的
[00:04:14.920 --> 00:04:17.320]  「聖靈向宗教會所說的話
[00:04:17.320 --> 00:04:19.600]  凡有耳的應當聽」
[00:04:19.600 --> 00:04:23.400]  這句話讓我們看到
[00:04:23.400 --> 00:04:27.200]  這些信其實不只是寫給七教會
[00:04:27.200 --> 00:04:30.800]  因為它是向宗教會所說的話
[00:04:30.800 --> 00:04:37.320]  即是這些信所給予的對象其實是很廣泛的
[00:04:37.320 --> 00:04:39.400]  包括了古往今來
[00:04:39.400 --> 00:04:42.440]  歷世歷代的普世教會
[00:04:42.440 --> 00:04:47.400]  甚至包括了今天這個世代的教會
[00:04:47.400 --> 00:04:49.720]  不過我們也要知道
[00:04:49.720 --> 00:04:54.080]  那七個名字並不是隨便點出來的
[00:04:54.080 --> 00:04:55.280]  當我們細心去看的時候
[00:04:55.280 --> 00:04:58.440]  我們就會發現每一封信的內容
[00:04:58.440 --> 00:05:05.880]  其實都和城市的地理特徵和歷史有關係
[00:05:05.880 --> 00:05:09.120]  另外在這七封信的內容和格式上
[00:05:09.120 --> 00:05:10.640]  其實也很相似
