
[00:00:00.000 --> 00:00:08.000]  我感謝神今天能夠跟大家分享神的話語
[00:00:08.000 --> 00:00:15.000]  今天我是跟大家繼續講馬拉基書第三章
[00:00:15.000 --> 00:00:21.000]  是講及和十一奉獻有關的題目
[00:00:21.000 --> 00:00:23.000]  講到這個題目的時候
[00:00:23.000 --> 00:00:28.000]  我相信有些人會覺得很喜樂滿足很興奮
[00:00:28.000 --> 00:00:32.000]  因為他們經歷到神在屬靈上
[00:00:32.000 --> 00:00:35.000]  在物質上的賜福
[00:00:35.000 --> 00:00:41.000]  他們願意用十一奉獻來向神感恩
[00:00:41.000 --> 00:00:45.000]  但是可能會有一些人會覺得不是很舒服
[00:00:45.000 --> 00:00:46.000]  或者是尷尬
[00:00:46.000 --> 00:00:50.000]  因為他們不曉得或者是不捨得
[00:00:50.000 --> 00:00:57.000]  按神的吩咐來向神感恩
[00:00:57.000 --> 00:01:00.000]  如果我們只是不捨得十一奉獻
[00:01:00.000 --> 00:01:02.000]  會覺得尷尬的話
[00:01:02.000 --> 00:01:04.000]  這也是一件小事
[00:01:04.000 --> 00:01:10.000]  但是失去了神所應許賜給我們的福氣
[00:01:10.000 --> 00:01:12.000]  那就事大了
[00:01:12.000 --> 00:01:18.000]  今天這一段經文更加提醒我們
[00:01:18.000 --> 00:01:24.000]  十一奉獻不但是向神感恩的一個方法
[00:01:24.000 --> 00:01:29.000]  十一奉獻更加是表達
[00:01:29.000 --> 00:01:36.000]  我們是不是真心歸向神的一個標準
[00:01:36.000 --> 00:01:39.000]  所以如果這樣看的時候
[00:01:39.000 --> 00:01:46.000]  十一奉獻不是一個可有可無的宗教行為或者禮儀
[00:01:46.000 --> 00:01:55.000]  十一奉獻也不是任由自己去演繹去解釋那個奉獻目的
[00:01:55.000 --> 00:01:58.000]  或者是奉獻的規則
[00:01:58.000 --> 00:02:05.000]  十一奉獻是按神的吩咐而做的
[00:02:05.000 --> 00:02:11.000]  今天我就和大家一起去學習馬拉基先知的教導
[00:02:11.000 --> 00:02:15.000]  但願我們每一個人都用謙卑信服的心去聆聽
[00:02:15.000 --> 00:02:18.000]  這樣我們必定會有所領受
[00:02:18.000 --> 00:02:26.000]  剛才我們讀的那一段關於十一奉獻的經文
[00:02:26.000 --> 00:02:31.000]  如果你是打開聖經來讀的話
[00:02:31.000 --> 00:02:38.000]  你會看到這一段的經文是放在第三章的中間部分
[00:02:38.000 --> 00:02:42.000]  第三章的前部分和後部分
[00:02:42.000 --> 00:02:48.000]  都是講及神的公義和審判
[00:02:48.000 --> 00:02:52.000]  你會奇怪為何聖經會這樣編排呢?
[00:02:52.000 --> 00:03:00.000]  十一奉獻放在公義審判的裡面呢?
[00:03:00.000 --> 00:03:04.000]  我們先看馬拉基書的前部分
[00:03:04.000 --> 00:03:07.000]  第三章的第五節
[00:03:07.000 --> 00:03:09.000]  馬拉基書三章五節
[00:03:09.000 --> 00:03:15.000]  萬君之耶和華說:我必臨近你們施行審判
[00:03:15.000 --> 00:03:22.000]  意思是當神講及審判的時候
[00:03:22.000 --> 00:03:27.000]  神和百姓去辯論十一奉獻
[00:03:27.000 --> 00:03:34.000]  可見十一奉獻是一個重要的題目
[00:03:34.000 --> 00:03:40.000]  這也是值得我們留心學習和探討的
[00:03:40.000 --> 00:03:43.000]  關於神的公義和審判
[00:03:43.000 --> 00:03:45.000]  下個主日我會講這個題目
[00:03:45.000 --> 00:03:48.000]  今天我們會集中講十一奉獻
[00:03:48.000 --> 00:03:51.000]  我們看回第三節
[00:03:51.000 --> 00:03:56.000]  祂是指彌賽亞 也就是耶穌基督
[00:03:56.000 --> 00:03:59.000]  祂必坐下如鍊證銀紙的
[00:03:59.000 --> 00:04:01.000]  必潔證利未人
[00:04:01.000 --> 00:04:04.000]  利未人可以代表服侍神的人
[00:04:04.000 --> 00:04:06.000]  分別為聖的人
[00:04:06.000 --> 00:04:09.000]  也就是可以代表我們基督徒
[00:04:09.000 --> 00:04:16.000]  熬煉他們像金銀一樣
[00:04:16.000 --> 00:04:20.000]  他們就憑公義獻供物給耶和華
[00:04:20.000 --> 00:04:24.000]  這句聖經的意思就是說
[00:04:24.000 --> 00:04:29.000]  一個真正悔改被神赦免了的人
[00:04:29.000 --> 00:04:33.000]  他會活出公義的生活
[00:04:33.000 --> 00:04:36.000]  憑公義可以解釋為兩方面
[00:04:36.000 --> 00:04:39.000]  他活出公義的生活
[00:04:39.000 --> 00:04:43.000]  也按神的吩咐來生活
[00:04:43.000 --> 00:04:50.000]  按神的吩咐來奉獻
[00:04:50.000 --> 00:04:54.000]  在這裡暗指當時的百姓
[00:04:54.000 --> 00:05:01.000]  沒有按神的吩咐來生活和奉獻
[00:05:01.000 --> 00:05:02.000]  對我們來說
[00:05:02.000 --> 00:05:05.000]  這一點也是很重要的提醒
[00:05:05.000 --> 00:05:10.000]  就是敬虔的生活和十一奉獻
[00:05:10.000 --> 00:05:14.000]  是有直接的關係的
[00:05:14.000 --> 00:05:18.000]  在新約裏面保羅也有類似的教導
[00:05:18.000 --> 00:05:22.000]  我們看看哥林多後書八章五節
[00:05:22.000 --> 00:05:27.000]  這裡保羅講及馬其頓信徒
[00:05:27.000 --> 00:05:29.000]  他們的奉獻心智
[00:05:29.000 --> 00:05:31.000]  他們是怎樣的呢?
[00:05:31.000 --> 00:05:33.000]  他們很積極奉獻
[00:05:33.000 --> 00:05:36.000]  甚至超過他們的能力來奉獻
[00:05:36.000 --> 00:05:38.000]  是怎樣的呢?
