
[00:00:00.000 --> 00:00:03.000]  剛才邱牧師幫我們祈禱
[00:00:03.000 --> 00:00:07.000]  我們就知道周圍都很多新樓
[00:00:07.000 --> 00:00:11.000]  當然如果人人都分到一間
[00:00:11.000 --> 00:00:13.000]  當然最好啦
[00:00:13.000 --> 00:00:15.000]  是不是呀?
[00:00:15.000 --> 00:00:17.000]  你想不想搬新屋呀?
[00:00:17.000 --> 00:00:19.000]  有多少人搬過新屋呀?
[00:00:19.000 --> 00:00:21.000]  舉手看看
[00:00:21.000 --> 00:00:23.000]  嘩!都好開心喔!
[00:00:23.000 --> 00:00:25.000]  有多少人準備會搬新屋呀?
[00:00:25.000 --> 00:00:27.000]  又舉手看看
[00:00:27.000 --> 00:00:31.000]  有些人住了幾十年
[00:00:31.000 --> 00:00:36.000]  都是紅什麼街呀?
[00:00:36.000 --> 00:00:38.000]  綠什麼街呀?
[00:00:38.000 --> 00:00:42.000]  周圍那些都是硬樓梯
[00:00:42.000 --> 00:00:44.000]  硬了幾十年
[00:00:44.000 --> 00:00:48.000]  那我祝福你越硬越有力
[00:00:48.000 --> 00:00:51.000]  因為沒力就好大件事
[00:00:51.000 --> 00:00:53.000]  由布樓搬嘛
[00:00:53.000 --> 00:00:55.000]  沒力硬是好辛苦的
[00:00:55.000 --> 00:00:57.000]  我又告訴你
[00:00:57.000 --> 00:00:59.000]  如果你每硬一步
[00:00:59.000 --> 00:01:02.000]  你都說我真是感恩呀
[00:01:02.000 --> 00:01:04.000]  我真是開心呀
[00:01:04.000 --> 00:01:06.000]  我還硬得動呢
[00:01:06.000 --> 00:01:09.000]  那你越硬就越開心
[00:01:09.000 --> 00:01:12.000]  反過來你每硬一步
[00:01:12.000 --> 00:01:15.000]  就說都不知幾時死
[00:01:15.000 --> 00:01:17.000]  還要硬
[00:01:17.000 --> 00:01:19.000]  每硬一步你就咒自己
[00:01:19.000 --> 00:01:21.000]  又咒下
[00:01:21.000 --> 00:01:23.000]  特別是咒下那些令你要搬屋的人
[00:01:23.000 --> 00:01:25.000]  又不能搬的那些人
[00:01:25.000 --> 00:01:28.000]  那你越咒心就越不快樂
[00:01:28.000 --> 00:01:30.000]  我呢就日日
[00:01:30.000 --> 00:01:32.000]  不是日日
[00:01:32.000 --> 00:01:34.000]  如果時間許可
[00:01:34.000 --> 00:01:37.000]  精神都得的時候呢
[00:01:37.000 --> 00:01:40.000]  我就走去我屋企後面
[00:01:40.000 --> 00:01:42.000]  一路硬上去
[00:01:42.000 --> 00:01:46.000]  我想由山腳硬到去山頂呢
[00:01:46.000 --> 00:01:50.000]  你估下下幾多級呀?
[00:01:50.000 --> 00:01:52.000]  紅燈山那裡呀
[00:01:52.000 --> 00:01:56.000]  起碼第一階250級
[00:01:56.000 --> 00:01:58.000]  第二階又250級
[00:01:58.000 --> 00:02:00.000]  我一路硬呢
[00:02:00.000 --> 00:02:02.000]  我就一路說
[00:02:02.000 --> 00:02:07.000]  嘩 讚美創造天地萬物的主
[00:02:07.000 --> 00:02:10.000]  比我還硬得動
[00:02:10.000 --> 00:02:12.000]  比我還有氣頭
