
[00:00:00.000 --> 00:00:05.980]  最近港大的校長被評為「三母」
[00:00:05.980 --> 00:00:09.600]  如果你看新聞或留意電視都會知道
[00:00:09.600 --> 00:00:12.560]  說他無知 無能 無心
[00:00:12.560 --> 00:00:15.960]  那人說就覺得無奈
[00:00:15.960 --> 00:00:18.540]  我當時都以為這麼大件事
[00:00:18.540 --> 00:00:21.440]  後來發現原來他說的
[00:00:21.440 --> 00:00:25.180]  都有值得商榷的地方
[00:00:25.180 --> 00:00:31.320]  又有人為他講一些公道說話 幫他持平
[00:00:31.320 --> 00:00:35.640]  但我又想 其實在基督徒裏面
[00:00:35.640 --> 00:00:41.840]  都有時有人用類似的「三母」去形容基督徒
[00:00:41.840 --> 00:00:45.400]  「母」 甚麼 無知
[00:00:45.400 --> 00:00:49.880]  就在耶穌基督的救恩上 即「知啲啲」
[00:00:49.880 --> 00:00:53.400]  只知道可以罪得赦免
[00:00:53.400 --> 00:00:56.520]  可以成為神的兒女 可以上天堂
[00:00:56.520 --> 00:01:00.200]  但至於耶穌基督所給我們生命的豐盛
[00:01:00.200 --> 00:01:02.040]  豐盛到甚麼地步呢
[00:01:02.040 --> 00:01:05.240]  有時真的說不出來
[00:01:05.240 --> 00:01:07.500]  另外就是無能
[00:01:07.500 --> 00:01:12.880]  無能就是說的時候好像很無敵
[00:01:12.880 --> 00:01:16.500]  唱歌的時候 偉大神在我心裏
[00:01:16.500 --> 00:01:18.220]  我就會很平安
[00:01:18.220 --> 00:01:20.760]  但到真的遇事的時候
[00:01:20.760 --> 00:01:23.020]  又會害怕得腳軟
[00:01:23.020 --> 00:01:25.300]  所以很無能
[00:01:25.300 --> 00:01:27.300]  還有就是無心
[00:01:27.300 --> 00:01:31.440]  無心就是對於主 親近主那裏
[00:01:31.440 --> 00:01:33.260]  有時沒甚麼心
[00:01:33.260 --> 00:01:35.680]  加上對於主的使命
[00:01:35.680 --> 00:01:37.660]  有多少的承擔
[00:01:37.660 --> 00:01:40.060]  都好像沒甚麼心
[00:01:40.060 --> 00:01:42.760]  聽節目如果講這三樣東西
[00:01:42.760 --> 00:01:45.420]  去評論的話
[00:01:45.420 --> 00:01:46.920]  評論信徒的話
[00:01:46.920 --> 00:01:49.400]  無知 無能 無心
[00:01:49.400 --> 00:01:54.020]  你會覺得自己有份在裏面嗎
[00:01:54.020 --> 00:01:55.700]  不用回答我
[00:01:55.700 --> 00:01:57.300]  不過我很感恩的是
[00:01:57.300 --> 00:01:58.460]  我們的神
[00:01:58.460 --> 00:02:00.800]  正如我們剛才所唱的詩歌
[00:02:00.800 --> 00:02:04.000]  祂是滿有憐憫 滿有慈愛
[00:02:04.000 --> 00:02:07.680]  就算我們真的是這樣的狀況
[00:02:07.680 --> 00:02:10.560]  祂不會丟棄我們
[00:02:10.560 --> 00:02:13.840]  祂不會覺得我們不夠班
[00:02:13.840 --> 00:02:16.920]  趕我們出局
[00:02:16.920 --> 00:02:20.140]  反而神是藉著祂的僕人
[00:02:20.140 --> 00:02:22.700]  藉著聖經的說話 藉著聖靈
[00:02:22.700 --> 00:02:26.340]  是可以在我們心裏時時鼓勵我們
[00:02:26.340 --> 00:02:27.940]  教訓我們
[00:02:27.940 --> 00:02:30.920]  還有叫我們真的要力求長進
[00:02:30.920 --> 00:02:33.680]  力求成長
[00:02:33.680 --> 00:02:38.940]  是心被恩感地去渴慕成長的
[00:02:38.940 --> 00:02:41.460]  我覺得這才是神的心意
[00:02:41.460 --> 00:02:43.820]  而不是好像硬要背著你
[00:02:43.820 --> 00:02:46.800]  或者拉牛上樹那樣
[00:02:46.800 --> 00:02:48.060]  今天我和大家分享
