
[00:00:00.000 --> 00:00:03.400]  究竟你繞路的過程容易迷路
[00:00:03.400 --> 00:00:05.360]  這條是西奈半島拍的
[00:00:05.360 --> 00:00:07.440]  除了路這一條以外
[00:00:07.440 --> 00:00:10.160]  其他其實都是曠野
[00:00:10.160 --> 00:00:12.180]  沒有方向
[00:00:12.180 --> 00:00:13.520]  曠野什麼時候
[00:00:13.520 --> 00:00:18.480]  白天或晚上你比較容易找到方向
[00:00:18.480 --> 00:00:20.600]  晚上 為什麼
[00:00:20.600 --> 00:00:22.880]  抬頭看
[00:00:22.880 --> 00:00:25.480]  反而白天沒有方向感
[00:00:25.480 --> 00:00:27.280]  那很多人十二支派
[00:00:27.280 --> 00:00:30.640]  十個支派死在這曠野
[00:00:30.640 --> 00:00:32.440]  也是希伯來書剛所讀的經文
[00:00:32.440 --> 00:00:35.160]  就是很多人死在曠野
[00:00:35.160 --> 00:00:39.400]  寒多路 迷路 死在曠野
[00:00:39.400 --> 00:00:42.600]  又有仇敵亞馬利人來打
[00:00:42.600 --> 00:00:43.720]  難怪摩西的禱告說
[00:00:43.720 --> 00:00:45.960]  主啊 願仇敵四散
[00:00:45.960 --> 00:00:47.560]  會有仇敵
[00:00:47.560 --> 00:00:50.040]  你從中國出來 從台灣出來
[00:00:50.040 --> 00:00:52.480]  這條路誰知道會有壓力
[00:00:52.480 --> 00:00:53.320]  會有仇敵
[00:00:53.320 --> 00:00:56.080]  就像亞馬利人突然出現
[00:00:56.080 --> 00:00:59.200]  叫你該停下來休息就休息
[00:00:59.200 --> 00:01:00.480]  禮拜天工作留下來
[00:01:00.480 --> 00:01:02.800]  明天的壓力 明年的動手術
[00:01:02.800 --> 00:01:05.960]  交給上帝今天先敬拜
[00:01:05.960 --> 00:01:09.840]  那叫綠洲停下來
[00:01:09.840 --> 00:01:15.080]  上了山兩個月 足足六十天
[00:01:15.080 --> 00:01:17.480]  下了山本來預備會幕
[00:01:17.480 --> 00:01:19.080]  獻祭的高度之後
[00:01:19.080 --> 00:01:22.400]  下了山 摩西叫十二個探子進去
[00:01:22.400 --> 00:01:26.200]  十個探子回來報惡信
[00:01:26.200 --> 00:01:28.920]  曠野就變成埋葬
[00:01:28.920 --> 00:01:32.920]  十個支派組長的焚屍場
[00:01:32.920 --> 00:01:35.880]  死在寒多路
[00:01:35.880 --> 00:01:39.480]  因為沒有handle
[00:01:39.480 --> 00:01:41.600]  同樣的路
[00:01:41.600 --> 00:01:44.200]  迦南帝就在前面
[00:01:44.200 --> 00:01:46.000]  連摩西掛到旁邊
[00:01:46.000 --> 00:01:50.400]  因為他自己太遠 繞過以東帝
[00:01:50.400 --> 00:01:51.680]  摩西繞過以東帝
[00:01:51.680 --> 00:01:55.720]  因為以東是以少 雅各是兄弟
[00:01:55.720 --> 00:01:57.160]  所以你不給他介入
[00:01:57.160 --> 00:02:01.040]  從這邊繞路 摩西自己也掛了
[00:02:01.040 --> 00:02:05.000]  摩西也 曠野埋葬
[00:02:05.000 --> 00:02:07.880]  不是所有人可以進迦南帝的
[00:02:07.880 --> 00:02:11.520]  到摩西寫在摩鴨童言東的這條路上
[00:02:11.520 --> 00:02:13.320]  他們抱怨
[00:02:13.320 --> 00:02:16.280]  我一定要吃鵪鶉 吃肉
[00:02:16.280 --> 00:02:19.920]  上帝給他們很多鵪鶉 很諷刺到發臭
[00:02:19.920 --> 00:02:22.120]  一定有抱怨 十個支派組長
[00:02:22.120 --> 00:02:26.480]  十二個進去只有兩個願意
[00:02:26.480 --> 00:02:28.920]  是耶穌亞跟迦勒
[00:02:28.920 --> 00:02:31.440]  非常不民主
[00:02:31.440 --> 00:02:34.440]  照民主是十個支派不進迦南帝
[00:02:34.440 --> 00:02:36.760]  記得民主 特別你中國大陸來
[00:02:36.760 --> 00:02:39.640]  不要以為民主多美
[00:02:39.640 --> 00:02:42.880]  民主可以滅亡的
[00:02:42.880 --> 00:02:46.400]  耶穌是公頭被掛十字架的
[00:02:46.400 --> 00:02:49.480]  十個支派組長抱怨摩西
[00:02:49.480 --> 00:02:53.800]  以色列人因此就在亞馬利人被打敗
[00:02:53.800 --> 00:02:56.320]  上山的時候打敗亞馬利人
[00:02:56.320 --> 00:02:59.240]  下山的時候被打敗
[00:02:59.240 --> 00:03:01.280]  因為不幸
[00:03:01.280 --> 00:03:03.840]  因為不幸上山走兩個月
[00:03:03.840 --> 00:03:07.040]  足足下了山走了
[00:03:07.040 --> 00:03:09.880]  三十八年
[00:03:09.880 --> 00:03:11.440]  那你稍微有一點地理概念
[00:03:11.440 --> 00:03:12.760]  其實再回來看一下
[00:03:12.760 --> 00:03:17.680]  其實它原來是等邊三角形的
[00:03:17.680 --> 00:03:19.280]  本來是等邊三角形的
[00:03:19.280 --> 00:03:21.560]  這西南半島
[00:03:21.560 --> 00:03:23.600]  兩個月
[00:03:23.600 --> 00:03:25.920]  照理說下了山也應當
[00:03:25.920 --> 00:03:28.600]  多久可以到迦南帝
[00:03:28.600 --> 00:03:30.600]  也是兩個月啊 六十天啊
[00:03:30.600 --> 00:03:33.280]  走了三十八年
[00:03:33.280 --> 00:03:35.000]  寒冬路
[00:03:35.000 --> 00:03:38.200]  因為沒有寒冬路
[00:03:38.200 --> 00:03:39.800]  所以希伯來說用這一段來
[00:03:39.800 --> 00:03:41.920]  從民宿去曠野漂流
[00:03:41.920 --> 00:03:43.240]  也提醒你跟我
[00:03:43.240 --> 00:03:46.240]  我們從中國各地移民來的這個
[00:03:46.240 --> 00:03:49.840]  漂流的過程是很複雜
[00:03:49.840 --> 00:03:51.080]  很多路
[00:03:51.080 --> 00:03:52.960]  你需要很多路
[00:03:52.960 --> 00:03:55.520]  因此學習他們的功課
[00:03:55.520 --> 00:03:57.440]  從民宿去曠野漂流
[00:03:57.440 --> 00:04:00.200]  包括可拉伊黨的人抱怨
[00:04:00.200 --> 00:04:03.480]  後來地震把可拉伊黨的人埋掉了
[00:04:03.480 --> 00:04:05.600]  這個地震我是學過地震學
[00:04:05.600 --> 00:04:07.400]  地震不是全面的
[00:04:07.400 --> 00:04:09.840]  竟然是只有少部那些人被埋掉
[00:04:09.840 --> 00:04:11.560]  兩百五十個人
[00:04:11.560 --> 00:04:13.760]  上帝出手
[00:04:13.760 --> 00:04:15.520]  死在裡面
[00:04:15.520 --> 00:04:17.600]  沒有handle
[00:04:17.600 --> 00:04:20.080]  同樣的路徑
[00:04:20.080 --> 00:04:21.840]  後來連摩西自己也掛了
[00:04:21.840 --> 00:04:22.520]  因為他受不了
[00:04:22.520 --> 00:04:24.200]  一百二十歲我不能進迦南帝
[00:04:24.200 --> 00:04:25.760]  你們這些人不進我就算了
[00:04:25.760 --> 00:04:27.200]  我很想進去
[00:04:27.200 --> 00:04:29.360]  他還跟我埋怨
[00:04:29.360 --> 00:04:32.600]  你們這些人沒有handle了嗎
[00:04:32.600 --> 00:04:36.720]  後來摩西自己也受不了掛了
[00:04:36.720 --> 00:04:38.400]  百姓繼續發願的時候
[00:04:38.400 --> 00:04:42.080]  上帝就藉著火蛇咬他們
[00:04:42.080 --> 00:04:45.520]  可是如果你悔改的話有個銅蛇
[00:04:45.520 --> 00:04:46.640]  這個我們不陌生
[00:04:46.640 --> 00:04:48.920]  因為約翰福音第三章
[00:04:48.920 --> 00:04:50.640]  銅蛇如何被舉起來
[00:04:50.640 --> 00:04:53.320]  耶穌照常如何被舉起來
[00:04:53.320 --> 00:04:56.840]  表示有救恩 有愛
[00:04:56.840 --> 00:05:00.560]  但上帝不是只有愛 還有公義
[00:05:00.560 --> 00:05:03.080]  歐巴馬說Love is love
[00:05:03.080 --> 00:05:04.280]  我要跟另外一個男人結婚
[00:05:04.280 --> 00:05:04.960]  為什麼不可以
[00:05:04.960 --> 00:05:06.840]  上帝神就是愛
[00:05:06.840 --> 00:05:08.840]  不也有公義
[00:05:08.840 --> 00:05:10.800]  他錯了
[00:05:10.800 --> 00:05:12.680]  婚姻就一男一女
[00:05:12.680 --> 00:05:13.640]  上帝當然有公義
[00:05:13.640 --> 00:05:17.200]  不是只有犯愛 溺愛 重愛
[00:05:17.200 --> 00:05:18.200]  或需要方向盤
[00:05:18.200 --> 00:05:19.480]  表示你要照他的方式
[00:05:19.480 --> 00:05:21.640]  照他的吩咐
[00:05:21.640 --> 00:05:25.480]  會倫理 會有約束
[00:05:25.480 --> 00:05:28.960]  這條路包括他們從摩亞彭穎東
[00:05:28.960 --> 00:05:31.720]  就繞到經過巴蘭跟巴勒
[00:05:31.720 --> 00:05:33.680]  巴蘭跟巴勒
[00:05:33.680 --> 00:05:35.360]  好像你出來
[00:05:35.360 --> 00:05:37.720]  或者你女兒跟誰一交往
[00:05:37.720 --> 00:05:38.840]  誰知道這個男生
[00:05:38.840 --> 00:05:42.120]  將來毀了你女兒的一輩子
[00:05:42.120 --> 00:05:44.400]  巴蘭巴勒就是類似這個情況
[00:05:44.400 --> 00:05:48.120]  出來會不會變成我們的宙主
[00:05:48.120 --> 00:05:50.000]  後來摩西呢
[00:05:50.000 --> 00:05:53.000]  當然巴蘭巴勒會變成後來
[00:05:53.000 --> 00:05:54.200]  馬太福音第二章
[00:05:54.200 --> 00:05:56.280]  那個雅各之心的預告
[00:05:56.280 --> 00:05:57.160]  這個我就跳過去
[00:05:57.160 --> 00:05:58.360]  我的重點是
[00:05:58.360 --> 00:06:02.640]  同樣的60天走了38年
[00:06:02.640 --> 00:06:04.280]  一樣從中國移民出來
[00:06:04.280 --> 00:06:06.680]  有人走了好端端的
[00:06:06.680 --> 00:06:09.520]  有人就在當中迷失了
[00:06:09.520 --> 00:06:11.040]  這條路就記得美國
[00:06:11.040 --> 00:06:13.880]  絕對不是你想的美國夢
[00:06:13.880 --> 00:06:16.160]  會迷失的
[00:06:16.160 --> 00:06:20.600]  十二支派有十個支派迷失在曠野
[00:06:20.600 --> 00:06:21.920]  不要以為我進了美國以後
[00:06:21.920 --> 00:06:22.600]  就有美國夢
[00:06:22.600 --> 00:06:23.440]  就忘了呢
