
[00:00:00.000 --> 00:00:02.000]  榮耀歸給神 阿們
[00:00:02.000 --> 00:00:04.000]  各位弟兄姊妹大家早安
[00:00:04.000 --> 00:00:06.000]  今天要跟大家分享的題目呢
[00:00:06.000 --> 00:00:08.000]  是求聖靈運行
[00:00:08.000 --> 00:00:10.000]  本來我要分享
[00:00:10.000 --> 00:00:12.000]  屬靈的恩賜
[00:00:12.000 --> 00:00:14.000]  其實這是一樣的東西
[00:00:14.000 --> 00:00:16.000]  等一下我會跟大家說明
[00:00:16.000 --> 00:00:18.000]  保羅說
[00:00:18.000 --> 00:00:20.000]  對不起
[00:00:20.000 --> 00:00:22.000]  保羅說
[00:00:22.000 --> 00:00:24.000]  弟兄們論到屬靈的恩賜
[00:00:24.000 --> 00:00:26.000]  我不願意你們不明白
[00:00:26.000 --> 00:00:28.000]  弟兄姊妹
[00:00:28.000 --> 00:00:30.000]  我們讀到這一篇的經文的時候
[00:00:30.000 --> 00:00:32.000]  我們會不會覺得
[00:00:32.000 --> 00:00:34.000]  跟我們有關係嗎
[00:00:34.000 --> 00:00:36.000]  他都在講恩賜耶
[00:00:36.000 --> 00:00:38.000]  好像我們沒有恩賜
[00:00:38.000 --> 00:00:40.000]  保羅說
[00:00:40.000 --> 00:00:42.000]  論到屬靈的恩賜
[00:00:42.000 --> 00:00:44.000]  我不願意你不明白
[00:00:44.000 --> 00:00:46.000]  所以保羅在這個主題上面
[00:00:46.000 --> 00:00:48.000]  他花了三張的篇幅
[00:00:48.000 --> 00:00:50.000]  他在提醒格林多教會
[00:00:50.000 --> 00:00:52.000]  一個很重要的信息
[00:00:52.000 --> 00:00:54.000]  就是論到這屬靈的恩賜
[00:00:54.000 --> 00:00:56.000]  他希望信徒們呢
[00:00:56.000 --> 00:00:58.000]  都能夠明白
[00:00:58.000 --> 00:01:00.000]  所以接下來我們看
[00:01:00.000 --> 00:01:02.000]  第十四章的時候
[00:01:02.000 --> 00:01:04.000]  又看到保羅再次強調
[00:01:04.000 --> 00:01:06.000]  你們要追求愛
[00:01:06.000 --> 00:01:08.000]  也要切募屬靈的恩賜
[00:01:08.000 --> 00:01:14.000]  保羅再三的強調
[00:01:14.000 --> 00:01:16.000]  這件事情是很重要的
[00:01:16.000 --> 00:01:18.000]  大家同意嗎
[00:01:18.000 --> 00:01:20.000]  是
[00:01:20.000 --> 00:01:22.000]  我們看看現在
