
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,早晨。
[00:00:02.000 --> 00:00:07.500]  很高興可以再一次和大家在這裡見面。
[00:00:07.500 --> 00:00:18.500]  我相信,如果我說我們活在現在這個世界,
[00:00:18.500 --> 00:00:21.500]  有很多令我們害怕的事情,
[00:00:21.500 --> 00:00:23.500]  我想我們都很同意,對不對?
[00:00:23.500 --> 00:00:28.500]  疫情,戰爭,
[00:00:30.500 --> 00:00:32.500]  物價飛漲,
[00:00:32.500 --> 00:00:37.500]  每次入油的時候都好像膽戰心驚一樣。
[00:00:37.500 --> 00:00:39.500]  還有槍擊的事情,
[00:00:39.500 --> 00:00:42.500]  這些槍擊的事情,
[00:00:42.500 --> 00:00:46.500]  以前只是覺得在新聞裡面才會見到,
[00:00:46.500 --> 00:00:50.500]  但是現在感覺上好像越來越接近我們了。
[00:00:50.500 --> 00:00:53.500]  兩三個星期前,
[00:00:53.500 --> 00:00:55.500]  我們神童院有一位老師,
[00:00:55.500 --> 00:00:59.500]  他在德州有一個侍奉的機會。
[00:00:59.500 --> 00:01:01.500]  他回來告訴我們,
[00:01:01.500 --> 00:01:03.500]  在那裡有一個家庭,
[00:01:03.500 --> 00:01:08.500]  在路上遇到槍擊的事情,還要送進醫院。
[00:01:08.500 --> 00:01:10.500]  所以你可以想像一下,
[00:01:10.500 --> 00:01:13.500]  這些事情以前我們覺得是很遙遠的事情,
[00:01:13.500 --> 00:01:17.500]  但是其實很多都很接近我們的。
[00:01:17.500 --> 00:01:20.500]  其實不單止是這些物質上的危險,
[00:01:20.500 --> 00:01:23.500]  令我們有很多的懼怕。
[00:01:23.500 --> 00:01:26.500]  我們看到整個的大環境,
[00:01:26.500 --> 00:01:31.500]  整個的文化,
[00:01:31.500 --> 00:01:36.500]  對基督教的信仰是非常之不友善的。
[00:01:36.500 --> 00:01:37.500]  而教會,
[00:01:37.500 --> 00:01:39.500]  無論是西方人的教會,
[00:01:39.500 --> 00:01:41.500]  或者是我們華人的教會,
[00:01:41.500 --> 00:01:45.500]  很多的前景其實都令人很擔憂。
[00:01:45.500 --> 00:01:50.500]  我自己看到最近這一兩年的裡面,
[00:01:50.500 --> 00:01:56.500]  有很多對於美國的教會的一些情況,
[00:01:56.500 --> 00:01:59.500]  的確是令人很擔憂的。
[00:01:59.500 --> 00:02:04.500]  很多的研究,
[00:02:04.500 --> 00:02:09.500]  發覺教會的情況是很令人擔憂。
[00:02:09.500 --> 00:02:13.500]  前段時間我在一個網站裡聽到,
[00:02:13.500 --> 00:02:16.500]  一位基督教的社會學家,
[00:02:16.500 --> 00:02:23.500]  從2020年這個疫情開始的時候,
[00:02:23.500 --> 00:02:24.500]  到今年,
[00:02:24.500 --> 00:02:28.500]  跟進了兩年的研究,
[00:02:28.500 --> 00:02:32.500]  在美國教會的人數的情形。
[00:02:32.500 --> 00:02:34.500]  他告訴我們,
[00:02:34.500 --> 00:02:36.500]  美國的教會,
[00:02:36.500 --> 00:02:41.500]  當然主要研究的對象是這兩年來,
[00:02:41.500 --> 00:02:44.500]  這個疫情對教會的影響有多大。
[00:02:44.500 --> 00:02:47.500]  但是他發覺從2000年開始,
[00:02:47.500 --> 00:02:49.500]  就是這20年來,
[00:02:49.500 --> 00:02:54.500]  美國教會的人數的下降是非常驚人的。
[00:02:54.500 --> 00:03:02.500]  只不過這個疫情是增加加速了下降的速度。
[00:03:02.500 --> 00:03:03.500]  所以我們說,
[00:03:03.500 --> 00:03:05.500]  很多事情令我們害怕,
[00:03:05.500 --> 00:03:07.500]  令我們擔憂。
[00:03:07.500 --> 00:03:09.500]  今天我跟大家去看,
[00:03:09.500 --> 00:03:14.500]  提摩太後書一開始的時候這一段經文。
[00:03:14.500 --> 00:03:17.500]  提摩太後書的主題可以說是,
[00:03:17.500 --> 00:03:23.500]  「剛強不要膽怯」。
[00:03:23.500 --> 00:03:28.500]  這本書可以說是新約聖經裡,
[00:03:28.500 --> 00:03:31.500]  保羅最後一封的書信。
[00:03:31.500 --> 00:03:33.500]  雖然在聖經的排列上,
[00:03:33.500 --> 00:03:35.500]  它不是排在最後一卷,
[00:03:35.500 --> 00:03:38.500]  但是在所有的聖經學者都相信,
[00:03:38.500 --> 00:03:41.500]  這是保羅在新約聖經裡,
[00:03:41.500 --> 00:03:44.500]  在時間上最後一卷的一封書信。
[00:03:44.500 --> 00:03:47.500]  當時保羅在監獄裡,
[00:03:47.500 --> 00:03:52.500]  他正在面對殉道的前景。
[00:03:52.500 --> 00:03:56.500]  所以當時可以說是情況非常不利。
[00:03:56.500 --> 00:03:58.500]  保羅寫信給提摩太。
[00:03:58.500 --> 00:04:03.500]  我相信提摩太當時一定為了保羅的離去,
[00:04:03.500 --> 00:04:06.500]  以及當時教會暗淡的前景,
[00:04:06.500 --> 00:04:09.500]  也是非常難過,非常沮喪。
[00:04:09.500 --> 00:04:11.500]  而保羅寫信給他,
[00:04:11.500 --> 00:04:13.500]  就是要鼓勵提摩太,
[00:04:13.500 --> 00:04:15.500]  要剛強。
[00:04:15.500 --> 00:04:19.500]  在第一章第七節這樣說,
[00:04:19.500 --> 00:04:23.500]  「神賜給我們不是膽怯的心,
[00:04:23.500 --> 00:04:26.500]  乃是剛強,人愛謹守的心。」
[00:04:26.500 --> 00:04:29.500]  然後在後面第二章的第一節,
[00:04:29.500 --> 00:04:30.500]  也是這樣說,
[00:04:30.500 --> 00:04:32.500]  「你要在基督耶穌的恩典上,
[00:04:32.500 --> 00:04:34.500]  剛強起來。」
[00:04:34.500 --> 00:04:37.500]  可見保羅是非常關心提摩太,
[00:04:37.500 --> 00:04:40.500]  他的心到底是不是剛強。
[00:04:40.500 --> 00:04:42.500]  在這段經文裡面,
[00:04:42.500 --> 00:04:45.500]  保羅一開始,照這個慣例,
[00:04:45.500 --> 00:04:47.500]  他在很多的書信裡面,
[00:04:47.500 --> 00:04:49.500]  都有一個慣例就是,
[00:04:49.500 --> 00:04:50.500]  一開始的時候,
[00:04:50.500 --> 00:04:53.500]  來自稱自己是誰。
[00:04:53.500 --> 00:04:56.500]  但是保羅書信每一次的自稱,
[00:04:56.500 --> 00:04:58.500]  都不是只是隨便說一下,
[00:04:58.500 --> 00:04:59.500]  我是誰。
[00:04:59.500 --> 00:05:02.500]  而是他的自稱通常,
[00:05:02.500 --> 00:05:04.500]  都是跟他後面所說的,
[00:05:04.500 --> 00:05:05.500]  是有關聯的。
[00:05:05.500 --> 00:05:07.500]  在這個第一節這樣說,
[00:05:07.500 --> 00:05:11.500]  「奉神旨意,照著在基督耶穌裡,
[00:05:11.500 --> 00:05:12.500]  生命的應許,
[00:05:12.500 --> 00:05:16.500]  作基督耶穌使徒的保羅。」
[00:05:16.500 --> 00:05:18.500]  他介紹自己是照著,
[00:05:18.500 --> 00:05:20.500]  在耶穌基督的生命裡面,
[00:05:20.500 --> 00:05:23.500]  的應許作基督耶穌使徒。
[00:05:23.500 --> 00:05:25.500]  為什麼他要特別提到,
[00:05:25.500 --> 00:05:28.500]  他是奉神的旨意,
[00:05:28.500 --> 00:05:30.500]  來做使徒呢?
[00:05:30.500 --> 00:05:34.500]  因為知道活在神的旨意裡面,
[00:05:34.500 --> 00:05:36.500]  就會剛強。
[00:05:36.500 --> 00:05:38.500]  他要提醒提摩太,
[00:05:38.500 --> 00:05:40.500]  保羅他自己的處境,
