
[00:00:00.000 --> 00:00:01.260]  今天想說什麼呢?
[00:00:01.260 --> 00:00:03.800]  首先我想問一下
[00:00:03.800 --> 00:00:07.220]  你記不記得一年前你的樣子是怎樣的?
[00:00:07.220 --> 00:00:11.080]  現在好像說Facebook
[00:00:11.080 --> 00:00:12.340]  因為我不上Facebook
[00:00:12.340 --> 00:00:16.940]  好像說會有一些提醒的功能
[00:00:16.940 --> 00:00:20.300]  提醒你某年某月某日發生什麼事
[00:00:20.300 --> 00:00:21.920]  一年前
[00:00:21.920 --> 00:00:23.360]  你記不記得你是怎樣的?
[00:00:23.360 --> 00:00:27.540]  一年前跟你現在有什麼不同?
[00:00:28.540 --> 00:00:32.060]  一年前是不需要戴口罩的
[00:00:32.060 --> 00:00:33.880]  很快就有人告訴我
[00:00:33.880 --> 00:00:37.780]  一年前你還是很自由地走出街
[00:00:37.780 --> 00:00:39.680]  一年前
[00:00:39.680 --> 00:00:42.540]  我們大家還是聚集在這裡
[00:00:42.540 --> 00:00:44.980]  一起敬拜著的
[00:00:44.980 --> 00:00:47.180]  一年前
[00:00:47.180 --> 00:00:48.960]  可能你會發覺
[00:00:48.960 --> 00:00:52.500]  香港周圍的環境還是很好的
[00:00:52.500 --> 00:00:56.500]  一年前
[00:00:56.500 --> 00:00:58.560]  你可能沒有想過
[00:00:58.560 --> 00:01:05.480]  原來我們要面對這麼大的災難和疫症
[00:01:05.480 --> 00:01:07.160]  是不是?
[00:01:07.160 --> 00:01:08.860]  甚至
[00:01:08.860 --> 00:01:09.620]  兄弟姐妹
[00:01:09.620 --> 00:01:10.580]  各位同工
[00:01:10.580 --> 00:01:12.060]  不知道你有沒有想過
[00:01:12.060 --> 00:01:16.020]  接下來周圍的狀況
[00:01:16.020 --> 00:01:19.860]  可能會有更多你想也想不到的事情
[00:01:19.860 --> 00:01:21.260]  發生在當中
[00:01:21.260 --> 00:01:25.440]  譬如可能你現在已經面對一個局面
[00:01:25.440 --> 00:01:27.600]  就是經濟不太好
[00:01:27.600 --> 00:01:29.600]  有很多公司
[00:01:29.600 --> 00:01:31.580]  甚至是你正在做的公司
[00:01:31.580 --> 00:01:33.260]  開始撐不住了
[00:01:33.260 --> 00:01:35.460]  開始要倒閉了
[00:01:35.460 --> 00:01:36.340]  是不是?
[00:01:36.340 --> 00:01:38.040]  你又會想一想
[00:01:38.040 --> 00:01:39.300]  接下來的日子
[00:01:39.300 --> 00:01:41.500]  究竟疫症什麼時候會過去呢?
[00:01:41.500 --> 00:01:43.960]  昨晚回去看新聞
[00:01:43.960 --> 00:01:45.820]  那些專家就說
