
[00:00:00.000 --> 00:00:03.580]  今天我們看羅馬書
[00:00:03.580 --> 00:00:10.500]  只是看第一章第一至第七節
[00:00:10.500 --> 00:00:15.620]  保羅寫羅馬書的時候
[00:00:15.620 --> 00:00:21.760]  相信他當時身處哥林多
[00:00:21.760 --> 00:00:26.880]  羅馬教會不是保羅建立的
[00:00:26.880 --> 00:00:30.460]  因為他沒有去過羅馬
[00:00:30.460 --> 00:00:34.300]  但在羅馬書的第十六章
[00:00:34.300 --> 00:00:37.120]  也就是最後一章
[00:00:37.120 --> 00:00:46.840]  他提及很多當時住在羅馬的信徒
[00:00:46.840 --> 00:00:51.200]  和一些人家裏面的教會
[00:00:51.200 --> 00:00:55.300]  從這個信徒的名字去看
[00:00:55.300 --> 00:01:01.700]  我們可以知道當中有一些是猶太人
[00:01:01.700 --> 00:01:05.800]  有一些是希臘人
[00:01:05.800 --> 00:01:12.460]  兩批人當中以外邦人佔大多數
[00:01:12.460 --> 00:01:19.360]  由於個人的信仰背景和文化習慣都不同
[00:01:19.360 --> 00:01:30.120]  自然會產生一些對基督信仰的爭議
[00:01:30.120 --> 00:01:36.000]  保羅根據他所領受的真道
[00:01:36.000 --> 00:01:43.680]  確立了一些基督教信仰的教義
[00:01:43.680 --> 00:01:50.340]  羅馬書有一個主題就是「神的公義」
[00:01:50.340 --> 00:01:59.300]  這是和救恩和一個很特別的人有關的
[00:01:59.300 --> 00:02:05.700]  對我們有很重要的關係
[00:02:05.700 --> 00:02:11.080]  現在我們看這本書的開始部分
[00:02:11.080 --> 00:02:19.020]  首先第一節提到保羅的身份就是福音的特派員
[00:02:19.020 --> 00:02:23.360]  看第一節,保羅的身份就是福音的特派員
[00:02:23.360 --> 00:02:27.460]  一章一節,耶穌基督的僕人保羅
[00:02:27.460 --> 00:02:31.560]  奉詔為使徒,特派傳神的福音
[00:02:31.560 --> 00:02:34.880]  這個使徒是什麼意思呢?
[00:02:34.880 --> 00:02:39.760]  使徒就是有全權代表
[00:02:39.760 --> 00:02:47.440]  正式的委任者和特使的意思
[00:02:47.440 --> 00:02:53.580]  然後這個使者就是傳神的福音
[00:02:53.580 --> 00:02:58.960]  然後這裡面就是傳神的福音
[00:02:58.960 --> 00:03:01.780]  神的福音是什麼呢?
[00:03:01.780 --> 00:03:06.120]  就是從神而來的好消息
[00:03:06.120 --> 00:03:13.540]  能夠使人快樂,歡欣歌唱
[00:03:13.540 --> 00:03:17.380]  甚至跳舞歡騰的
